"learner_id","learner_id_long","params","internal_cv","encode","scale","grid"
"KM","surv.kaplan",0,FALSE,FALSE,FALSE,FALSE
"NL","surv.nelson",0,FALSE,FALSE,FALSE,FALSE
"AF","surv.akritas",1,FALSE,FALSE,FALSE,FALSE
"CPH","surv.coxph",0,FALSE,FALSE,FALSE,FALSE
"GLM","surv.cv_glmnet",1,TRUE,TRUE,FALSE,FALSE
"Pen","surv.penalized",2,FALSE,FALSE,FALSE,FALSE
"Par","surv.parametric",1,FALSE,FALSE,FALSE,TRUE
"Flex","surv.flexible",1,FALSE,FALSE,FALSE,TRUE
"RFSRC","surv.rfsrc",5,FALSE,FALSE,FALSE,FALSE
"RAN","surv.ranger",5,FALSE,FALSE,FALSE,FALSE
"CIF","surv.cforest",5,FALSE,FALSE,FALSE,FALSE
"ORSF","surv.aorsf",2,FALSE,FALSE,FALSE,FALSE
"RRT","surv.rpart",1,FALSE,FALSE,FALSE,TRUE
"MBO","surv.mboost",4,FALSE,FALSE,FALSE,FALSE
"CoxB","surv.cv_coxboost",0,TRUE,TRUE,FALSE,FALSE
"XGBCox","surv.xgboost",6,FALSE,TRUE,FALSE,FALSE
"XGBAFT","surv.xgboost",6,FALSE,TRUE,FALSE,FALSE
"SSVM","surv.svm",4,FALSE,TRUE,TRUE,FALSE
