"learner_id","task_id","measure","hours","total_h","mem_gb"
"AF","ALL","harrell_c",0.31,233.28,0.217542024
"AF","CarpenterFdaData","harrell_c",0.05,39.17,0.216767384
"AF","aids.id","harrell_c",0.06,46.29,0.21669616
"AF","aids2","harrell_c",0.41,305.68,0.217777408
"AF","bladder0","harrell_c",0.05,37.08,0.216717824
"AF","channing","harrell_c",0.06,42.24,0.245164296
"AF","child","harrell_c",51.95,38960.1,0.227097152
"AF","colrec","harrell_c",1.28,957.49,0.225395448
"AF","cost","harrell_c",0.06,47.04,0.216891848
"AF","dataFTR","harrell_c",0.29,214.51,0.254014216
"AF","dataSTR","harrell_c",0.06,45.78,0.2499858
"AF","e1684","harrell_c",0.06,41.42,0.246233192
"AF","flchain","harrell_c",0.97,730.44,0.236678992
"AF","gbsg","harrell_c",0.31,231.34,0.236054376
"AF","grace","harrell_c",0.07,52.32,0.255612488
"AF","kidtran","harrell_c",0.08,63.17,0.24741576
"AF","liver","harrell_c",0.05,40.78,0.249997952
"AF","lung","harrell_c",0.05,37.83,0.231692072
"AF","metabric","harrell_c",0.23,174.79,0.2685812
"AF","mgus","harrell_c",0.05,36.91,0.246653552
"AF","nafld1","harrell_c",0.81,609.1,0.253376848
"AF","nwtco","harrell_c",0.83,622.1,0.257642008
"AF","ova","harrell_c",0.05,39.98,0.24099984
"AF","patient","harrell_c",0.29,215.65,0.25759588
"AF","rdata","harrell_c",0.1,76.64,0.27645868
"AF","std","harrell_c",0.09,67.23,0.262517832
"AF","support","harrell_c",0.56,422.34,0.259289568
"AF","tumor","harrell_c",0.07,52.38,0.275144024
"AF","uis","harrell_c",0.07,48.97,0.24548264
"AF","veteran","harrell_c",0.04,29.79,0.261594664
"AF","wbc1","harrell_c",0.04,32.74,0.270488416
"AF","whas","harrell_c",0.05,38.9,0.246609936
"CIF","ALL","harrell_c",0.15,545.81,0.240987232
"CIF","CarpenterFdaData","harrell_c",0.15,564.46,0.239139496
"CIF","aids.id","harrell_c",0.06,227.44,0.238831008
"CIF","aids2","harrell_c",0.1,382.84,0.240256528
"CIF","bladder0","harrell_c",0.05,199.41,0.241683752
"CIF","channing","harrell_c",0.06,215.09,0.247208848
"CIF","child","harrell_c",4.41,16529.22,0.393354904
"CIF","colrec","harrell_c",0.44,1667.32,0.273346168
"CIF","cost","harrell_c",0.08,315.89,0.23380288
"CIF","dataFTR","harrell_c",0.09,325.14,0.24842708
"CIF","dataSTR","harrell_c",0.07,245.64,0.253278888
"CIF","e1684","harrell_c",0.12,438.26,0.23826976
"CIF","flchain","harrell_c",0.48,1814.5,0.26249536
"CIF","gbsg","harrell_c",1.06,3974.36,0.259113576
"CIF","grace","harrell_c",0.13,494.82,0.253964496
"CIF","hdfail","harrell_c",2.94,11032.35,0.49155328
