"time","status","sex","neutered","intake_condition","intake_type","latitude","longitude","black","brown","brown_tabby","calico","cream","gray","gray_tabby","orange","orange_tabby","tan","tortie","white"
17,1,"male","yes","fractious","owner_surrender",33.8106508,-118.1035949,0,0,0,0,0,0,0,0,0,1,0,1
98,1,"male","yes","normal","stray",33.829186,-118.1730434,0,0,0,0,0,0,0,1,0,0,0,1
15,0,"male","yes","ill_moderatete","owner_surrender",33.7722457,-118.1709509,0,0,0,0,0,1,0,0,0,0,0,1
72,1,"female","yes","fractious","owner_surrender",33.7683175,-118.1519938,1,0,0,0,0,0,0,0,0,0,1,0
22,0,"male","yes","normal","owner_surrender",33.7791395,-118.1718077,0,0,1,0,0,0,0,0,0,0,0,1
66,1,"male","yes","normal","owner_surrender",33.7781346,-118.159793,1,0,0,0,0,1,0,0,0,0,0,0
200,1,"female","yes","other","other",33.8727897,-118.1792128,0,0,0,0,0,1,0,0,0,0,0,1
9,0,"female","yes","normal","owner_surrender",33.8757222,-118.0549716,1,0,0,0,0,0,0,0,0,0,0,1
45,1,"male","yes","ill_mild","stray",33.7847023,-118.1672601,0,0,0,0,0,0,0,0,1,0,0,1
38,1,"male","no","ill_mild","stray",33.8558082,-118.1741342,0,0,0,0,0,0,1,0,0,0,0,1
9,1,"male","yes","normal","owner_surrender",33.8509734,-118.1863702,0,0,0,0,0,1,0,0,0,0,0,1
170,1,"male","yes","ill_mild","stray",33.8655014,-118.1849681,0,0,0,0,0,1,0,0,0,0,0,1
39,0,"female","yes","normal","owner_surrender",33.7753586,-118.1876879,1,0,0,0,0,0,0,0,0,0,0,1
131,1,"female","yes","normal","owner_surrender",33.8381264,-118.1246931,1,0,0,0,0,0,0,0,0,0,0,1
137,1,"female","yes","normal","owner_surrender",33.7753586,-118.1876879,0,0,0,0,0,1,0,0,0,0,0,1
36,1,"female","yes","normal","owner_surrender",33.7940334,-118.1589403,0,0,0,0,0,1,0,0,0,0,0,1
16,1,"female","no","normal","stray",33.7660653,-118.1616855,0,0,0,0,0,1,0,0,0,0,0,1
9,0,"male","yes","normal","stray",33.8606421,-118.1882829,0,0,0,0,0,0,0,1,0,0,0,1
50,1,"male","yes","other","stray",33.8502533,-118.1981314,0,0,0,0,0,1,0,0,0,0,0,1
30,0,"female","yes","feral","stray",33.8829689,-118.0434183,1,0,0,0,0,0,0,0,0,0,0,1
8,1,"female","yes","normal","other",33.7954518,-118.2087288,0,0,1,0,0,0,0,0,0,0,0,1
8,1,"male","yes","normal","other",33.7954518,-118.2087288,1,0,0,0,0,0,0,0,0,0,0,1
8,1,"male","yes","normal","stray",33.8197825,-118.1064156,0,0,0,0,0,1,0,0,0,0,0,1
329,1,"female","yes","normal","owner_surrender",33.8509734,-118.1863702,1,0,0,0,0,0,0,0,0,0,0,1
11,1,"female","yes","normal","other",33.771713,-118.1747276,1,0,0,0,0,0,0,0,0,0,0,1
90,1,"female","yes","normal","owner_surrender",33.797016,-118.1337091,1,0,0,0,0,0,0,0,0,0,0,1
70,0,"male","no","normal","stray",33.7900936,-118.1410754,1,0,0,0,0,0,0,0,0,0,0,1
48,1,"male","yes","other","stray",33.8810061,-118.1565482,1,0,0,0,0,0,0,0,0,0,0,1
17,1,"female","yes","other","stray",33.8221639,-118.1795873,0,0,1,0,0,0,0,0,0,0,0,1
80,1,"female","yes","normal","owner_surrender",33.768985,-118.1676658,0,0,0,1,0,0,0,0,0,0,0,1
18,1,"male","no","normal","stray",33.8009205,-118.1978598,0,0,0,0,0,0,0,0,1,0,0,1
23,1,"male","yes","feral","stray",33.7974104,-118.1707826,0,0,0,0,0,1,0,0,0,0,0,1
20,1,"female","yes","normal","stray",33.8204911,-118.1695697,0,0,0,0,0,1,0,0,0,0,0,1
16,1,"male","no","normal","stray",33.8095632,-118.1179623,1,0,0,0,0,0,0,0,0,0,0,1
16,1,"female","no","normal","stray",33.8095632,-118.1179623,1,0,0,0,0,0,0,0,0,0,0,1
68,0,"male","yes","normal","stray",33.8102508,-118.0994223,0,0,0,0,0,0,0,1,0,0,0,1
83,1,"female","yes","other","owner_surrender",33.7729055,-118.1963849,0,1,0,0,0,1,0,0,0,0,0,0
9,1,"male","yes","feral","stray",33.8777385,-118.1947725,0,0,0,0,0,0,0,0,0,0,0,1
11,1,"male","yes","feral","stray",33.7826065,-118.1867049,1,0,0,0,0,0,0,0,0,0,0,1
8,0,"female","no","normal","owner_surrender",33.7862279,-118.1676536,1,0,0,0,0,1,0,0,0,0,0,0
9,0,"male","no","normal","stray",33.7700999,-118.1960785,0,0,1,0,0,0,0,0,0,0,0,1
31,1,"female","yes","feral","stray",33.8374545,-118.1840175,1,0,0,0,0,0,0,0,0,0,0,0
8,1,"female","no","normal","stray",33.7537496,-118.0906996,0,0,0,1,0,1,0,0,0,0,0,0
8,1,"male","yes","feral","stray",33.7859683,-118.1521263,0,0,0,0,0,1,0,0,0,0,0,1
9,1,"female","no","normal","stray",33.8490301,-118.1916076,1,0,0,0,0,0,0,0,0,0,0,1
21,0,"male","yes","normal","owner_surrender",33.780778,-118.156752,0,0,0,0,0,1,0,0,0,0,0,1
11,1,"male","yes","feral","stray",33.7835054,-118.1763442,1,0,0,0,0,0,0,0,0,0,0,1
48,1,"female","yes","feral","stray",33.8777385,-118.1947725,0,0,0,1,0,0,0,0,0,0,0,1
11,0,"female","no","normal","stray",33.8760256,-118.157865,0,0,0,0,0,0,1,0,0,0,0,1
58,1,"male","yes","normal","stray",33.7713665,-118.0872573,0,0,1,0,0,0,0,0,0,0,0,1
155,1,"female","yes","normal","owner_surrender",33.778973,-118.1622263,1,0,0,0,0,0,0,0,0,0,0,1
17,1,"male","yes","normal","stray",33.8450686,-118.1304848,0,0,0,0,0,0,1,0,0,0,0,1
16,1,"male","yes","feral","stray",33.771534,-118.171814,1,0,0,0,0,0,0,0,0,0,0,1
10,1,"female","yes","normal","stray",33.7818746,-118.1608847,0,0,0,0,0,1,0,0,0,0,0,1
76,0,"male","yes","feral","stray",33.7676779,-118.167617,0,0,0,0,0,0,1,0,0,0,0,1
18,1,"male","yes","other","stray",33.8783546,-118.152621,1,0,0,0,0,0,0,0,0,0,0,1
12,0,"female","yes","normal","stray",33.7681825,-118.1900671,0,0,1,1,0,0,0,0,0,0,0,0
10,1,"female","yes","normal","stray",33.7681825,-118.1900671,0,0,1,1,0,0,0,0,0,0,0,0
10,1,"female","yes","normal","stray",33.7681825,-118.1900671,0,0,1,1,0,0,0,0,0,0,0,0
50,1,"female","yes","normal","owner_surrender",33.7672612,-118.1786864,1,0,0,0,0,0,0,0,0,0,0,1
132,1,"male","yes","normal","owner_surrender",33.7672612,-118.1786864,1,0,0,0,0,0,0,0,0,0,0,1
33,0,"male","yes","normal","owner_surrender",33.8638641,-118.181797,0,0,0,0,0,0,0,1,0,0,0,1
132,1,"female","yes","normal","owner_surrender",33.7672612,-118.1786864,0,0,0,1,0,0,0,0,0,0,0,1
82,1,"female","yes","normal","other",33.8025021,-118.2130253,1,0,0,0,0,0,0,0,0,0,0,1
8,0,"male","no","normal","owner_surrender",33.7753409,-118.1963617,0,0,0,0,0,1,0,0,0,0,0,1
12,0,"male","no","normal","owner_surrender",33.8834996,-118.1816888,0,0,1,0,0,0,0,0,0,0,0,1
37,1,"female","yes","normal","stray",33.8412198,-118.1759805,0,0,0,0,0,0,1,0,0,0,0,1
13,1,"male","yes","normal","stray",33.772469,-118.2123469,1,0,0,0,0,0,0,0,0,0,0,1
19,1,"female","yes","normal","stray",33.8503111,-118.0741655,1,0,0,0,0,0,0,0,0,0,0,1
22,1,"female","yes","normal","stray",33.8503079,-118.1747327,1,0,0,0,0,0,0,0,0,0,0,1
50,1,"female","no","normal","owner_surrender",33.7753586,-118.1876879,0,0,0,1,0,0,0,0,0,0,0,1
50,1,"female","yes","normal","stray",33.8133786,-118.216882,0,0,0,0,0,0,0,0,0,1,0,1
116,1,"male","yes","normal","stray",33.7801815,-118.1980402,0,0,0,0,0,1,0,0,0,0,0,1
10,1,"male","yes","normal","stray",33.8112202,-118.127217,0,0,0,0,0,0,1,0,0,0,0,1
15,1,"male","yes","feral","stray",33.8835502,-118.102303,0,0,0,0,0,1,0,0,0,0,0,1
35,0,"female","yes","normal","stray",33.7852731,-118.185356,1,0,0,0,0,0,0,0,0,0,0,1
23,1,"male","yes","normal","stray",33.8242056,-118.1965873,0,0,0,0,0,1,0,0,0,0,0,1
8,1,"male","yes","normal","stray",33.8606421,-118.1882829,0,1,0,0,0,0,0,0,0,1,0,0
45,1,"male","yes","normal","stray",33.8563817,-118.0548368,0,0,0,0,0,0,0,0,1,0,0,1
27,0,"male","yes","normal","owner_surrender",33.7673769,-118.1170021,1,0,0,0,0,0,0,0,0,0,0,1
25,0,"female","yes","normal","owner_surrender",33.8289361,-118.1879441,0,0,0,0,0,1,0,0,0,0,0,1
25,0,"male","yes","feral","owner_surrender",33.8291312,-118.1873566,0,0,0,0,0,1,0,0,0,0,0,1
