"authors","imports","suggests","depends","Roxygen","gh","rforge","descr","r_count","r_size","ns_import","ns_export","s3_methods","s4_methods","doc_count","doc_size","src_count","src_size","data_count","data_size","testthat_count","testthat_size","time","status"
1,0,2,3,0,0,0,217,2,0.029053,3,0,3,0,0,0,0,0,2,0.025292,0,0,49,1
1,6,4,1,1,1,0,313,20,0.046336,15,19,0,0,3,0.019757,0,0,0,0,8,0.002496,101,1
1,0,0,6,0,0,0,269,8,0.078374,6,0,11,0,1,0.038281,0,0,0,0,0,0,292,1
1,0,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,3,4.885864,0,0,21,1
5,3,2,1,1,0,0,223,10,0.01908,4,10,0,0,1,0.007874,0,0,3,4.595504,0,0,103,1
3,1,0,1,0,0,0,1031,10,0.032607,5,0,0,0,0,0,0,0,1,0.0065,0,0,46,1
2,0,2,5,0,0,0,135,16,0.040209,0,0,0,0,0,0,0,0,10,0.409482,0,0,78,1
1,4,2,0,1,1,0,344,3,0.020956,4,2,2,0,0,0,2,0.009263,0,0,1,0.000494,91,1
4,0,0,1,0,0,0,204,6,0.002787,2,0,0,0,0,0,0,0,4,0.00158,0,0,47,1
6,7,0,1,0,0,0,335,14,0.047475,10,9,23,0,0,0,5,0.009996,2,1.816655,0,0,196,1
1,0,2,6,1,1,0,104,16,0.048023,5,3,0,0,0,0,3,0.005093,2,2.631951,0,0,200,1
2,0,8,5,0,0,0,163,4,0.123385,6,4,0,0,0,0,0,0,146,0.126822,0,0,169,1
1,0,0,0,1,0,0,425,1,0.104651,1,0,2,0,0,0,0,0,0,0,0,0,45,1
1,0,0,0,0,0,0,156,1,0.021366,0,1,5,0,0,0,0,0,0,0,0,0,28,1
1,3,2,0,1,1,0,145,11,0.029312,2,10,0,0,1,0.010608,0,0,0,0,0,0,94,1
1,2,0,1,0,0,0,276,5,0.025216,2,0,4,0,0,0,0,0,0,0,0,0,32,1
1,14,1,1,1,1,0,496,7,0.019942,1,16,0,0,0,0,0,0,0,0,3,0.002703,66,1
1,2,3,5,1,0,0,1434,19,0.253016,11,0,0,0,0,0,54,0.712125,10,0.637094,3,0.030213,219,1
1,2,0,0,1,0,0,1422,3,0.006673,0,2,0,0,0,0,0,0,0,0,0,0,30,1
1,0,0,2,0,0,0,345,1,0.004688,1,0,0,0,0,0,0,0,0,0,0,0,32,1
1,1,1,0,1,0,0,496,3,0.015822,0,2,0,0,0,0,0,0,2,0.001576,2,0.005106,44,1
1,5,0,0,1,0,0,918,2,0.012621,8,1,0,0,0,0,2,0.019915,1,0.080937,0,0,10,0
1,0,2,3,1,0,0,592,6,0.070034,2,3,0,0,1,0.020156,0,0,0,0,0,0,84,1
1,0,0,2,0,0,0,163,6,0.00843,1,1,0,0,0,0,1,0.000719,0,0,0,0,48,1
1,0,0,2,0,0,0,194,9,0.017562,2,0,0,0,0,0,0,0,3,1.323815,0,0,53,1
1,4,0,1,1,0,0,74,3,0.027469,20,1,0,0,0,0,0,0,0,0,0,0,44,1
2,12,0,2,1,0,0,171,20,0.085476,69,15,2,0,0,0,8,0.007692,1,0.16245,0,0,196,1
1,2,3,1,1,0,0,372,11,0.081959,2,14,0,0,1,0.012538,12,0.054655,2,0.075937,0,0,87,1
1,0,0,3,0,0,0,428,1,0.028559,1,0,0,0,0,0,0,0,3,4.833794,0,0,141,1
1,2,0,3,0,0,0,127,3,0.045929,3,2,0,1,1,0.039831,0,0,0,0,0,0,51,1
