@relation 'flchain'
@attribute 'age' numeric
@attribute 'sex' {'F','M'}
@attribute 'sample.yr' numeric
@attribute 'kappa' numeric
@attribute 'lambda' numeric
@attribute 'flc.grp' {'1','10','2','3','4','5','6','7','8','9'}
@attribute 'mgus' {'0','1'}
@attribute 'time' numeric
@attribute 'status' numeric
@data
58,"F",1995,0.9,0.99,"2","0",5080,0
64,"M",1996,1.44,1.95,"8","0",1831,1
62,"M",1996,1.05,1.59,"5","0",4908,0
86,"F",1996,1.48,1.5,"6","0",1908,1
82,"F",1997,1.8,2.36,"9","0",37,1
59,"M",1999,2.09,3.59,"10","0",2093,1
68,"M",1995,1.09,1.59,"5","0",4963,0
63,"F",1996,1.04,1.98,"6","0",4872,0
72,"F",1997,1.66,1.14,"5","0",3254,1
56,"F",1995,2.17,2.2,"9","0",4854,0
60,"M",1998,1.66,1.69,"7","0",3982,0
59,"M",1997,1.18,1.79,"6","0",4292,0
63,"M",1998,1.19,0.933,"3","0",4173,0
71,"F",1995,1.39,1.77,"7","0",4995,0
53,"M",1995,1,1.54,"4","0",4933,0
82,"M",1996,2.11,2.41,"9","0",1637,1
70,"M",1996,0.37,1,"1","0",4827,0
75,"F",1998,1.77,1.81,"8","0",3988,0
56,"M",2000,1.44,2.09,"8","0",3276,0
78,"M",1995,1.85,1.46,"7","0",1517,1
67,"F",1995,1.19,1.81,"6","0",557,1
59,"M",1996,1.45,1.25,"5","0",4612,0
55,"F",1997,1.83,1.99,"8","0",4425,0
64,"F",1996,0.313,1.65,"2","1",4676,0
61,"F",1996,1.13,1.31,"4","0",4603,0
54,"F",2000,0.34,1.02,"1","0",742,0
64,"M",1996,2.4,2.78,"10","0",4920,0
72,"M",1996,1,2.23,"7","0",1463,1
58,"F",1995,0.64,1.46,"3","0",3182,1
66,"M",1996,1.3,1.48,"5","0",4698,0
78,"M",1997,2.52,2.38,"10","0",1958,1
83,"F",1996,1.13,1.39,"4","0",2886,1
69,"M",1997,1.29,1.78,"7","0",2144,1
63,"M",1996,0.831,1.32,"3","0",4731,0
59,"M",1996,3.15,2.2,"10","0",4592,0
74,"F",1995,1.25,1.56,"6","0",4941,0
90,"F",1997,1.51,1.46,"6","0",1626,1
75,"F",1996,1.82,2.4,"9","0",4785,0
65,"M",1996,1.68,2.04,"8","0",4751,0
58,"F",1996,0.58,1.36,"2","0",4913,0
60,"M",1997,0.446,1.04,"1","0",4483,0
54,"M",2000,1,0.776,"2","0",3459,0
74,"F",1996,1.16,1.09,"3","0",1863,1
68,"F",1996,1.44,1.23,"5","0",4899,0
55,"F",2003,1.17,0.971,"3","0",2311,0
57,"F",1995,1.32,1.45,"5","0",4999,0
77,"F",1996,1.61,1.65,"7","0",3407,1
87,"F",1997,2.06,1.64,"8","0",751,1
60,"F",1999,1.21,1.24,"4","0",3597,0
66,"M",1999,3.3,3.31,"10","0",3625,0
78,"M",1996,1.58,2.31,"9","0",481,1
63,"M",2003,4.69,4.16,"10","0",656,1
78,"F",1997,1.09,1.12,"3","0",3095,1
71,"F",2001,1.57,1.48,"6","0",2769,1
73,"F",2000,2.17,3.18,"10","0",2631,0
50,"F",2000,1.9,2.08,"9","0",3118,0
69,"F",1996,1.32,0.972,"3","0",4639,0
53,"M",1996,1.32,1.61,"6","0",4606,0
52,"M",1997,1.49,1.71,"7","0",4207,0
90,"F",1996,3.96,3.95,"10","0",1046,1
50,"M",1996,0.667,1.023,"1","0",4659,0
64,"M",1996,0.978,1.09,"2","0",4605,0
78,"F",1997,1.14,0.972,"3","0",4138,1
51,"M",1998,0.679,1.07,"1","0",4057,0
74,"M",1996,1.45,1.5,"6","0",1486,1
69,"F",1995,2.14,6.3,"10","0",3800,1
70,"F",1996,1.53,1.11,"5","0",4859,0
84,"F",1999,0.95,1.56,"4","0",1003,1
69,"F",1996,0.906,1.33,"3","0",2796,1
59,"M",1998,1.23,1.33,"5","0",1903,0
72,"M",1996,1.74,1.81,"8","0",738,1
