model,time,status,temp,rsc,rer,psc
HGST HDS5C4040ALE630,172,0,33,0,0,0
HGST HDS5C4040ALE630,174,0,28,0,0,0
HGST HDS5C4040ALE630,174,0,28,0,0,0
HGST HDS5C4040ALE630,194,0,31,0,0,0
HGST HDS5C4040ALE630,174,0,29,0,0,0
HGST HDS5C4040ALE630,172,0,33,0,0,0
HGST HDS5C4040ALE630,6,0,24,0,0,0
HGST HDS5C4040ALE630,4,0,28,0,0,0
HGST HDS724040ALE640,559,0,31,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,27,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,25,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,26,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,26,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,25,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,31,0,0,0
HGST HDS724040ALE640,559,0,26,0,0,0
HGST HDS724040ALE640,559,0,25,0,0,0
HGST HDS724040ALE640,559,0,26,0,0,0
HGST HDS724040ALE640,559,0,32,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,27,0,0,0
HGST HDS724040ALE640,559,0,25,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,28,0,0,0
HGST HDS724040ALE640,559,0,27,0,0,0
HGST HDS724040ALE640,559,0,31,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,29,0,0,0
HGST HDS724040ALE640,559,0,30,0,0,0
HGST HDS724040ALE640,559,0,27,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,32,0,0,0
HGST HMS5C4040ALE640,866,0,34,0,0,0
HGST HMS5C4040ALE640,277,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,30,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,559,0,23,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,34,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,32,0,0,0
HGST HMS5C4040ALE640,866,0,32,0,0,0
HGST HMS5C4040ALE640,866,0,34,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,34,0,0,0
HGST HMS5C4040ALE640,559,0,24,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,32,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,32,0,0,0
HGST HMS5C4040ALE640,866,0,32,0,0,0
HGST HMS5C4040ALE640,866,0,32,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,34,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,559,0,23,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,30,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,30,0,0,0
HGST HMS5C4040ALE640,866,0,31,0,0,0
HGST HMS5C4040ALE640,866,0,33,0,0,0
HGST HMS5C4040ALE640,866,0,30,0,0,0
HGST HMS5C4040ALE640,286,0,30,0,0,0
HGST HMS5C4040ALE640,263,0,33,0,0,0
HGST HMS5C4040ALE640,297,0,29,0,0,0
HGST HMS5C4040ALE640,263,0,35,0,0,0
HGST HMS5C4040ALE640,230,0,23,0,0,0
HGST HMS5C4040ALE640,293,0,30,0,0,0
HGST HMS5C4040ALE640,286,0,28,0,0,0
HGST HMS5C4040ALE640,263,0,25,0,0,0
HGST HMS5C4040ALE640,262,0,30,0,0,0
HGST HMS5C4040ALE640,293,0,32,0,0,0
HGST HMS5C4040ALE640,285,0,32,0,0,0
HGST HMS5C4040ALE640,286,0,34,0,0,0
HGST HMS5C4040ALE640,286,0,34,0,0,0
HGST HMS5C4040ALE640,255,0,36,0,0,0
HGST HMS5C4040ALE640,263,0,27,0,0,0
HGST HMS5C4040ALE640,297,0,29,0,0,0
HGST HMS5C4040ALE640,264,0,33,0,0,0
HGST HMS5C4040ALE640,293,0,31,0,0,0
HGST HMS5C4040ALE640,262,0,29,0,0,0
HGST HMS5C4040ALE640,264,0,31,0,0,0
HGST HMS5C4040ALE640,262,0,33,0,0,0
HGST HMS5C4040ALE640,286,0,26,0,0,0
HGST HMS5C4040ALE640,297,0,26,0,0,0
HGST HMS5C4040ALE640,262,0,29,0,0,0
HGST HMS5C4040ALE640,297,0,24,0,0,0
HGST HMS5C4040ALE640,262,0,33,0,0,0
HGST HMS5C4040ALE640,262,0,30,0,0,0
HGST HMS5C4040ALE640,263,0,25,0,0,0
HGST HMS5C4040ALE640,235,0,26,0,0,0
HGST HMS5C4040ALE640,262,0,29,0,0,0
HGST HMS5C4040ALE640,290,0,28,0,0,0
HGST HMS5C4040ALE640,263,0,32,0,0,0
HGST HMS5C4040ALE640,263,0,33,0,0,0
HGST HMS5C4040ALE640,262,0,26,0,0,0
HGST HMS5C4040ALE640,290,0,29,0,0,0
HGST HMS5C4040ALE640,262,0,30,0,0,0
HGST HMS5C4040ALE640,293,0,30,0,0,0
HGST HMS5C4040ALE640,264,0,32,0,0,0
HGST HMS5C4040ALE640,262,0,29,0,0,0
HGST HMS5C4040ALE640,293,0,34,0,0,0
