"row_id","fold"
3,1
4,1
9,1
10,1
13,1
16,1
20,1
24,1
37,1
38,1
39,1
42,1
43,1
45,1
46,1
55,1
58,1
60,1
83,1
90,1
99,1
107,1
108,1
116,1
122,1
125,1
127,1
128,1
129,1
133,1
154,1
155,1
160,1
167,1
177,1
179,1
184,1
186,1
189,1
192,1
199,1
223,1
225,1
226,1
233,1
238,1
240,1
243,1
249,1
254,1
263,1
281,1
310,1
26,2
28,2
34,2
36,2
40,2
53,2
54,2
62,2
63,2
64,2
70,2
73,2
75,2
78,2
86,2
103,2
104,2
109,2
113,2
115,2
131,2
135,2
136,2
137,2
142,2
146,2
147,2
150,2
157,2
170,2
175,2
178,2
180,2
190,2
200,2
210,2
228,2
234,2
235,2
239,2
248,2
250,2
257,2
261,2
262,2
264,2
265,2
270,2
274,2
276,2
277,2
289,2
407,2
7,3
8,3
12,3
14,3
21,3
25,3
30,3
35,3
44,3
49,3
50,3
52,3
61,3
68,3
71,3
88,3
91,3
93,3
95,3
102,3
110,3
111,3
117,3
118,3
123,3
141,3
156,3
158,3
165,3
173,3
176,3
196,3
206,3
209,3
212,3
219,3
224,3
230,3
244,3
253,3
255,3
258,3
259,3
269,3
271,3
273,3
275,3
280,3
282,3
283,3
303,3
326,3
1,4
5,4
6,4
17,4
23,4
27,4
41,4
48,4
51,4
72,4
76,4
82,4
106,4
114,4
126,4
134,4
138,4
140,4
143,4
144,4
145,4
148,4
152,4
153,4
161,4
162,4
164,4
166,4
182,4
188,4
191,4
193,4
194,4
198,4
201,4
203,4
204,4
214,4
220,4
232,4
236,4
241,4
246,4
247,4
256,4
260,4
268,4
272,4
279,4
285,4
288,4
408,4
2,5
15,5
18,5
19,5
22,5
31,5
32,5
47,5
57,5
59,5
65,5
66,5
67,5
74,5
77,5
79,5
80,5
81,5
85,5
87,5
89,5
92,5
94,5
97,5
100,5
130,5
132,5
139,5
149,5
151,5
159,5
163,5
171,5
172,5
181,5
183,5
197,5
207,5
208,5
211,5
215,5
216,5
221,5
227,5
229,5
237,5
242,5
252,5
266,5
267,5
307,5
308,5
11,1
96,1
185,1
195,1
213,1
217,1
231,1
278,1
290,1
294,1
298,1
302,1
313,1
315,1
318,1
327,1
330,1
337,1
350,1
354,1
357,1
370,1
375,1
378,1
380,1
382,1
385,1
388,1
392,1
401,1
29,2
119,2
121,2
124,2
205,2
293,2
296,2
297,2
299,2
304,2
312,2
319,2
324,2
325,2
335,2
336,2
345,2
360,2
367,2
369,2
371,2
373,2
377,2
383,2
387,2
389,2
391,2
395,2
403,2
33,3
69,3
105,3
169,3
202,3
218,3
222,3
286,3
291,3
292,3
306,3
311,3
314,3
316,3
320,3
331,3
334,3
341,3
343,3
346,3
352,3
353,3
355,3
362,3
366,3
376,3
386,3
393,3
397,3
56,4
98,4
101,4
120,4
168,4
174,4
187,4
245,4
295,4
301,4
305,4
328,4
332,4
339,4
340,4
342,4
344,4
356,4
358,4
359,4
364,4
365,4
384,4
398,4
399,4
400,4
402,4
404,4
406,4
84,5
112,5
251,5
284,5
287,5
300,5
309,5
317,5
321,5
322,5
323,5
329,5
333,5
338,5
347,5
348,5
349,5
351,5
361,5
363,5
368,5
372,5
374,5
379,5
381,5
390,5
394,5
396,5
405,5
