"row_id","fold"
11,1
15,1
35,1
42,1
43,1
47,1
54,1
55,1
56,1
63,1
72,1
79,1
81,1
82,1
85,1
86,1
100,1
101,1
107,1
117,1
121,1
122,1
123,1
127,1
135,1
145,1
146,1
153,1
167,1
168,1
187,1
189,1
193,1
195,1
211,1
217,1
231,1
235,1
241,1
246,1
263,1
286,1
287,1
297,1
301,1
304,1
310,1
312,1
315,1
319,1
321,1
323,1
329,1
330,1
332,1
333,1
336,1
337,1
344,1
347,1
356,1
358,1
369,1
371,1
378,1
380,1
389,1
394,1
398,1
405,1
412,1
414,1
418,1
434,1
439,1
442,1
444,1
448,1
456,1
458,1
479,1
480,1
486,1
488,1
499,1
505,1
506,1
509,1
516,1
518,1
524,1
539,1
540,1
541,1
542,1
543,1
545,1
546,1
551,1
552,1
557,1
564,1
569,1
572,1
573,1
574,1
603,1
607,1
612,1
629,1
632,1
637,1
640,1
642,1
669,1
679,1
682,1
690,1
694,1
700,1
703,1
707,1
714,1
727,1
731,1
736,1
742,1
746,1
753,1
757,1
773,1
775,1
780,1
781,1
791,1
799,1
800,1
806,1
811,1
816,1
826,1
856,1
857,1
859,1
860,1
873,1
874,1
876,1
877,1
880,1
888,1
907,1
912,1
917,1
919,1
932,1
934,1
946,1
969,1
970,1
971,1
973,1
975,1
976,1
978,1
986,1
991,1
994,1
997,1
1002,1
1003,1
1004,1
1014,1
1016,1
1018,1
1025,1
1030,1
1032,1
1040,1
1051,1
1052,1
1055,1
1057,1
1071,1
1075,1
1080,1
1084,1
1093,1
1104,1
1109,1
1110,1
1116,1
1118,1
1119,1
1120,1
1135,1
1151,1
1153,1
1157,1
1161,1
1165,1
1168,1
1172,1
1176,1
1177,1
1179,1
1187,1
1195,1
1197,1
1208,1
1212,1
1220,1
1224,1
1235,1
1240,1
1241,1
1242,1
1244,1
1246,1
1248,1
1257,1
1263,1
1271,1
1292,1
1293,1
1297,1
1298,1
1303,1
1304,1
1305,1
1306,1
1313,1
1314,1
1316,1
1327,1
1330,1
1338,1
1342,1
1355,1
1367,1
1370,1
1379,1
1380,1
1382,1
1388,1
1402,1
1415,1
1426,1
1436,1
1437,1
1451,1
1470,1
1485,1
1494,1
1499,1
1509,1
1513,1
1516,1
1521,1
1526,1
1528,1
1531,1
1534,1
1540,1
1541,1
1551,1
1553,1
1560,1
1570,1
1587,1
1593,1
1596,1
1601,1
1607,1
1610,1
1615,1
1619,1
1628,1
1632,1
1637,1
1653,1
1654,1
1658,1
1660,1
1667,1
1671,1
1673,1
1677,1
1678,1
1679,1
1685,1
1686,1
1695,1
1698,1
1700,1
1707,1
1710,1
1712,1
1713,1
1717,1
1723,1
1726,1
1728,1
1729,1
1736,1
1740,1
1749,1
1753,1
1755,1
1757,1
1766,1
1770,1
1772,1
1774,1
1778,1
1781,1
1796,1
1797,1
1808,1
1812,1
1813,1
1815,1
1819,1
1820,1
1822,1
1827,1
1839,1
1841,1
1844,1
1846,1
1853,1
1861,1
1864,1
1872,1
1887,1
1894,1
1896,1
1910,1
1912,1
1915,1
1920,1
1922,1
1923,1
1925,1
1928,1
1931,1
1944,1
1949,1
1951,1
1956,1
1957,1
1963,1
1966,1
1972,1
1979,1
1986,1
1989,1
1994,1
2000,1
2003,1
2022,1
2028,1
2030,1
2037,1
2040,1
2044,1
2048,1
2059,1
2062,1
2082,1
2085,1
2089,1
2111,1
2112,1
2116,1
2125,1
2133,1
2134,1
2144,1
2186,1
2191,1
2201,1
4,2
20,2
33,2
37,2
39,2
44,2
52,2
57,2
59,2
61,2
65,2
66,2
70,2
75,2
77,2
83,2
87,2
92,2
95,2
96,2
98,2
99,2
105,2
116,2
130,2
132,2
137,2
139,2
141,2
142,2
144,2
148,2
155,2
160,2
162,2
163,2
165,2
173,2
174,2
176,2
181,2
184,2
190,2
197,2
200,2
205,2
212,2
220,2
233,2
239,2
243,2
248,2
253,2
256,2
264,2
269,2
270,2
274,2
277,2
279,2
281,2
284,2
290,2
293,2
296,2
307,2
309,2
317,2
324,2
342,2
352,2
353,2
355,2
360,2
370,2
381,2
386,2
393,2
399,2
403,2
417,2
419,2
421,2
422,2
430,2
432,2
443,2
446,2
451,2
459,2
460,2
466,2
472,2
485,2
500,2
502,2
503,2
507,2
513,2
514,2
520,2
534,2
537,2
544,2
548,2
558,2
563,2
565,2
582,2
591,2
609,2
616,2
617,2
619,2
630,2
631,2
649,2
650,2
652,2
655,2
656,2
658,2
660,2
661,2
666,2
689,2
692,2
697,2
704,2
705,2
711,2
712,2
713,2
717,2
719,2
721,2
722,2
724,2
738,2
743,2
747,2
755,2
784,2
785,2
788,2
793,2
805,2
807,2
815,2
824,2
825,2
832,2
833,2
838,2
840,2
848,2
852,2
853,2
864,2
866,2
869,2
875,2
878,2
885,2
899,2
904,2
906,2
914,2
915,2
923,2
925,2
941,2
948,2
950,2
951,2
952,2
953,2
962,2
965,2
979,2
980,2
995,2
996,2
1007,2
1021,2
1029,2
1038,2
1069,2
1077,2
1082,2
1083,2
1087,2
1097,2
1098,2
1100,2
1113,2
1121,2
1125,2
1129,2
1130,2
1131,2
1141,2
1150,2
1158,2
1164,2
1180,2
1186,2
1199,2
1201,2
1202,2
1217,2
1231,2
1237,2
1238,2
1250,2
1264,2
1266,2
1273,2
1278,2
1279,2
1281,2
1284,2
1288,2
1311,2
1312,2
1315,2
1321,2
1325,2
1332,2
1334,2
1349,2
1350,2
1354,2
1365,2
1376,2
1377,2
1384,2
1386,2
1395,2
1401,2
1406,2
1418,2
1419,2
1430,2
1443,2
1447,2
1448,2
1452,2
1453,2
1479,2
1482,2
1484,2
1488,2
1493,2
1496,2
1504,2
1505,2
1510,2
1511,2
1512,2
1525,2
1530,2
1533,2
1535,2
1538,2
1545,2
1554,2
1558,2
