@relation 'bladder0'
@attribute 'row_id' numeric
@attribute 'fold' numeric
@data
1,1
15,1
20,1
26,1
28,1
40,1
50,1
55,1
68,1
70,1
77,1
79,1
91,1
100,1
106,1
107,1
109,1
113,1
119,1
124,1
146,1
148,1
153,1
164,1
165,1
166,1
179,1
182,1
196,1
204,1
218,1
229,1
240,1
260,1
275,1
280,1
290,1
297,1
305,1
326,1
343,1
381,1
4,2
11,2
25,2
34,2
59,2
61,2
66,2
75,2
76,2
87,2
97,2
115,2
134,2
137,2
152,2
155,2
158,2
175,2
177,2
183,2
186,2
187,2
200,2
201,2
206,2
211,2
215,2
226,2
233,2
237,2
272,2
302,2
304,2
309,2
322,2
328,2
345,2
347,2
353,2
370,2
396,2
3,3
17,3
18,3
29,3
57,3
63,3
71,3
74,3
78,3
82,3
83,3
117,3
125,3
131,3
136,3
143,3
145,3
160,3
174,3
176,3
178,3
184,3
185,3
208,3
212,3
234,3
249,3
255,3
258,3
266,3
288,3
318,3
320,3
342,3
346,3
361,3
371,3
374,3
375,3
387,3
394,3
5,4
31,4
39,4
42,4
46,4
52,4
62,4
84,4
88,4
92,4
102,4
108,4
114,4
126,4
163,4
167,4
169,4
172,4
173,4
190,4
192,4
203,4
207,4
213,4
214,4
225,4
230,4
235,4
245,4
246,4
250,4
252,4
292,4
324,4
330,4
337,4
338,4
339,4
340,4
341,4
377,4
2,5
6,5
9,5
10,5
13,5
16,5
22,5
24,5
33,5
36,5
51,5
54,5
58,5
85,5
94,5
139,5
140,5
150,5
151,5
157,5
181,5
189,5
209,5
217,5
219,5
242,5
279,5
296,5
308,5
327,5
344,5
356,5
358,5
359,5
362,5
372,5
379,5
380,5
383,5
393,5
397,5
12,1
14,1
35,1
67,1
73,1
80,1
89,1
99,1
104,1
105,1
110,1
116,1
129,1
135,1
142,1
147,1
159,1
168,1
170,1
171,1
202,1
216,1
231,1
241,1
248,1
276,1
281,1
282,1
284,1
286,1
293,1
312,1
332,1
352,1
367,1
369,1
385,1
389,1
392,1
27,2
37,2
44,2
53,2
65,2
69,2
95,2
111,2
112,2
121,2
128,2
132,2
133,2
149,2
154,2
156,2
191,2
210,2
222,2
244,2
253,2
259,2
263,2
277,2
278,2
294,2
306,2
307,2
311,2
317,2
319,2
321,2
333,2
335,2
354,2
363,2
366,2
388,2
21,3
32,3
45,3
56,3
72,3
96,3
103,3
118,3
120,3
130,3
188,3
193,3
197,3
199,3
223,3
224,3
227,3
236,3
243,3
254,3
264,3
269,3
295,3
299,3
301,3
303,3
310,3
313,3
315,3
316,3
323,3
331,3
336,3
357,3
382,3
386,3
390,3
395,3
19,4
41,4
48,4
60,4
86,4
93,4
101,4
122,4
127,4
141,4
161,4
162,4
180,4
194,4
195,4
228,4
232,4
238,4
239,4
251,4
256,4
261,4
262,4
265,4
270,4
271,4
273,4
274,4
300,4
329,4
348,4
350,4
351,4
355,4
364,4
376,4
384,4
391,4
7,5
8,5
23,5
30,5
38,5
43,5
47,5
49,5
64,5
81,5
90,5
98,5
123,5
138,5
144,5
198,5
205,5
220,5
221,5
247,5
257,5
267,5
268,5
283,5
285,5
287,5
289,5
291,5
298,5
314,5
325,5
334,5
349,5
360,5
365,5
368,5
373,5
378,5
