"row_id","fold"
1,1
5,1
7,1
8,1
9,1
10,1
12,1
17,1
43,1
45,1
49,1
54,1
55,1
61,1
65,1
74,1
80,1
82,1
93,1
95,1
104,1
136,1
138,1
140,1
141,1
148,1
149,1
151,1
155,1
162,1
163,1
166,1
167,1
183,1
193,1
196,1
206,1
209,1
210,1
211,1
224,1
228,1
230,1
235,1
236,1
240,1
246,1
252,1
261,1
264,1
266,1
289,1
307,1
2,2
6,2
20,2
23,2
24,2
26,2
31,2
37,2
41,2
47,2
53,2
63,2
71,2
77,2
89,2
90,2
102,2
109,2
113,2
116,2
117,2
128,2
133,2
135,2
137,2
143,2
150,2
157,2
160,2
171,2
178,2
179,2
181,2
189,2
190,2
192,2
197,2
198,2
207,2
208,2
216,2
225,2
229,2
232,2
233,2
238,2
260,2
270,2
275,2
280,2
285,2
288,2
310,2
22,3
25,3
27,3
36,3
44,3
48,3
57,3
58,3
59,3
64,3
68,3
78,3
87,3
97,3
99,3
100,3
103,3
107,3
114,3
118,3
129,3
132,3
139,3
152,3
154,3
156,3
159,3
161,3
164,3
170,3
176,3
180,3
188,3
200,3
201,3
212,3
214,3
219,3
223,3
226,3
227,3
237,3
239,3
247,3
250,3
257,3
263,3
265,3
269,3
276,3
277,3
282,3
4,4
13,4
28,4
30,4
32,4
34,4
38,4
40,4
42,4
46,4
73,4
75,4
76,4
79,4
81,4
86,4
88,4
91,4
108,4
111,4
130,4
131,4
134,4
142,4
144,4
146,4
147,4
165,4
173,4
175,4
177,4
182,4
186,4
191,4
194,4
199,4
203,4
204,4
215,4
220,4
221,4
234,4
241,4
242,4
244,4
253,4
255,4
279,4
303,4
308,4
326,4
408,4
3,5
14,5
15,5
16,5
18,5
19,5
21,5
35,5
39,5
50,5
51,5
52,5
60,5
62,5
66,5
67,5
70,5
72,5
83,5
85,5
92,5
94,5
106,5
110,5
115,5
122,5
123,5
125,5
126,5
127,5
145,5
153,5
158,5
172,5
184,5
243,5
248,5
249,5
254,5
256,5
258,5
259,5
262,5
267,5
268,5
271,5
272,5
273,5
274,5
281,5
283,5
407,5
174,1
195,1
202,1
284,1
286,1
287,1
293,1
296,1
302,1
305,1
313,1
324,1
328,1
329,1
330,1
334,1
336,1
337,1
340,1
341,1
344,1
345,1
346,1
349,1
358,1
359,1
376,1
384,1
394,1
402,1
96,2
98,2
105,2
119,2
168,2
187,2
217,2
245,2
298,2
311,2
315,2
318,2
320,2
333,2
338,2
343,2
350,2
352,2
354,2
360,2
362,2
367,2
377,2
378,2
379,2
387,2
388,2
392,2
399,2
29,3
56,3
124,3
205,3
251,3
290,3
291,3
297,3
306,3
309,3
312,3
314,3
317,3
327,3
335,3
339,3
356,3
357,3
363,3
369,3
373,3
382,3
389,3
393,3
397,3
400,3
404,3
405,3
406,3
11,4
69,4
169,4
185,4
213,4
218,4
222,4
278,4
292,4
295,4
300,4
304,4
316,4
319,4
322,4
331,4
342,4
347,4
348,4
351,4
368,4
370,4
372,4
374,4
375,4
380,4
381,4
383,4
398,4
33,5
84,5
101,5
112,5
120,5
121,5
231,5
294,5
299,5
301,5
321,5
323,5
325,5
332,5
353,5
355,5
361,5
364,5
365,5
366,5
371,5
385,5
386,5
390,5
391,5
395,5
396,5
401,5
403,5
