"set","iteration","row_id"
"train",1,13
"train",1,15
"train",1,19
"train",1,35
"train",1,40
"train",1,44
"train",1,47
"train",1,102
"train",1,229
"train",1,235
"train",1,239
"train",1,241
"train",1,298
"train",1,310
"train",1,314
"train",1,321
"train",1,323
"train",1,324
"train",1,340
"train",1,350
"train",1,351
"train",1,352
"train",1,356
"train",1,358
"train",1,366
"train",1,371
"train",1,372
"train",1,373
"train",1,375
"train",1,378
"train",1,431
"train",1,439
"train",1,441
"train",1,448
"train",1,453
"train",1,1
"train",1,2
"train",1,3
"train",1,7
"train",1,8
"train",1,9
"train",1,10
"train",1,12
"train",1,23
"train",1,24
"train",1,30
"train",1,33
"train",1,34
"train",1,37
"train",1,46
"train",1,57
"train",1,228
"train",1,243
"train",1,306
"train",1,317
"train",1,319
"train",1,326
"train",1,334
"train",1,337
"train",1,345
"train",1,357
"train",1,362
"train",1,363
"train",1,365
"train",1,428
"train",1,432
"train",1,440
"train",1,449
"train",1,450
"train",1,458
"train",1,11
"train",1,26
"train",1,29
"train",1,31
"train",1,32
"train",1,36
"train",1,42
"train",1,51
"train",1,52
"train",1,53
"train",1,54
"train",1,233
"train",1,234
"train",1,236
"train",1,237
"train",1,301
"train",1,302
"train",1,304
"train",1,308
"train",1,313
"train",1,318
"train",1,344
"train",1,347
"train",1,368
"train",1,369
"train",1,376
"train",1,377
"train",1,403
"train",1,430
"train",1,436
"train",1,437
"train",1,446
"train",1,447
"train",1,456
"train",1,457
"train",1,4
"train",1,5
"train",1,16
"train",1,17
"train",1,18
"train",1,25
"train",1,28
"train",1,38
"train",1,39
"train",1,41
"train",1,43
"train",1,48
"train",1,49
"train",1,50
"train",1,56
"train",1,245
"train",1,254
"train",1,300
"train",1,303
"train",1,305
"train",1,309
"train",1,316
"train",1,325
"train",1,328
"train",1,331
"train",1,338
"train",1,339
"train",1,354
"train",1,360
"train",1,367
"train",1,379
"train",1,429
"train",1,442
"train",1,444
"train",1,451
"train",1,62
"train",1,63
"train",1,64
"train",1,72
"train",1,82
