"set","iteration","row_id"
"train",1,20
"train",1,25
"train",1,33
"train",1,34
"train",1,35
"train",1,64
"train",1,66
"train",1,79
"train",1,80
"train",1,95
"train",1,96
"train",1,104
"train",1,121
"train",1,135
"train",1,145
"train",1,149
"train",1,157
"train",1,160
"train",1,161
"train",1,163
"train",1,164
"train",1,168
"train",1,172
"train",1,181
"train",1,201
"train",1,211
"train",1,215
"train",1,221
"train",1,223
"train",1,231
"train",1,234
"train",1,235
"train",1,239
"train",1,250
"train",1,254
"train",1,268
"train",1,277
"train",1,282
"train",1,292
"train",1,301
"train",1,306
"train",1,313
"train",1,315
"train",1,316
"train",1,317
"train",1,326
"train",1,345
"train",1,351
"train",1,353
"train",1,357
"train",1,370
"train",1,373
"train",1,374
"train",1,377
"train",1,391
"train",1,392
"train",1,394
"train",1,403
"train",1,408
"train",1,409
"train",1,432
"train",1,439
"train",1,450
"train",1,451
"train",1,452
"train",1,454
"train",1,455
"train",1,460
"train",1,461
"train",1,468
"train",1,471
"train",1,472
"train",1,473
"train",1,475
"train",1,477
"train",1,478
"train",1,480
"train",1,484
"train",1,493
"train",1,498
"train",1,511
"train",1,26
"train",1,39
"train",1,41
"train",1,43
"train",1,44
"train",1,46
"train",1,51
"train",1,53
"train",1,55
"train",1,59
"train",1,62
"train",1,85
"train",1,98
"train",1,111
"train",1,112
"train",1,130
"train",1,131
"train",1,134
"train",1,142
"train",1,151
"train",1,154
"train",1,162
"train",1,170
"train",1,171
"train",1,176
"train",1,179
"train",1,182
"train",1,183
"train",1,189
"train",1,193
"train",1,204
"train",1,208
"train",1,214
"train",1,217
"train",1,220
"train",1,222
"train",1,226
"train",1,228
"train",1,248
"train",1,256
"train",1,257
"train",1,258
"train",1,260
"train",1,261
"train",1,265
"train",1,267
"train",1,272
"train",1,281
"train",1,286
"train",1,294
"train",1,304
"train",1,305
"train",1,308
"train",1,309
"train",1,311
"train",1,319
"train",1,338
"train",1,339
"train",1,341
"train",1,342
"train",1,346
"train",1,358
"train",1,360
"train",1,367
"train",1,371
"train",1,388
"train",1,400
"train",1,402
"train",1,424
"train",1,428
"train",1,459
"train",1,462
"train",1,467
"train",1,470
"train",1,476
"train",1,489
"train",1,492
"train",1,508
"train",1,515
"train",1,516
"train",1,517
"train",1,1
"train",1,5
"train",1,10
"train",1,17
"train",1,22
"train",1,40
"train",1,47
"train",1,48
"train",1,49
"train",1,50
"train",1,56
"train",1,57
"train",1,74
"train",1,75
"train",1,78
"train",1,84
"train",1,86
"train",1,87
"train",1,91
"train",1,101
"train",1,103
"train",1,113
"train",1,116
"train",1,119
"train",1,128
"train",1,138
"train",1,146
"train",1,152
"train",1,173
"train",1,178
"train",1,180
"train",1,192
"train",1,200
"train",1,207
"train",1,213
"train",1,216
"train",1,219
"train",1,225
"train",1,230
"train",1,232
"train",1,237
"train",1,241
"train",1,243
"train",1,269
"train",1,283
"train",1,284
"train",1,291
"train",1,295
"train",1,303
"train",1,310
"train",1,322
"train",1,332
"train",1,333
"train",1,347
"train",1,352
"train",1,365
"train",1,376
"train",1,378
"train",1,382
"train",1,387
"train",1,395
"train",1,401
"train",1,404
"train",1,407
"train",1,410
"train",1,414
"train",1,417
"train",1,419
"train",1,420
"train",1,436
"train",1,437
"train",1,440
"train",1,441
"train",1,442
"train",1,448
"train",1,458
"train",1,479
"train",1,495
"train",1,496
"train",1,501
"train",1,510
"train",1,2
"train",1,8
"train",1,9
"train",1,11
"train",1,12
"train",1,16
"train",1,19
"train",1,23
"train",1,24
"train",1,27
"train",1,36
"train",1,60
"train",1,61
"train",1,76
"train",1,77
"train",1,88
"train",1,92
"train",1,93
"train",1,97
"train",1,100
"train",1,105
"train",1,106
"train",1,114
"train",1,120
"train",1,123
"train",1,126
"train",1,139
"train",1,141
"train",1,147
"train",1,150
"train",1,155
"train",1,159
"train",1,166
"train",1,169
"train",1,175
"train",1,185
"train",1,187
"train",1,191
"train",1,195
"train",1,199
"train",1,212
"train",1,218
"train",1,233
"train",1,240
"train",1,247
"train",1,249
"train",1,251
"train",1,253
"train",1,287
"train",1,288
"train",1,300
"train",1,302
"train",1,307
"train",1,330
"train",1,355
"train",1,359
"train",1,362
"train",1,363
"train",1,383
"train",1,386
