"set","iteration","row_id"
"train",1,2
"train",1,4
"train",1,5
"train",1,14
"train",1,18
"train",1,21
"train",1,47
"train",1,48
"train",1,49
"train",1,54
"train",1,66
"train",1,69
"train",1,71
"train",1,73
"train",1,75
"train",1,77
"train",1,100
"train",1,101
"train",1,104
"train",1,108
"train",1,110
"train",1,117
"train",1,121
"train",1,125
"train",1,126
"train",1,127
"train",1,138
"train",1,167
"train",1,172
"train",1,181
"train",1,188
"train",1,195
"train",1,196
"train",1,197
"train",1,204
"train",1,206
"train",1,214
"train",1,222
"train",1,235
"train",1,240
"train",1,249
"train",1,251
"train",1,253
"train",1,255
"train",1,257
"train",1,262
"train",1,264
"train",1,267
"train",1,273
"train",1,275
"train",1,276
"train",1,278
"train",1,281
"train",1,287
"train",1,302
"train",1,316
"train",1,318
"train",1,323
"train",1,327
"train",1,329
"train",1,335
"train",1,338
"train",1,339
"train",1,345
"train",1,351
"train",1,353
"train",1,354
"train",1,359
"train",1,376
"train",1,378
"train",1,385
"train",1,392
"train",1,394
"train",1,397
"train",1,406
"train",1,408
"train",1,415
"train",1,418
"train",1,419
"train",1,424
"train",1,428
"train",1,429
"train",1,437
"train",1,439
"train",1,445
"train",1,447
"train",1,454
"train",1,456
"train",1,462
"train",1,467
"train",1,486
"train",1,491
"train",1,500
"train",1,509
"train",1,511
"train",1,512
"train",1,513
"train",1,527
"train",1,539
"train",1,541
"train",1,549
"train",1,554
"train",1,561
"train",1,568
"train",1,581
"train",1,591
"train",1,594
"train",1,596
"train",1,598
"train",1,600
"train",1,601
"train",1,609
"train",1,614
"train",1,617
"train",1,623
"train",1,627
"train",1,630
"train",1,631
"train",1,642
"train",1,647
"train",1,653
"train",1,654
"train",1,661
"train",1,662
"train",1,666
"train",1,670
"train",1,675
"train",1,683
"train",1,691
"train",1,700
"train",1,708
"train",1,714
"train",1,717
"train",1,719
"train",1,724
"train",1,730
"train",1,733
"train",1,735
"train",1,738
"train",1,744
"train",1,760
"train",1,766
"train",1,767
"train",1,768
"train",1,772
"train",1,777
"train",1,780
"train",1,785
"train",1,795
"train",1,801
"train",1,802
"train",1,809
"train",1,810
"train",1,815
"train",1,816
"train",1,825
"train",1,827
"train",1,831
"train",1,832
"train",1,833
"train",1,842
"train",1,848
"train",1,851
"train",1,853
"train",1,854
"train",1,855
"train",1,858
"train",1,861
"train",1,870
"train",1,884
"train",1,886
"train",1,887
"train",1,889
"train",1,890
"train",1,910
"train",1,912
"train",1,915
"train",1,917
"train",1,920
"train",1,928
"train",1,933
"train",1,947
"train",1,952
"train",1,957
