"set","iteration","row_id"
"train",1,7
"train",1,29
"train",1,46
"train",1,51
"train",1,105
"train",1,121
"train",1,123
"train",1,136
"train",1,137
"train",1,144
"train",1,164
"train",1,187
"train",1,198
"train",1,218
"train",1,272
"train",1,286
"train",1,290
"train",1,291
"train",1,292
"train",1,294
"train",1,307
"train",1,327
"train",1,344
"train",1,346
"train",1,351
"train",1,384
"train",1,386
"train",1,391
"train",1,397
"train",1,432
"train",1,437
"train",1,456
"train",1,467
"train",1,472
"train",1,477
"train",1,479
"train",1,487
"train",1,491
"train",1,496
"train",1,499
"train",1,536
"train",1,556
"train",1,564
"train",1,566
"train",1,574
"train",1,579
"train",1,582
"train",1,583
"train",1,619
"train",1,653
"train",1,659
"train",1,663
"train",1,680
"train",1,688
"train",1,693
"train",1,724
"train",1,725
"train",1,741
"train",1,754
"train",1,781
"train",1,787
"train",1,797
"train",1,798
"train",1,814
"train",1,826
"train",1,841
"train",1,842
"train",1,875
"train",1,888
"train",1,889
"train",1,891
"train",1,911
"train",1,922
"train",1,929
"train",1,950
"train",1,964
"train",1,968
"train",1,972
"train",1,982
"train",1,1009
"train",1,1010
"train",1,1011
"train",1,1015
"train",1,1025
"train",1,1036
"train",1,1042
"train",1,1067
"train",1,1079
"train",1,1110
"train",1,1111
"train",1,1112
"train",1,1115
"train",1,1124
"train",1,1131
"train",1,1137
"train",1,1142
"train",1,1143
"train",1,1146
"train",1,1147
"train",1,1160
"train",1,1203
"train",1,1208
"train",1,1217
"train",1,1218
"train",1,1232
"train",1,1234
"train",1,1241
"train",1,1257
"train",1,1292
"train",1,1302
"train",1,1305
"train",1,1314
"train",1,1341
"train",1,1357
"train",1,1363
"train",1,1367
"train",1,1371
"train",1,1374
"train",1,1392
"train",1,1422
"train",1,1428
"train",1,1439
"train",1,1440
"train",1,1478
"train",1,1485
"train",1,1490
"train",1,1495
"train",1,1504
"train",1,1560
"train",1,1564
"train",1,1570
"train",1,1571
"train",1,1581
"train",1,1585
"train",1,1595
"train",1,1627
"train",1,1646
"train",1,1648
"train",1,1661
"train",1,1664
"train",1,1672
"train",1,1677
"train",1,1723
"train",1,1729
"train",1,1730
"train",1,1739
"train",1,1746
"train",1,1749
"train",1,1753
"train",1,1760
"train",1,1782
"train",1,1806
"train",1,1816
"train",1,1823
"train",1,1824
"train",1,1853
"train",1,1865
"train",1,1867
"train",1,1874
"train",1,1892
"train",1,6
"train",1,24
