"set","iteration","row_id"
"train",1,1
"train",1,7
"train",1,9
"train",1,12
"train",1,14
"train",1,15
"train",1,23
"train",1,24
"train",1,27
"train",1,30
"train",1,58
"train",1,75
"train",1,88
"train",1,101
"train",1,105
"train",1,106
"train",1,115
"train",1,133
"train",1,141
"train",1,144
"train",1,151
"train",1,155
"train",1,158
"train",1,167
"train",1,174
"train",1,194
"train",1,206
"train",1,208
"train",1,217
"train",1,219
"train",1,222
"train",1,234
"train",1,237
"train",1,239
"train",1,240
"train",1,250
"train",1,266
"train",1,275
"train",1,276
"train",1,285
"train",1,288
"train",1,300
"train",1,312
"train",1,316
"train",1,338
"train",1,348
"train",1,351
"train",1,353
"train",1,366
"train",1,369
"train",1,378
"train",1,391
"train",1,395
"train",1,396
"train",1,414
"train",1,441
"train",1,448
"train",1,461
"train",1,473
"train",1,483
"train",1,485
"train",1,502
"train",1,515
"train",1,523
"train",1,540
"train",1,542
"train",1,546
"train",1,552
"train",1,554
"train",1,555
"train",1,607
"train",1,614
"train",1,617
"train",1,625
"train",1,627
"train",1,648
"train",1,650
"train",1,672
"train",1,673
"train",1,674
"train",1,679
"train",1,700
"train",1,709
"train",1,743
"train",1,744
"train",1,748
"train",1,755
"train",1,769
"train",1,777
"train",1,789
"train",1,796
"train",1,826
"train",1,844
"train",1,897
"train",1,906
"train",1,922
"train",1,932
"train",1,937
"train",1,940
"train",1,942
"train",1,953
"train",1,961
"train",1,962
"train",1,964
"train",1,976
"train",1,977
"train",1,1012
"train",1,1026
"train",1,1029
"train",1,1037
"train",1,4
"train",1,13
"train",1,19
"train",1,21
"train",1,33
"train",1,60
"train",1,66
"train",1,78
"train",1,84
"train",1,92
"train",1,93
"train",1,95
"train",1,96
"train",1,104
"train",1,122
"train",1,123
"train",1,124
"train",1,130
"train",1,159
"train",1,160
"train",1,168
"train",1,175
"train",1,176
"train",1,181
"train",1,187
"train",1,209
"train",1,229
"train",1,231
"train",1,233
"train",1,241
"train",1,242
"train",1,251
"train",1,282
"train",1,290
"train",1,292
"train",1,293
"train",1,294
"train",1,304
"train",1,305
"train",1,314
"train",1,319
"train",1,323
"train",1,332
"train",1,345
"train",1,350
"train",1,355
"train",1,387
"train",1,420
"train",1,424
"train",1,427
"train",1,431
"train",1,439
"train",1,445
"train",1,453
"train",1,454
"train",1,455
"train",1,465
"train",1,467
"train",1,482
"train",1,484
"train",1,495
"train",1,501
"train",1,503
"train",1,504
"train",1,514
"train",1,519
"train",1,525
"train",1,528
"train",1,539
"train",1,551
"train",1,565
"train",1,569
"train",1,591
"train",1,618
"train",1,628
"train",1,630
"train",1,638
"train",1,639
"train",1,664
"train",1,669
"train",1,716
"train",1,740
"train",1,757
"train",1,759
"train",1,788
"train",1,816
"train",1,820
"train",1,822
"train",1,831
"train",1,846
"train",1,849
"train",1,850
"train",1,861
"train",1,905
"train",1,918
"train",1,921
"train",1,929
"train",1,936
"train",1,939
"train",1,941
"train",1,952
"train",1,979
"train",1,996
"train",1,1008
"train",1,1016
"train",1,1022
"train",1,1033
"train",1,1035
"train",1,1040
"train",1,10
"train",1,17
"train",1,26
"train",1,32
"train",1,43
"train",1,45
"train",1,46
"train",1,49
"train",1,59
"train",1,72
"train",1,74
"train",1,89
"train",1,97
"train",1,112
"train",1,126
"train",1,129
"train",1,161
"train",1,163
"train",1,172
"train",1,173
"train",1,183
"train",1,189
"train",1,204
"train",1,211
"train",1,232
"train",1,238
"train",1,249
"train",1,259
"train",1,262
"train",1,269
"train",1,283
"train",1,284
"train",1,296
"train",1,307
"train",1,317
"train",1,326
"train",1,327
"train",1,333
"train",1,343
"train",1,344
"train",1,349
"train",1,354
"train",1,360
"train",1,365
"train",1,367
"train",1,370
"train",1,374
"train",1,389
"train",1,406
"train",1,423
"train",1,426
"train",1,436
"train",1,437
"train",1,456
"train",1,466
"train",1,479
"train",1,487
"train",1,512
"train",1,518
"train",1,526
"train",1,531
"train",1,536
"train",1,544
"train",1,548
"train",1,549
"train",1,559
"train",1,560
"train",1,562
"train",1,570
"train",1,571
"train",1,572
"train",1,577
"train",1,579
"train",1,602
"train",1,612
"train",1,631
"train",1,632
"train",1,652
"train",1,654
"train",1,657
"train",1,661
"train",1,703
"train",1,714
"train",1,719
"train",1,721
"train",1,725
"train",1,726
"train",1,737
"train",1,749
"train",1,758
"train",1,764
"train",1,787
"train",1,803
"train",1,825
"train",1,839
"train",1,848
"train",1,855
"train",1,857
"train",1,875
"train",1,889
"train",1,898
"train",1,911
"train",1,914
"train",1,938
"train",1,949
"train",1,971
"train",1,1001
"train",1,1011
"train",1,1038
"train",1,11
"train",1,37
"train",1,44
"train",1,53
"train",1,70
"train",1,80
