"set","iteration","row_id"
"train",1,7
"train",1,11
"train",1,14
"train",1,20
"train",1,22
"train",1,24
"train",1,32
"train",1,36
"train",1,38
"train",1,46
"train",1,53
"train",1,55
"train",1,59
"train",1,62
"train",1,63
"train",1,72
"train",1,76
"train",1,77
"train",1,84
"train",1,86
"train",1,94
"train",1,96
"train",1,107
"train",1,114
"train",1,119
"train",1,125
"train",1,129
"train",1,146
"train",1,152
"train",1,155
"train",1,158
"train",1,174
"train",1,176
"train",1,182
"train",1,184
"train",1,199
"train",1,201
"train",1,240
"train",1,245
"train",1,247
"train",1,256
"train",1,257
"train",1,260
"train",1,264
"train",1,273
"train",1,274
"train",1,283
"train",1,286
"train",1,292
"train",1,294
"train",1,296
"train",1,300
"train",1,301
"train",1,313
"train",1,326
"train",1,327
"train",1,341
"train",1,343
"train",1,344
"train",1,349
"train",1,353
"train",1,365
"train",1,383
"train",1,384
"train",1,389
"train",1,390
"train",1,391
"train",1,401
"train",1,410
"train",1,415
"train",1,420
"train",1,422
"train",1,424
"train",1,434
"train",1,436
"train",1,440
"train",1,453
"train",1,454
"train",1,455
"train",1,460
"train",1,461
"train",1,472
"train",1,475
"train",1,485
"train",1,489
"train",1,511
"train",1,524
"train",1,526
"train",1,529
"train",1,535
"train",1,549
"train",1,567
"train",1,570
"train",1,15
"train",1,17
"train",1,25
"train",1,40
"train",1,41
"train",1,47
"train",1,50
"train",1,51
"train",1,54
"train",1,57
"train",1,78
"train",1,79
"train",1,87
"train",1,88
"train",1,91
"train",1,95
"train",1,99
"train",1,108
"train",1,112
"train",1,117
"train",1,118
"train",1,132
"train",1,143
"train",1,149
"train",1,169
"train",1,171
"train",1,177
"train",1,179
"train",1,183
"train",1,194
"train",1,203
"train",1,204
"train",1,212
"train",1,214
"train",1,217
"train",1,219
"train",1,221
"train",1,224
"train",1,232
"train",1,239
"train",1,250
"train",1,254
"train",1,258
"train",1,270
"train",1,278
"train",1,293
"train",1,295
"train",1,297
"train",1,299
"train",1,314
"train",1,320
"train",1,325
"train",1,328
"train",1,329
"train",1,331
"train",1,338
"train",1,339
"train",1,342
"train",1,352
"train",1,354
"train",1,357
"train",1,361
"train",1,380
"train",1,388
"train",1,403
"train",1,418
"train",1,425
"train",1,426
"train",1,428
"train",1,437
"train",1,438
"train",1,443
"train",1,456
"train",1,458
"train",1,465
"train",1,469
"train",1,470
"train",1,474
"train",1,490
"train",1,496
"train",1,507
"train",1,518
"train",1,525
"train",1,528
"train",1,530
"train",1,536
"train",1,545
"train",1,553
"train",1,554
"train",1,557
"train",1,563
"train",1,566
"train",1,573
"train",1,8
"train",1,23
"train",1,26
"train",1,27
"train",1,28
"train",1,33
"train",1,35
"train",1,37
"train",1,43
"train",1,44
"train",1,67
"train",1,69
"train",1,70
"train",1,83
"train",1,89
"train",1,93
"train",1,110
"train",1,111
"train",1,113
"train",1,126
"train",1,134
"train",1,138
"train",1,145
"train",1,159
"train",1,165
"train",1,173
"train",1,178
"train",1,180
"train",1,186
"train",1,187
"train",1,188
"train",1,191
"train",1,198
"train",1,200
"train",1,218
"train",1,225
"train",1,233
"train",1,236
"train",1,246
"train",1,248
"train",1,249
"train",1,252
"train",1,261
