"set","iteration","row_id"
"train",1,2
"train",1,4
"train",1,9
"train",1,18
"train",1,20
"train",1,24
"train",1,26
"train",1,27
"train",1,37
"train",1,38
"train",1,39
"train",1,46
"train",1,54
"train",1,58
"train",1,63
"train",1,77
"train",1,80
"train",1,81
"train",1,96
"train",1,101
"train",1,102
"train",1,104
"train",1,109
"train",1,114
"train",1,118
"train",1,123
"train",1,124
"train",1,125
"train",1,131
"train",1,134
"train",1,135
"train",1,136
"train",1,3
"train",1,6
"train",1,8
"train",1,12
"train",1,15
"train",1,16
"train",1,19
"train",1,23
"train",1,25
"train",1,31
"train",1,34
"train",1,35
"train",1,45
"train",1,49
"train",1,53
"train",1,61
"train",1,62
"train",1,68
"train",1,70
"train",1,71
"train",1,74
"train",1,79
"train",1,85
"train",1,87
"train",1,90
"train",1,92
"train",1,93
"train",1,94
"train",1,106
"train",1,111
"train",1,121
"train",1,128
"train",1,1
"train",1,5
"train",1,13
"train",1,28
"train",1,33
"train",1,36
"train",1,40
"train",1,43
"train",1,47
"train",1,48
"train",1,50
"train",1,56
"train",1,59
"train",1,65
"train",1,66
"train",1,67
"train",1,78
"train",1,82
"train",1,84
"train",1,88
"train",1,95
"train",1,98
"train",1,100
"train",1,108
"train",1,115
"train",1,116
"train",1,117
"train",1,120
"train",1,122
"train",1,127
"train",1,130
"train",1,133
"train",1,10
"train",1,14
"train",1,22
"train",1,91
"train",1,72
"train",1,73
"train",2,7
"train",2,11
"train",2,17
"train",2,29
"train",2,30
"train",2,32
"train",2,41
"train",2,42
"train",2,44
"train",2,51
"train",2,52
"train",2,55
"train",2,57
"train",2,60
"train",2,69
"train",2,75
"train",2,76
"train",2,83
"train",2,86
"train",2,89
"train",2,97
"train",2,99
"train",2,103
"train",2,105
"train",2,107
"train",2,112
"train",2,113
"train",2,119
"train",2,126
"train",2,129
"train",2,132
"train",2,137
"train",2,3
"train",2,6
"train",2,8
"train",2,12
"train",2,15
"train",2,16
"train",2,19
"train",2,23
"train",2,25
"train",2,31
"train",2,34
"train",2,35
"train",2,45
"train",2,49
"train",2,53
"train",2,61
"train",2,62
"train",2,68
"train",2,70
"train",2,71
"train",2,74
"train",2,79
"train",2,85
"train",2,87
"train",2,90
"train",2,92
"train",2,93
"train",2,94
"train",2,106
"train",2,111
"train",2,121
"train",2,128
"train",2,1
"train",2,5
"train",2,13
"train",2,28
"train",2,33
"train",2,36
"train",2,40
"train",2,43
"train",2,47
"train",2,48
"train",2,50
"train",2,56
"train",2,59
"train",2,65
"train",2,66
"train",2,67
"train",2,78
"train",2,82
