"set","iteration","row_id"
"train",1,16
"train",1,17
"train",1,24
"train",1,25
"train",1,28
"train",1,32
"train",1,35
"train",1,45
"train",1,47
"train",1,58
"train",1,62
"train",1,81
"train",1,93
"train",1,98
"train",1,101
"train",1,102
"train",1,110
"train",1,117
"train",1,130
"train",1,150
"train",1,180
"train",1,183
"train",1,2
"train",1,5
"train",1,20
"train",1,22
"train",1,26
"train",1,38
"train",1,39
"train",1,52
"train",1,55
"train",1,70
"train",1,71
"train",1,84
"train",1,90
"train",1,133
"train",1,135
"train",1,148
"train",1,156
"train",1,179
"train",1,181
"train",1,185
"train",1,187
"train",1,190
"train",1,12
"train",1,13
"train",1,15
"train",1,31
"train",1,46
"train",1,48
"train",1,67
"train",1,73
"train",1,80
"train",1,83
"train",1,85
"train",1,88
"train",1,107
"train",1,109
"train",1,111
"train",1,116
"train",1,123
"train",1,127
"train",1,146
"train",1,152
"train",1,153
"train",1,186
"train",1,7
"train",1,14
"train",1,18
"train",1,27
"train",1,40
"train",1,41
"train",1,61
"train",1,63
"train",1,65
"train",1,77
"train",1,78
"train",1,86
"train",1,91
"train",1,99
"train",1,124
"train",1,138
"train",1,158
"train",1,159
"train",1,165
"train",1,168
"train",1,176
"train",1,4
"train",1,8
"train",1,51
"train",1,69
"train",1,72
"train",1,76
"train",1,105
"train",1,118
"train",1,121
"train",1,128
"train",1,141
"train",1,143
"train",1,147
"train",1,151
"train",1,182
"train",1,189
"train",1,11
"train",1,21
"train",1,54
"train",1,56
"train",1,94
"train",1,96
"train",1,113
"train",1,120
"train",1,132
"train",1,137
"train",1,144
"train",1,161
"train",1,162
"train",1,166
"train",1,172
"train",1,184
"train",1,36
"train",1,37
"train",1,44
"train",1,57
"train",1,60
"train",1,64
"train",1,66
"train",1,82
"train",1,92
"train",1,97
"train",1,103
"train",1,119
"train",1,136
"train",1,145
"train",1,169
"train",1,173
"train",1,9
"train",1,23
"train",1,29
"train",1,33
"train",1,50
"train",1,75
"train",1,79
"train",1,95
"train",1,112
"train",1,114
"train",1,115
"train",1,125
"train",1,140
"train",1,154
"train",1,155
"train",1,167
"train",2,1
"train",2,3
"train",2,6
"train",2,10
"train",2,19
"train",2,34
"train",2,43
"train",2,49
"train",2,53
"train",2,59
"train",2,74
"train",2,87
