"row_id","fold"
20,1
44,1
47,1
75,1
80,1
81,1
82,1
85,1
89,1
93,1
97,1
100,1
103,1
105,1
106,1
115,1
121,1
125,1
141,1
145,1
152,1
153,1
162,1
168,1
173,1
195,1
225,1
227,1
236,1
248,1
249,1
254,1
255,1
256,1
259,1
276,1
282,1
298,1
310,1
339,1
346,1
372,1
377,1
395,1
412,1
416,1
417,1
454,1
473,1
481,1
2,2
16,2
23,2
28,2
30,2
33,2
35,2
41,2
45,2
49,2
51,2
59,2
87,2
91,2
104,2
107,2
123,2
128,2
154,2
158,2
161,2
178,2
187,2
191,2
196,2
207,2
209,2
211,2
213,2
233,2
250,2
252,2
253,2
261,2
263,2
265,2
291,2
326,2
330,2
335,2
338,2
350,2
355,2
376,2
399,2
411,2
421,2
432,2
440,2
462,2
1,3
9,3
24,3
25,3
27,3
29,3
40,3
43,3
52,3
54,3
56,3
61,3
71,3
111,3
117,3
122,3
129,3
137,3
151,3
163,3
164,3
174,3
186,3
190,3
197,3
204,3
215,3
220,3
224,3
241,3
242,3
247,3
257,3
262,3
269,3
303,3
307,3
308,3
311,3
317,3
320,3
322,3
334,3
365,3
398,3
407,3
408,3
410,3
419,3
426,3
3,4
4,4
5,4
7,4
8,4
12,4
13,4
14,4
17,4
21,4
26,4
32,4
37,4
50,4
53,4
70,4
73,4
78,4
84,4
86,4
99,4
102,4
135,4
142,4
167,4
179,4
192,4
193,4
217,4
229,4
238,4
239,4
244,4
246,4
300,4
309,4
318,4
328,4
343,4
368,4
370,4
371,4
374,4
379,4
406,4
409,4
413,4
414,4
415,4
445,4
6,5
11,5
15,5
39,5
77,5
79,5
83,5
110,5
119,5
120,5
130,5
132,5
136,5
144,5
157,5
159,5
160,5
165,5
166,5
180,5
185,5
189,5
200,5
210,5
216,5
232,5
251,5
264,5
270,5
272,5
273,5
278,5
283,5
290,5
306,5
336,5
337,5
360,5
363,5
369,5
397,5
418,5
434,5
449,5
450,5
452,5
469,5
474,5
480,5
18,1
66,1
67,1
72,1
114,1
124,1
133,1
138,1
147,1
155,1
176,1
188,1
202,1
203,1
219,1
231,1
245,1
260,1
280,1
287,1
302,1
304,1
313,1
316,1
321,1
329,1
332,1
333,1
345,1
349,1
366,1
375,1
390,1
396,1
400,1
422,1
423,1
425,1
436,1
441,1
444,1
446,1
456,1
459,1
464,1
472,1
477,1
42,2
48,2
55,2
90,2
96,2
101,2
113,2
127,2
131,2
134,2
140,2
149,2
183,2
226,2
230,2
237,2
243,2
267,2
271,2
277,2
284,2
286,2
296,2
301,2
315,2
319,2
331,2
353,2
354,2
356,2
358,2
382,2
386,2
393,2
402,2
428,2
429,2
430,2
438,2
442,2
447,2
451,2
453,2
463,2
466,2
468,2
478,2
19,3
31,3
58,3
63,3
65,3
69,3
95,3
98,3
116,3
143,3
170,3
171,3
172,3
177,3
199,3
206,3
212,3
214,3
221,3
234,3
274,3
294,3
295,3
297,3
299,3
305,3
323,3
324,3
325,3
342,3
359,3
361,3
362,3
384,3
388,3
389,3
401,3
403,3
405,3
427,3
431,3
433,3
455,3
460,3
470,3
476,3
10,4
22,4
34,4
36,4
38,4
57,4
60,4
64,4
94,4
108,4
112,4
118,4
139,4
146,4
169,4
182,4
184,4
201,4
208,4
218,4
268,4
281,4
285,4
288,4
289,4
293,4
312,4
327,4
340,4
344,4
347,4
351,4
352,4
364,4
381,4
387,4
392,4
424,4
439,4
443,4
448,4
457,4
458,4
461,4
475,4
479,4
46,5
62,5
68,5
74,5
76,5
88,5
92,5
109,5
126,5
148,5
150,5
156,5
175,5
181,5
194,5
198,5
205,5
222,5
223,5
228,5
235,5
240,5
258,5
266,5
275,5
279,5
292,5
314,5
341,5
348,5
357,5
367,5
373,5
378,5
380,5
383,5
385,5
391,5
394,5
404,5
420,5
435,5
437,5
465,5
467,5
471,5
