"row_id","fold"
2,1
5,1
9,1
12,1
15,1
23,1
28,1
33,1
41,1
49,1
64,1
66,1
71,1
73,1
76,1
79,1
91,1
96,1
110,1
116,1
123,1
130,1
132,1
139,1
145,1
150,1
154,1
155,1
156,1
157,1
164,1
185,1
186,1
189,1
195,1
211,1
215,1
217,1
219,1
236,1
246,1
247,1
272,1
278,1
289,1
302,1
303,1
306,1
307,1
311,1
314,1
321,1
330,1
346,1
353,1
355,1
359,1
366,1
368,1
373,1
376,1
381,1
401,1
413,1
418,1
423,1
424,1
425,1
427,1
429,1
430,1
433,1
438,1
440,1
446,1
448,1
461,1
464,1
469,1
472,1
512,1
514,1
517,1
525,1
533,1
534,1
537,1
541,1
544,1
1,2
6,2
8,2
14,2
17,2
19,2
21,2
24,2
31,2
36,2
40,2
44,2
45,2
47,2
51,2
53,2
59,2
60,2
68,2
70,2
82,2
95,2
103,2
119,2
127,2
135,2
141,2
142,2
152,2
153,2
162,2
163,2
165,2
169,2
196,2
200,2
204,2
206,2
208,2
213,2
224,2
226,2
228,2
241,2
256,2
261,2
268,2
273,2
274,2
281,2
294,2
296,2
299,2
308,2
326,2
332,2
335,2
337,2
352,2
371,2
383,2
392,2
402,2
414,2
415,2
416,2
419,2
421,2
442,2
443,2
452,2
456,2
459,2
466,2
475,2
476,2
492,2
495,2
496,2
502,2
507,2
510,2
515,2
516,2
520,2
524,2
535,2
538,2
545,2
13,3
18,3
25,3
26,3
30,3
56,3
63,3
74,3
85,3
88,3
109,3
111,3
112,3
133,3
136,3
137,3
138,3
146,3
149,3
159,3
160,3
171,3
174,3
176,3
178,3
184,3
188,3
194,3
197,3
199,3
207,3
212,3
232,3
237,3
239,3
244,3
248,3
249,3
253,3
255,3
258,3
259,3
260,3
262,3
265,3
267,3
275,3
277,3
283,3
305,3
312,3
316,3
327,3
333,3
334,3
336,3
339,3
345,3
348,3
349,3
360,3
363,3
379,3
380,3
385,3
388,3
390,3
391,3
398,3
400,3
410,3
411,3
422,3
428,3
431,3
432,3
450,3
454,3
455,3
462,3
471,3
481,3
499,3
505,3
509,3
522,3
523,3
531,3
532,3
7,4
11,4
16,4
32,4
34,4
35,4
42,4
48,4
50,4
57,4
62,4
69,4
77,4
78,4
81,4
83,4
84,4
90,4
92,4
97,4
102,4
117,4
120,4
121,4
122,4
126,4
134,4
143,4
158,4
168,4
170,4
177,4
180,4
190,4
192,4
202,4
210,4
214,4
216,4
218,4
223,4
227,4
229,4
230,4
238,4
240,4
242,4
252,4
270,4
276,4
279,4
280,4
285,4
293,4
301,4
304,4
318,4
342,4
350,4
354,4
356,4
369,4
370,4
372,4
374,4
375,4
377,4
387,4
394,4
397,4
404,4
408,4
451,4
458,4
463,4
465,4
474,4
482,4
485,4
486,4
488,4
490,4
491,4
497,4
504,4
506,4
521,4
543,4
546,4
3,5
10,5
39,5
46,5
52,5
54,5
58,5
61,5
65,5
72,5
75,5
87,5
93,5
94,5
98,5
99,5
104,5
106,5
113,5
115,5
118,5
128,5
129,5
144,5
147,5
148,5
161,5
166,5
175,5
183,5
193,5
203,5
209,5
235,5
243,5
245,5
250,5
251,5
269,5
282,5
284,5
288,5
291,5
295,5
309,5
310,5
317,5
323,5
324,5
325,5
341,5
344,5
357,5
358,5
364,5
367,5
378,5
384,5
389,5
396,5
403,5
406,5
420,5
426,5
436,5
439,5
441,5
453,5
457,5
460,5
467,5
468,5
470,5
473,5
477,5
479,5
480,5
484,5
493,5
498,5
501,5
508,5
513,5
519,5
526,5
529,5
536,5
539,5
540,5
4,1
22,1
38,1
100,1
101,1
167,1
182,1
191,1
225,1
234,1
297,1
298,1
319,1
328,1
347,1
386,1
399,1
437,1
447,1
487,1
518,1
27,2
105,2
108,2
205,2
221,2
264,2
287,2
290,2
329,2
340,2
351,2
395,2
409,2
412,2
417,2
445,2
449,2
494,2
528,2
542,2
20,3
43,3
124,3
187,3
201,3
222,3
231,3
263,3
266,3
320,3
343,3
393,3
407,3
444,3
478,3
483,3
489,3
500,3
511,3
527,3
29,4
37,4
55,4
67,4
80,4
114,4
131,4
140,4
173,4
181,4
198,4
220,4
233,4
257,4
271,4
300,4
322,4
405,4
434,4
435,4
86,5
89,5
107,5
125,5
151,5
172,5
179,5
254,5
286,5
292,5
313,5
315,5
331,5
338,5
361,5
362,5
365,5
382,5
503,5
530,5
