@relation 'e1684'
@attribute 'row_id' numeric
@attribute 'fold' numeric
@data
1,1
8,1
10,1
12,1
20,1
25,1
31,1
50,1
58,1
69,1
87,1
88,1
92,1
97,1
100,1
104,1
109,1
112,1
118,1
123,1
135,1
150,1
160,1
161,1
165,1
170,1
180,1
196,1
200,1
207,1
210,1
215,1
223,1
226,1
227,1
243,1
248,1
255,1
257,1
263,1
14,2
23,2
33,2
35,2
38,2
47,2
49,2
56,2
73,2
78,2
79,2
82,2
90,2
91,2
98,2
105,2
114,2
121,2
122,2
143,2
147,2
167,2
173,2
182,2
185,2
188,2
208,2
209,2
224,2
231,2
238,2
239,2
245,2
259,2
260,2
265,2
270,2
277,2
282,2
2,3
7,3
29,3
41,3
48,3
59,3
72,3
74,3
75,3
80,3
102,3
106,3
110,3
124,3
128,3
130,3
132,3
151,3
155,3
159,3
174,3
175,3
178,3
184,3
186,3
187,3
191,3
192,3
194,3
195,3
199,3
201,3
202,3
225,3
228,3
247,3
258,3
276,3
279,3
4,4
5,4
13,4
22,4
24,4
32,4
40,4
62,4
65,4
83,4
93,4
96,4
113,4
140,4
141,4
142,4
144,4
157,4
162,4
163,4
164,4
169,4
197,4
203,4
206,4
213,4
218,4
219,4
220,4
229,4
234,4
237,4
251,4
253,4
261,4
262,4
264,4
271,4
280,4
11,5
15,5
18,5
19,5
27,5
28,5
42,5
45,5
53,5
54,5
57,5
60,5
63,5
64,5
68,5
76,5
86,5
103,5
111,5
116,5
126,5
129,5
134,5
137,5
145,5
154,5
158,5
171,5
176,5
189,5
190,5
204,5
211,5
217,5
233,5
240,5
244,5
252,5
272,5
6,1
16,1
39,1
43,1
70,1
81,1
89,1
99,1
148,1
156,1
166,1
179,1
181,1
216,1
221,1
230,1
242,1
273,1
9,2
26,2
30,2
67,2
115,2
127,2
136,2
138,2
172,2
183,2
193,2
222,2
232,2
241,2
266,2
267,2
275,2
278,2
34,3
44,3
61,3
85,3
94,3
101,3
107,3
119,3
125,3
146,3
152,3
153,3
177,3
205,3
214,3
254,3
268,3
284,3
3,4
21,4
37,4
46,4
51,4
52,4
55,4
77,4
117,4
133,4
139,4
198,4
246,4
249,4
250,4
256,4
281,4
17,5
36,5
66,5
71,5
84,5
95,5
108,5
120,5
131,5
149,5
168,5
212,5
235,5
236,5
269,5
274,5
283,5
