"row_id","fold"
8,1
12,1
29,1
38,1
41,1
48,1
50,1
53,1
56,1
58,1
63,1
65,1
69,1
75,1
78,1
103,1
104,1
122,1
124,1
142,1
154,1
155,1
162,1
171,1
174,1
180,1
182,1
185,1
188,1
189,1
197,1
199,1
208,1
211,1
213,1
215,1
227,1
245,1
262,1
279,1
1,2
14,2
18,2
20,2
24,2
25,2
47,2
49,2
54,2
60,2
79,2
86,2
90,2
92,2
97,2
98,2
129,2
135,2
143,2
144,2
158,2
160,2
167,2
176,2
178,2
186,2
187,2
191,2
218,2
229,2
233,2
234,2
237,2
238,2
248,2
260,2
261,2
270,2
272,2
2,3
5,3
15,3
23,3
28,3
33,3
42,3
64,3
102,3
105,3
109,3
111,3
112,3
116,3
121,3
126,3
128,3
130,3
132,3
150,3
161,3
163,3
169,3
192,3
194,3
202,3
204,3
206,3
209,3
219,3
224,3
225,3
240,3
243,3
244,3
251,3
252,3
255,3
258,3
4,4
27,4
31,4
57,4
62,4
68,4
72,4
73,4
74,4
76,4
82,4
88,4
93,4
96,4
100,4
110,4
137,4
141,4
151,4
159,4
164,4
165,4
170,4
195,4
196,4
201,4
203,4
207,4
223,4
226,4
228,4
231,4
239,4
253,4
257,4
259,4
263,4
264,4
277,4
7,5
10,5
11,5
13,5
19,5
22,5
32,5
35,5
40,5
45,5
59,5
80,5
83,5
87,5
91,5
106,5
113,5
114,5
118,5
123,5
134,5
140,5
145,5
147,5
157,5
173,5
175,5
184,5
190,5
200,5
210,5
217,5
220,5
247,5
265,5
271,5
276,5
280,5
282,5
3,1
9,1
26,1
36,1
39,1
44,1
70,1
120,1
131,1
138,1
149,1
166,1
168,1
177,1
198,1
222,1
241,1
256,1
16,2
17,2
51,2
81,2
84,2
95,2
119,2
133,2
146,2
181,2
235,2
236,2
242,2
249,2
250,2
269,2
275,2
278,2
6,3
30,3
34,3
43,3
61,3
77,3
101,3
108,3
148,3
152,3
156,3
193,3
212,3
214,3
232,3
266,3
274,3
284,3
46,4
66,4
85,4
89,4
94,4
107,4
115,4
125,4
136,4
139,4
179,4
183,4
216,4
230,4
246,4
254,4
273,4
21,5
37,5
52,5
55,5
67,5
71,5
99,5
117,5
127,5
153,5
172,5
205,5
221,5
267,5
268,5
281,5
283,5
