"row_id","fold"
8,1
12,1
20,1
34,1
35,1
36,1
40,1
41,1
44,1
51,1
54,1
59,1
63,1
79,1
81,1
82,1
83,1
110,1
111,1
114,1
119,1
123,1
138,1
154,1
1,2
11,2
19,2
22,2
23,2
24,2
25,2
31,2
38,2
45,2
47,2
53,2
56,2
61,2
65,2
70,2
71,2
74,2
90,2
106,2
122,2
140,2
141,2
150,2
2,3
6,3
15,3
16,3
21,3
28,3
29,3
39,3
43,3
50,3
55,3
66,3
67,3
69,3
72,3
76,3
85,3
87,3
94,3
98,3
101,3
117,3
126,3
131,3
7,4
9,4
10,4
14,4
17,4
18,4
27,4
30,4
33,4
48,4
60,4
73,4
77,4
84,4
88,4
89,4
92,4
95,4
97,4
99,4
132,4
142,4
144,4
159,4
4,5
5,5
13,5
32,5
37,5
42,5
46,5
57,5
58,5
80,5
86,5
91,5
93,5
102,5
103,5
105,5
108,5
109,5
112,5
113,5
124,5
127,5
148,5
149,5
68,1
104,1
107,1
121,1
134,1
136,1
145,1
151,1
155,1
165,1
3,2
62,2
78,2
96,2
100,2
118,2
130,2
133,2
143,2
161,2
49,3
116,3
120,3
128,3
146,3
153,3
160,3
163,3
167,3
26,4
52,4
115,4
125,4
135,4
139,4
156,4
162,4
166,4
64,5
75,5
129,5
137,5
147,5
152,5
157,5
158,5
164,5
