@relation 'ova'
@attribute 'row_id' numeric
@attribute 'fold' numeric
@data
2,1
3,1
16,1
25,1
42,1
43,1
48,1
49,1
50,1
58,1
63,1
70,1
72,1
78,1
83,1
87,1
95,1
108,1
109,1
117,1
123,1
126,1
128,1
134,1
139,1
143,1
156,1
161,1
170,1
183,1
184,1
202,1
208,1
215,1
216,1
219,1
223,1
243,1
250,1
264,1
265,1
266,1
273,1
275,1
276,1
277,1
283,1
295,1
311,1
322,1
337,1
342,1
349,1
354,1
6,2
7,2
13,2
19,2
33,2
34,2
36,2
39,2
44,2
45,2
52,2
61,2
67,2
68,2
90,2
91,2
115,2
116,2
125,2
127,2
129,2
135,2
137,2
148,2
153,2
154,2
158,2
166,2
167,2
169,2
177,2
179,2
181,2
199,2
201,2
204,2
205,2
211,2
226,2
237,2
244,2
249,2
251,2
258,2
259,2
291,2
292,2
299,2
312,2
320,2
334,2
336,2
343,2
9,3
18,3
28,3
31,3
46,3
54,3
55,3
62,3
64,3
73,3
84,3
89,3
92,3
96,3
99,3
104,3
105,3
114,3
119,3
146,3
151,3
155,3
163,3
172,3
180,3
182,3
186,3
200,3
209,3
222,3
229,3
230,3
233,3
245,3
254,3
262,3
263,3
269,3
272,3
282,3
287,3
289,3
290,3
294,3
300,3
302,3
304,3
314,3
315,3
318,3
325,3
330,3
333,3
1,4
5,4
11,4
37,4
47,4
75,4
77,4
80,4
88,4
94,4
98,4
103,4
112,4
113,4
130,4
132,4
136,4
140,4
144,4
147,4
149,4
159,4
160,4
165,4
168,4
171,4
174,4
176,4
178,4
187,4
191,4
194,4
206,4
212,4
214,4
218,4
234,4
236,4
241,4
248,4
256,4
261,4
274,4
280,4
307,4
316,4
323,4
329,4
332,4
340,4
341,4
345,4
358,4
4,5
12,5
14,5
15,5
20,5
26,5
27,5
29,5
32,5
35,5
41,5
51,5
53,5
56,5
57,5
59,5
60,5
65,5
66,5
71,5
76,5
85,5
100,5
102,5
118,5
122,5
138,5
141,5
150,5
152,5
157,5
192,5
197,5
203,5
213,5
227,5
228,5
235,5
257,5
268,5
270,5
271,5
279,5
281,5
285,5
296,5
297,5
298,5
301,5
305,5
309,5
310,5
348,5
24,1
69,1
81,1
106,1
111,1
162,1
173,1
188,1
193,1
196,1
207,1
221,1
242,1
252,1
260,1
317,1
319,1
352,1
353,1
17,2
23,2
79,2
82,2
97,2
131,2
185,2
195,2
220,2
232,2
267,2
288,2
306,2
308,2
313,2
326,2
328,2
335,2
351,2
22,3
86,3
107,3
133,3
145,3
175,3
189,3
190,3
198,3
217,3
231,3
253,3
284,3
327,3
331,3
338,3
344,3
356,3
8,4
10,4
30,4
40,4
74,4
93,4
101,4
124,4
164,4
240,4
247,4
255,4
278,4
286,4
293,4
324,4
355,4
357,4
21,5
38,5
110,5
120,5
121,5
142,5
210,5
224,5
225,5
238,5
239,5
246,5
303,5
321,5
339,5
346,5
347,5
350,5
