"row_id","fold"
6,1
9,1
20,1
28,1
29,1
32,1
43,1
45,1
50,1
80,1
84,1
85,1
100,1
112,1
113,1
123,1
125,1
134,1
138,1
148,1
152,1
154,1
157,1
166,1
168,1
172,1
184,1
191,1
203,1
205,1
208,1
211,1
219,1
222,1
223,1
229,1
235,1
245,1
251,1
259,1
266,1
272,1
274,1
275,1
281,1
312,1
315,1
320,1
325,1
329,1
330,1
332,1
334,1
337,1
1,2
3,2
7,2
11,2
13,2
18,2
31,2
33,2
39,2
46,2
60,2
72,2
77,2
87,2
89,2
90,2
95,2
96,2
103,2
122,2
127,2
128,2
146,2
151,2
156,2
158,2
159,2
165,2
167,2
169,2
178,2
179,2
186,2
194,2
197,2
215,2
218,2
227,2
248,2
256,2
257,2
258,2
269,2
280,2
282,2
283,2
298,2
301,2
304,2
310,2
311,2
343,2
354,2
2,3
4,3
19,3
25,3
26,3
36,3
37,3
42,3
44,3
52,3
53,3
54,3
55,3
56,3
58,3
61,3
63,3
68,3
70,3
76,3
78,3
83,3
98,3
99,3
102,3
104,3
109,3
116,3
135,3
141,3
150,3
153,3
163,3
174,3
183,3
199,3
212,3
213,3
216,3
234,3
249,3
261,3
262,3
264,3
268,3
279,3
290,3
292,3
297,3
309,3
333,3
348,3
349,3
14,4
16,4
35,4
41,4
48,4
49,4
57,4
67,4
73,4
91,4
92,4
94,4
105,4
115,4
117,4
118,4
126,4
129,4
136,4
139,4
140,4
147,4
149,4
170,4
171,4
182,4
187,4
201,4
202,4
206,4
226,4
230,4
237,4
243,4
244,4
254,4
263,4
265,4
270,4
276,4
277,4
285,4
287,4
291,4
294,4
295,4
296,4
307,4
314,4
323,4
340,4
341,4
345,4
5,5
12,5
15,5
27,5
34,5
47,5
51,5
59,5
62,5
64,5
65,5
66,5
71,5
75,5
88,5
108,5
114,5
119,5
130,5
132,5
137,5
143,5
144,5
155,5
160,5
161,5
176,5
177,5
180,5
181,5
192,5
200,5
204,5
209,5
214,5
228,5
233,5
236,5
241,5
250,5
271,5
273,5
289,5
299,5
300,5
302,5
305,5
316,5
318,5
322,5
336,5
342,5
358,5
10,1
22,1
82,1
111,1
120,1
133,1
193,1
196,1
198,1
217,1
246,1
252,1
260,1
284,1
286,1
288,1
319,1
356,1
357,1
21,2
23,2
38,2
106,2
124,2
145,2
162,2
164,2
189,2
190,2
224,2
225,2
247,2
278,2
306,2
313,2
335,2
338,2
347,2
30,3
74,3
81,3
93,3
110,3
173,3
188,3
239,3
253,3
293,3
303,3
324,3
326,3
328,3
344,3
350,3
351,3
355,3
8,4
17,4
69,4
86,4
97,4
142,4
175,4
185,4
207,4
231,4
240,4
242,4
308,4
317,4
321,4
327,4
352,4
353,4
24,5
40,5
79,5
101,5
107,5
121,5
131,5
195,5
210,5
220,5
221,5
232,5
238,5
255,5
267,5
331,5
339,5
346,5
