set,iteration,row_id
train,1,1
train,1,2
train,1,13
train,1,16
train,1,17
train,1,18
train,1,19
train,1,22
train,1,24
train,1,27
train,1,36
train,1,37
train,1,40
train,1,42
train,1,43
train,1,44
train,1,45
train,1,46
train,1,60
train,1,61
train,1,63
train,1,68
train,1,72
train,1,77
train,1,78
train,1,87
train,1,90
train,1,94
train,1,99
train,1,100
train,1,107
train,1,113
train,1,115
train,1,116
train,1,118
train,1,129
train,1,130
train,1,134
train,1,136
train,1,142
train,1,143
train,1,146
train,1,150
train,1,153
train,1,154
train,1,156
train,1,159
train,1,162
train,1,163
train,1,175
train,1,177
train,1,179
train,1,184
train,1,186
train,1,189
train,1,190
train,1,194
train,1,199
train,1,201
train,1,206
train,1,207
train,1,214
train,1,216
train,1,221
train,1,224
train,1,226
train,1,232
train,1,233
train,1,235
train,1,237
train,1,243
train,1,246
train,1,247
train,1,250
train,1,253
train,1,257
train,1,259
train,1,262
train,1,264
train,1,269
train,1,270
train,1,271
train,1,276
train,1,280
train,1,310
train,1,326
train,1,407
train,1,11
train,1,96
train,1,121
train,1,168
train,1,185
train,1,195
train,1,217
train,1,245
train,1,251
train,1,284
train,1,286
train,1,287
train,1,291
train,1,292
train,1,294
train,1,301
train,1,302
train,1,311
train,1,312
train,1,314
train,1,317
train,1,318
train,1,324
train,1,327
train,1,333
train,1,336
train,1,337
train,1,338
train,1,343
train,1,344
train,1,345
train,1,346
train,1,347
train,1,350
train,1,351
train,1,354
train,1,355
train,1,357
train,1,363
train,1,367
train,1,377
train,1,383
train,1,386
train,1,387
train,1,391
train,1,394
train,1,399
train,1,401
train,1,405
train,1,3
train,1,7
train,1,9
train,1,10
train,1,14
train,1,15
train,1,20
train,1,21
train,1,25
train,1,28
train,1,30
train,1,34
train,1,47
train,1,49
train,1,52
train,1,54
train,1,55
train,1,57
train,1,59
train,1,62
train,1,66
train,1,71
train,1,74
train,1,75
train,1,76
train,1,83
train,1,91
train,1,93
train,1,111
train,1,117
train,1,123
train,1,126
train,1,127
train,1,128
train,1,131
train,1,132
train,1,133
train,1,137
train,1,138
train,1,141
train,1,145
train,1,148
train,1,157
train,1,165
train,1,166
train,1,170
train,1,171
train,1,173
train,1,176
train,1,178
train,1,181
train,1,182
train,1,183
train,1,188
train,1,191
train,1,192
train,1,196
train,1,197
train,1,198
train,1,204
train,1,210
train,1,211
train,1,219
train,1,220
train,1,223
train,1,227
train,1,229
train,1,234
train,1,238
train,1,239
train,1,241
train,1,248
train,1,252
train,1,258
train,1,261
train,1,265
train,1,268
train,1,272
train,1,273
train,1,279
train,1,281
train,1,282
train,1,285
train,1,288
train,1,289
train,1,307
train,1,408
train,1,33
train,1,56
train,1,101
train,1,112
train,1,119
train,1,124
train,1,169
train,1,187
train,1,205
train,1,218
train,1,222
train,1,278
train,1,297
train,1,298
train,1,300
train,1,305
train,1,306
train,1,315
train,1,316
train,1,322
train,1,325
train,1,328
train,1,329
train,1,334
train,1,339
train,1,340
train,1,341
train,1,342
train,1,349
train,1,358
train,1,360
train,1,361
train,1,365
train,1,366
train,1,370
train,1,371
train,1,378
train,1,381
train,1,382
