set,iteration,row_id
train,1,2
train,1,3
train,1,6
train,1,8
train,1,13
train,1,38
train,1,39
train,1,40
train,1,41
train,1,43
train,1,46
train,1,47
train,1,49
train,1,59
train,1,64
train,1,70
train,1,73
train,1,79
train,1,81
train,1,83
train,1,84
train,1,89
train,1,93
train,1,94
train,1,97
train,1,98
train,1,110
train,1,111
train,1,113
train,1,114
train,1,116
train,1,122
train,1,123
train,1,124
train,1,131
train,1,135
train,1,138
train,1,140
train,1,144
train,1,145
train,1,151
train,1,152
train,1,153
train,1,157
train,1,158
train,1,160
train,1,165
train,1,167
train,1,170
train,1,171
train,1,173
train,1,176
train,1,198
train,1,199
train,1,201
train,1,205
train,1,207
train,1,211
train,1,215
train,1,220
train,1,222
train,1,223
train,1,225
train,1,228
train,1,242
train,1,244
train,1,248
train,1,253
train,1,255
train,1,257
train,1,265
train,1,266
train,1,270
train,1,272
train,1,275
train,1,276
train,1,277
train,1,282
train,1,284
train,1,285
train,1,287
train,1,288
train,1,289
train,1,292
train,1,295
train,1,296
train,1,301
train,1,309
train,1,315
train,1,316
train,1,324
train,1,326
train,1,329
train,1,337
train,1,350
train,1,351
train,1,354
train,1,362
train,1,365
train,1,369
train,1,372
train,1,375
train,1,376
train,1,380
train,1,383
train,1,387
train,1,388
train,1,392
train,1,394
train,1,396
train,1,398
train,1,404
train,1,413
train,1,414
train,1,421
train,1,422
train,1,425
train,1,426
train,1,429
train,1,438
train,1,439
train,1,440
train,1,451
train,1,453
train,1,454
train,1,460
train,1,462
train,1,463
train,1,464
train,1,465
train,1,474
train,1,483
train,1,484
train,1,486
train,1,496
train,1,499
train,1,503
train,1,504
train,1,506
train,1,511
train,1,515
train,1,520
train,1,521
train,1,525
train,1,535
train,1,536
train,1,537
train,1,538
train,1,540
train,1,544
train,1,546
train,1,548
train,1,555
train,1,561
train,1,563
train,1,564
train,1,568
train,1,574
train,1,576
train,1,580
train,1,581
train,1,582
train,1,586
train,1,588
train,1,593
train,1,600
train,1,601
train,1,603
train,1,612
train,1,613
train,1,616
train,1,620
train,1,626
train,1,627
train,1,646
train,1,650
train,1,657
train,1,658
train,1,660
train,1,661
train,1,663
train,1,664
train,1,666
train,1,669
train,1,671
train,1,674
train,1,676
train,1,678
train,1,681
train,1,685
train,1,687
train,1,688
train,1,689
train,1,695
train,1,698
train,1,703
train,1,705
train,1,714
train,1,715
train,1,717
train,1,719
train,1,722
train,1,731
train,1,737
train,1,740
train,1,747
train,1,749
train,1,757
train,1,758
train,1,766
train,1,772
train,1,790
train,1,791
train,1,795
train,1,800
train,1,801
train,1,803
train,1,817
train,1,819
train,1,823
train,1,829
train,1,832
train,1,836
train,1,840
train,1,851
train,1,858
train,1,863
train,1,869
train,1,873
train,1,874
train,1,878
train,1,881
train,1,883
train,1,888
train,1,889
train,1,892
train,1,895
train,1,900
train,1,902
train,1,905
train,1,910
train,1,913
train,1,914
train,1,916
train,1,917
train,1,927
train,1,933
