set,iteration,row_id
train,1,1
train,1,2
train,1,9
train,1,11
train,1,16
train,1,31
train,1,33
train,1,34
train,1,42
train,1,46
train,1,58
train,1,68
train,1,70
train,1,74
train,1,88
train,1,92
train,1,97
train,1,102
train,1,115
train,1,134
train,1,140
train,1,145
train,1,146
train,1,148
train,1,155
train,1,157
train,1,160
train,1,164
train,1,165
train,1,169
train,1,172
train,1,173
train,1,174
train,1,175
train,1,178
train,1,181
train,1,184
train,1,186
train,1,200
train,1,201
train,1,203
train,1,206
train,1,207
train,1,209
train,1,212
train,1,214
train,1,215
train,1,219
train,1,229
train,1,233
train,1,234
train,1,249
train,1,275
train,1,279
train,1,290
train,1,302
train,1,318
train,1,320
train,1,322
train,1,326
train,1,327
train,1,343
train,1,345
train,1,359
train,1,361
train,1,370
train,1,374
train,1,377
train,1,397
train,1,12
train,1,27
train,1,41
train,1,47
train,1,49
train,1,56
train,1,96
train,1,99
train,1,101
train,1,103
train,1,112
train,1,121
train,1,128
train,1,129
train,1,135
train,1,141
train,1,142
train,1,147
train,1,162
train,1,170
train,1,194
train,1,197
train,1,198
train,1,199
train,1,202
train,1,205
train,1,220
train,1,221
train,1,236
train,1,247
train,1,248
train,1,256
train,1,262
train,1,264
train,1,267
train,1,271
train,1,274
train,1,282
train,1,295
train,1,298
train,1,301
train,1,303
train,1,306
train,1,307
train,1,312
train,1,317
train,1,319
train,1,325
train,1,334
train,1,336
train,1,348
train,1,349
train,1,350
train,1,351
train,1,352
train,1,354
train,1,357
train,1,365
train,1,368
train,1,373
train,1,378
train,1,382
train,1,391
train,1,392
train,1,3
train,1,5
train,1,15
train,1,17
train,1,22
train,1,24
train,1,26
train,1,29
train,1,36
train,1,39
train,1,50
train,1,51
train,1,52
train,1,54
train,1,55
train,1,57
train,1,63
train,1,66
train,1,75
train,1,78
train,1,82
train,1,84
train,1,100
train,1,106
train,1,109
train,1,114
train,1,117
train,1,125
train,1,137
train,1,143
train,1,150
train,1,152
train,1,153
train,1,163
train,1,176
train,1,179
train,1,185
train,1,189
train,1,190
train,1,208
train,1,217
train,1,218
train,1,225
train,1,245
train,1,246
train,1,250
train,1,252
train,1,260
train,1,292
train,1,305
train,1,324
train,1,337
train,1,338
train,1,339
train,1,342
train,1,344
train,1,347
train,1,353
train,1,356
train,1,358
train,1,362
train,1,371
train,1,372
train,1,375
train,1,380
train,1,383
train,1,387
train,1,394
train,1,7
train,1,14
train,1,19
train,1,30
train,1,35
train,1,37
train,1,38
train,1,43
train,1,44
train,1,45
train,1,67
train,1,72
train,1,80
train,1,93
train,1,98
train,1,104
train,1,105
train,1,110
train,1,111
train,1,120
train,1,132
train,1,133
train,1,144
train,1,149
train,1,156
train,1,168
train,1,171
train,1,180
train,1,191
train,1,195
train,1,210
train,1,227
train,1,232
train,1,238
train,1,241
train,1,254
train,1,261
train,1,263
train,1,265
train,1,269
train,1,270
train,1,276
train,1,277
train,1,283
train,1,286
train,1,289
train,1,293
train,1,294
train,1,310
train,1,313
train,1,314
train,1,332
train,1,355
train,1,363
train,1,364
train,1,367
train,1,369
train,1,376
train,1,384
train,1,386
train,1,388
