"set","iteration","row_id"
"train",1,4
"train",1,9
"train",1,10
"train",1,12
"train",1,14
"train",1,17
"train",1,19
"train",1,23
"train",1,24
"train",1,28
"train",1,30
"train",1,33
"train",1,34
"train",1,44
"train",1,48
"train",1,50
"train",1,59
"train",1,64
"train",1,71
"train",1,72
"train",1,75
"train",1,91
"train",1,96
"train",1,105
"train",1,130
"train",1,132
"train",1,133
"train",1,150
"train",1,161
"train",1,170
"train",1,171
"train",1,180
"train",1,181
"train",1,191
"train",1,207
"train",1,210
"train",1,213
"train",1,214
"train",1,216
"train",1,221
"train",1,222
"train",1,231
"train",1,241
"train",1,242
"train",1,244
"train",1,247
"train",1,251
"train",1,258
"train",1,265
"train",1,271
"train",1,272
"train",1,280
"train",1,283
"train",1,290
"train",1,294
"train",1,299
"train",1,300
"train",1,312
"train",1,313
"train",1,328
"train",1,336
"train",1,337
"train",1,340
"train",1,345
"train",1,352
"train",1,358
"train",1,361
"train",1,365
"train",1,369
"train",1,371
"train",1,373
"train",1,378
"train",1,379
"train",1,383
"train",1,385
"train",1,416
"train",1,422
"train",1,425
"train",1,436
"train",1,442
"train",1,454
"train",1,456
"train",1,458
"train",1,462
"train",1,463
"train",1,468
"train",1,470
"train",1,472
"train",1,481
"train",1,483
"train",1,485
"train",1,488
"train",1,494
"train",1,498
"train",1,499
"train",1,501
"train",1,505
"train",1,509
"train",1,512
"train",1,519
"train",1,523
"train",1,534
"train",1,544
"train",1,557
"train",1,562
"train",1,570
"train",1,574
"train",1,578
"train",1,582
"train",1,588
"train",1,595
"train",1,621
"train",1,624
"train",1,626
"train",1,628
"train",1,631
"train",1,635
"train",1,640
"train",1,641
"train",1,649
"train",1,656
"train",1,658
"train",1,668
"train",1,673
"train",1,676
"train",1,681
"train",1,696
"train",1,697
"train",1,698
"train",1,705
"train",1,715
"train",1,717
"train",1,720
"train",1,723
"train",1,727
"train",1,728
"train",1,742
"train",1,744
"train",1,746
"train",1,747
"train",1,752
"train",1,754
"train",1,755
"train",1,757
"train",1,764
"train",1,765
"train",1,767
"train",1,770
"train",1,776
"train",1,777
"train",1,785
"train",1,786
"train",1,798
"train",1,801
"train",1,802
"train",1,811
"train",1,816
"train",1,819
"train",1,823
"train",1,847
"train",1,854
"train",1,855
"train",1,862
"train",1,866
"train",1,868
"train",1,870
"train",1,877
"train",1,885
"train",1,888
"train",1,889
"train",1,895
"train",1,896
"train",1,901
"train",1,903
"train",1,905
"train",1,907
"train",1,911
"train",1,912
"train",1,915
"train",1,930
"train",1,935
"train",1,938
"train",1,940
"train",1,942
"train",1,946
"train",1,953
"train",1,958
"train",1,972
"train",1,980
"train",1,982
"train",1,985
"train",1,989
"train",1,999
"train",1,1000
"train",1,1005
"train",1,1006
"train",1,1007
"train",1,1008
"train",1,1021
"train",1,1022
"train",1,1031
"train",1,1039
"train",1,1044
"train",1,1045
"train",1,1048
"train",1,1051
"train",1,1055
"train",1,1057
"train",1,1072
"train",1,1079
"train",1,1082
"train",1,1088
"train",1,1094
"train",1,1113
"train",1,1114
"train",1,1116
"train",1,1117
"train",1,1120
"train",1,1127
"train",1,1134
"train",1,1135
"train",1,1136
"train",1,1137
"train",1,1139
"train",1,1144
"train",1,1147
"train",1,1149
"train",1,1154
"train",1,1158
"train",1,1163
"train",1,1166
"train",1,1168
"train",1,1169
"train",1,1173
"train",1,1178
"train",1,1179
"train",1,1184
"train",1,1186
"train",1,1187
"train",1,1201
"train",1,1202
"train",1,1203
"train",1,1216
"train",1,1218
"train",1,1222
"train",1,1227
"train",1,1231
"train",1,1234
"train",1,1235
"train",1,1240
"train",1,1241
"train",1,1242
"train",1,1265
"train",1,1268
"train",1,1276
"train",1,1277
"train",1,1278
"train",1,1297
"train",1,1298
"train",1,1300
"train",1,1304
"train",1,1307
"train",1,1315
"train",1,1323
"train",1,1325
"train",1,1327
"train",1,1336
"train",1,1342
"train",1,1343
"train",1,1345
"train",1,1346
"train",1,1347
"train",1,1348
"train",1,1350
"train",1,1351
"train",1,1354
"train",1,1357
"train",1,1365
"train",1,1367
"train",1,1373
"train",1,1382
"train",1,1387
"train",1,1403
"train",1,1408
"train",1,1418
"train",1,1440
"train",1,1444
"train",1,1447
"train",1,1450
"train",1,1453
"train",1,1472
"train",1,1479
"train",1,1481
"train",1,1483
"train",1,1488
"train",1,1489
"train",1,1490
"train",1,1496
"train",1,1506
"train",1,1509
"train",1,1510
"train",1,1511
"train",1,1512
"train",1,1513
"train",1,1515
"train",1,1519
"train",1,1521
"train",1,1523
"train",1,1525
"train",1,1527
"train",1,1534
"train",1,1546
"train",1,1548
"train",1,1549
"train",1,1564
"train",1,1565
"train",1,1566
"train",1,1570
"train",1,1572
"train",1,1573
"train",1,1578
"train",1,1583
"train",1,1590
"train",1,1599
"train",1,1602
"train",1,1611
"train",1,1613
"train",1,1618
"train",1,1619
"train",1,1620
"train",1,1622
"train",1,1632
"train",1,1634
"train",1,1640
"train",1,1643
"train",1,1644
"train",1,1645
"train",1,1647
"train",1,1650
"train",1,1652
"train",1,1653
"train",1,1654
"train",1,1657
"train",1,1665
"train",1,1668
"train",1,1673
"train",1,1674
"train",1,1677
"train",1,1687
"train",1,1691
"train",1,1706
"train",1,1714
"train",1,1726
"train",1,1733
"train",1,1734
"train",1,1736
"train",1,1737
"train",1,1739
"train",1,1741
"train",1,1743
"train",1,1751
"train",1,1753
"train",1,1761
"train",1,1766
"train",1,1767
"train",1,1769
"train",1,1770
"train",1,1785
"train",1,1788
"train",1,1789
"train",1,1792
"train",1,1795
"train",1,1798
"train",1,1802
"train",1,1812
"train",1,1814
"train",1,1819
"train",1,1829
"train",1,1832
"train",1,1834
"train",1,1838
"train",1,1842
"train",1,1845
"train",1,1847
"train",1,1853
"train",1,1854
"train",1,1855
"train",1,1862
"train",1,1863
"train",1,1864
"train",1,1865
"train",1,1870
"train",1,1871
"train",1,1877
"train",1,1885
"train",1,1889
"train",1,1890
"train",1,1892
"train",1,1894
"train",1,1897
"train",1,1898
"train",1,1899
"train",1,1909
"train",1,1910
"train",1,1913
"train",1,1918
"train",1,1921
"train",1,1922
"train",1,1926
"train",1,1927
"train",1,1928
"train",1,1937
"train",1,1941
"train",1,1942
"train",1,1951
"train",1,1952
"train",1,1958
"train",1,1959
"train",1,1960
"train",1,1965
"train",1,1974
"train",1,1975
"train",1,1979
"train",1,1982
"train",1,1985
"train",1,1995
"train",1,1998
"train",1,2004
"train",1,2006
"train",1,2007
"train",1,2018
"train",1,2023
"train",1,2026
"train",1,2032
"train",1,2035
"train",1,2039
"train",1,2047
"train",1,2048
"train",1,2049
"train",1,2054
"train",1,2064
"train",1,2066
"train",1,2071
"train",1,2076
"train",1,2086
"train",1,2089
"train",1,2099
"train",1,2111
"train",1,2117
"train",1,2118
"train",1,2124
"train",1,2125
"train",1,2132
"train",1,2142
"train",1,2152
"train",1,2159
"train",1,2161
"train",1,2164
"train",1,2165
"train",1,2172
"train",1,2173
"train",1,2178
"train",1,2179
"train",1,2186
"train",1,2188
"train",1,2189
"train",1,2192
"train",1,2198
"train",1,2201
"train",1,2202
"train",1,2223
"train",1,2226
"train",1,2227
"train",1,2229
"train",1,2230
"train",1,2232
"train",1,2242
"train",1,2246
"train",1,20
"train",1,36
"train",1,41
"train",1,46
"train",1,55
"train",1,57
"train",1,62
"train",1,76
"train",1,82
"train",1,87
"train",1,88
"train",1,95
"train",1,100
"train",1,106
"train",1,110
"train",1,111
"train",1,114
"train",1,122
"train",1,127
"train",1,134
"train",1,138
"train",1,149
"train",1,157
"train",1,159
"train",1,176
"train",1,183
"train",1,186
"train",1,188
"train",1,203
"train",1,204
"train",1,209
"train",1,223
"train",1,227
"train",1,229
"train",1,232
"train",1,250
"train",1,252
"train",1,255
"train",1,257
"train",1,261
"train",1,262
"train",1,264
"train",1,274
"train",1,276
"train",1,281
"train",1,295
"train",1,296
"train",1,297
"train",1,306
"train",1,319
"train",1,323
"train",1,346
"train",1,347
"train",1,349
"train",1,350
"train",1,357
"train",1,366
"train",1,367
"train",1,374
"train",1,377
"train",1,380
"train",1,387
"train",1,389
"train",1,394
"train",1,402
"train",1,404
"train",1,409
"train",1,413
"train",1,420
"train",1,423
"train",1,448
"train",1,451
"train",1,475
"train",1,478
"train",1,489
"train",1,491
"train",1,495
"train",1,496
"train",1,497
"train",1,522
"train",1,529
"train",1,530
"train",1,538
"train",1,539
"train",1,550
"train",1,556
"train",1,558
"train",1,561
"train",1,565
"train",1,575
"train",1,576
"train",1,605
"train",1,610
"train",1,612
"train",1,613
"train",1,645
"train",1,655
"train",1,660
"train",1,674
"train",1,693
"train",1,694
"train",1,709
"train",1,710
"train",1,711
"train",1,722
"train",1,729
"train",1,732
"train",1,734
"train",1,736
"train",1,738
"train",1,760
"train",1,775
"train",1,784
"train",1,796
"train",1,797
"train",1,807
"train",1,838
"train",1,843
"train",1,846
"train",1,851
"train",1,867
"train",1,878
"train",1,883
"train",1,900
"train",1,904
"train",1,914
"train",1,931
"train",1,952
"train",1,956
"train",1,959
"train",1,961
"train",1,963
"train",1,964
"train",1,965
"train",1,973
"train",1,997
"train",1,998
"train",1,1002
"train",1,1003
"train",1,1010
"train",1,1015
"train",1,1032
"train",1,1035
"train",1,1042
"train",1,1058
"train",1,1060
"train",1,1062
"train",1,1066
"train",1,1069
"train",1,1083
"train",1,1097
"train",1,1098
"train",1,1099
"train",1,1105
"train",1,1122
"train",1,1123
"train",1,1151
"train",1,1155
"train",1,1183
"train",1,1185
"train",1,1195
"train",1,1198
"train",1,1204
"train",1,1205
"train",1,1207
"train",1,1228
"train",1,1229
"train",1,1236
"train",1,1249
"train",1,1252
"train",1,1253
"train",1,1254
"train",1,1256
"train",1,1259
"train",1,1267
"train",1,1269
"train",1,1308
"train",1,1330
"train",1,1339
"train",1,1353
"train",1,1363
"train",1,1374
"train",1,1375
"train",1,1378
"train",1,1393
"train",1,1396
"train",1,1402
"train",1,1409
"train",1,1414
"train",1,1420
"train",1,1428
"train",1,1429
"train",1,1431
"train",1,1456
"train",1,1464
"train",1,1473
"train",1,1474
"train",1,1478
"train",1,1491
"train",1,1503
"train",1,1504
"train",1,1536
"train",1,1540
"train",1,1553
"train",1,1561
"train",1,1579
"train",1,1591
"train",1,1594
"train",1,1596
"train",1,1597
"train",1,1607
"train",1,1614
"train",1,1623
"train",1,1627
"train",1,1639
"train",1,1660
"train",1,1664
"train",1,1689
"train",1,1690
"train",1,1697
"train",1,1700
"train",1,1711
"train",1,1715
"train",1,1717
"train",1,1724
"train",1,1729
"train",1,1732
"train",1,1765
"train",1,1786
"train",1,1796
"train",1,1808
"train",1,1809
"train",1,1810
"train",1,1822
"train",1,1826
"train",1,1827
"train",1,1837
"train",1,1868
"train",1,1873
"train",1,1874
"train",1,1882
"train",1,1932
"train",1,1945
"train",1,1948
"train",1,1983
"train",1,1993
"train",1,1997
"train",1,2002
"train",1,2005
"train",1,2011
"train",1,2017
"train",1,2040
"train",1,2059
"train",1,2087
"train",1,2090
"train",1,2106
"train",1,2114
"train",1,2121
"train",1,2126
"train",1,2127
"train",1,2133
"train",1,2134
"train",1,2135
"train",1,2150
