"row_id","rep","fold"
1,1,2
2,1,3
3,1,4
4,1,3
7,1,4
8,1,4
9,1,2
10,1,3
13,1,1
14,1,3
15,1,3
16,1,5
17,1,4
18,1,1
19,1,4
20,1,5
21,1,3
22,1,1
23,1,4
25,1,4
27,1,4
28,1,4
29,1,3
30,1,5
32,1,3
33,1,1
34,1,4
35,1,1
36,1,3
37,1,5
38,1,1
39,1,1
40,1,4
41,1,1
42,1,5
45,1,3
47,1,5
48,1,5
49,1,3
50,1,2
52,1,1
56,1,3
58,1,4
59,1,1
60,1,4
61,1,4
62,1,5
64,1,4
65,1,5
67,1,2
68,1,1
69,1,4
71,1,1
72,1,4
73,1,5
75,1,5
76,1,1
78,1,5
79,1,3
80,1,4
81,1,2
84,1,5
85,1,5
86,1,3
87,1,1
89,1,5
90,1,3
91,1,2
92,1,3
93,1,5
94,1,3
97,1,3
98,1,4
99,1,2
100,1,5
103,1,5
104,1,2
105,1,2
106,1,4
107,1,4
108,1,5
109,1,2
110,1,2
111,1,1
113,1,5
114,1,1
115,1,2
116,1,3
117,1,2
118,1,5
119,1,5
121,1,1
123,1,3
125,1,3
126,1,4
127,1,1
128,1,5
129,1,3
130,1,4
132,1,1
133,1,1
134,1,5
135,1,2
137,1,1
138,1,4
140,1,5
141,1,5
142,1,4
143,1,4
144,1,3
145,1,1
147,1,2
148,1,5
149,1,5
151,1,3
152,1,2
153,1,2
154,1,5
155,1,4
156,1,1
157,1,5
160,1,1
161,1,4
163,1,5
164,1,2
165,1,1
166,1,3
167,1,3
168,1,5
169,1,5
170,1,2
171,1,4
172,1,5
173,1,3
175,1,2
176,1,2
177,1,4
178,1,1
179,1,4
181,1,1
182,1,2
183,1,1
184,1,5
185,1,4
186,1,3
187,1,1
188,1,3
189,1,1
190,1,1
191,1,4
192,1,1
194,1,5
195,1,1
196,1,4
197,1,3
198,1,1
199,1,5
200,1,1
201,1,5
202,1,1
203,1,5
204,1,2
205,1,4
206,1,5
207,1,4
209,1,4
210,1,3
211,1,3
212,1,3
214,1,1
215,1,3
217,1,3
218,1,1
219,1,3
220,1,2
221,1,4
222,1,1
224,1,2
225,1,1
226,1,2
227,1,4
228,1,4
229,1,4
233,1,2
234,1,1
235,1,3
236,1,5
237,1,1
238,1,3
240,1,5
241,1,4
242,1,2
243,1,5
244,1,4
245,1,1
246,1,2
247,1,1
248,1,1
249,1,4
250,1,4
251,1,1
253,1,3
254,1,5
256,1,3
258,1,5
259,1,1
260,1,5
261,1,2
262,1,4
263,1,2
264,1,1
265,1,1
266,1,4
267,1,3
268,1,2
269,1,2
270,1,5
272,1,4
274,1,3
275,1,4
276,1,2
277,1,5
278,1,3
279,1,1
280,1,3
281,1,4
282,1,5
283,1,1
285,1,1
286,1,4
287,1,1
288,1,1
289,1,3
291,1,5
293,1,5
294,1,1
295,1,5
296,1,4
297,1,5
298,1,3
301,1,5
302,1,3
303,1,4
304,1,5
305,1,3
306,1,3
308,1,5
309,1,5
310,1,2
312,1,3
313,1,2
314,1,4
316,1,3
317,1,2
318,1,5
319,1,4
320,1,3
321,1,4
322,1,1
323,1,1
324,1,3
325,1,3
326,1,2
327,1,4
329,1,3
331,1,2
332,1,1
333,1,1
334,1,2
335,1,1
336,1,4
337,1,3
338,1,1
339,1,2
340,1,1
342,1,5
343,1,3
344,1,5
345,1,2
346,1,1
347,1,2
349,1,4
350,1,2
351,1,3
352,1,5
353,1,3
354,1,1
357,1,4
358,1,3
360,1,5
362,1,2
364,1,5
366,1,3
367,1,3
369,1,2
370,1,1
373,1,1
374,1,2
375,1,2
376,1,2
377,1,4
378,1,5
379,1,4
380,1,3
381,1,1
383,1,3
386,1,3
387,1,5
388,1,4
389,1,1
390,1,1
392,1,2
393,1,3
394,1,2
395,1,2
398,1,4
399,1,5
400,1,5
401,1,5
402,1,4
403,1,5
404,1,4
405,1,2
406,1,5
407,1,4
409,1,2
410,1,3
411,1,4
412,1,3
413,1,4
414,1,3
416,1,5
417,1,3
418,1,1
420,1,1
421,1,1
422,1,4
423,1,4
425,1,1
426,1,5
427,1,5
428,1,5
429,1,3
430,1,5
431,1,3
432,1,1
433,1,2
434,1,5
435,1,3
437,1,5
438,1,2
439,1,1
440,1,5
441,1,4
442,1,2
443,1,3
444,1,2
445,1,3
447,1,2
449,1,3
451,1,1
452,1,3
454,1,4
457,1,1
