"set","iteration","row_id"
"train",1,4
"train",1,5
"train",1,20
"train",1,38
"train",1,45
"train",1,51
"train",1,59
"train",1,64
"train",1,68
"train",1,73
"train",1,75
"train",1,81
"train",1,101
"train",1,103
"train",1,108
"train",1,110
"train",1,115
"train",1,116
"train",1,117
"train",1,123
"train",1,125
"train",1,127
"train",1,130
"train",1,133
"train",1,138
"train",1,139
"train",1,146
"train",1,152
"train",1,156
"train",1,158
"train",1,161
"train",1,164
"train",1,173
"train",1,174
"train",1,179
"train",1,196
"train",1,201
"train",1,203
"train",1,207
"train",1,208
"train",1,222
"train",1,226
"train",1,227
"train",1,234
"train",1,236
"train",1,238
"train",1,241
"train",1,244
"train",1,245
"train",1,248
"train",1,249
"train",1,254
"train",1,257
"train",1,259
"train",1,263
"train",1,264
"train",1,266
"train",1,271
"train",1,286
"train",1,294
"train",1,296
"train",1,297
"train",1,320
"train",1,323
"train",1,326
"train",1,334
"train",1,335
"train",1,336
"train",1,346
"train",1,350
"train",1,353
"train",1,364
"train",1,367
"train",1,380
"train",1,381
"train",1,382
"train",1,388
"train",1,397
"train",1,403
"train",1,404
"train",1,407
"train",1,412
"train",1,421
"train",1,422
"train",1,425
"train",1,427
"train",1,430
"train",1,435
"train",1,441
"train",1,445
"train",1,448
"train",1,452
"train",1,471
"train",1,479
"train",1,481
"train",1,482
"train",1,485
"train",1,498
"train",1,508
"train",1,527
"train",1,531
"train",1,532
"train",1,533
"train",1,539
"train",1,542
"train",1,543
"train",1,544
"train",1,546
"train",1,558
"train",1,561
"train",1,562
"train",1,580
"train",1,588
"train",1,592
"train",1,604
"train",1,609
"train",1,614
"train",1,617
"train",1,619
"train",1,622
"train",1,626
"train",1,636
"train",1,644
"train",1,651
"train",1,654
"train",1,656
"train",1,662
"train",1,665
"train",1,671
"train",1,675
"train",1,681
"train",1,682
"train",1,687
"train",1,689
"train",1,692
"train",1,696
"train",1,697
"train",1,701
"train",1,708
"train",1,709
"train",1,714
"train",1,725
"train",1,726
"train",1,727
"train",1,737
"train",1,740
"train",1,742
"train",1,745
"train",1,750
"train",1,757
"train",1,760
"train",1,785
"train",1,786
"train",1,801
"train",1,806
"train",1,808
"train",1,812
"train",1,814
"train",1,817
"train",1,818
"train",1,821
"train",1,822
"train",1,826
"train",1,836
"train",1,838
"train",1,841
