set,iteration,row_id
train,1,2
train,1,5
train,1,10
train,1,16
train,1,19
train,1,20
train,1,29
train,1,35
train,1,36
train,1,37
train,1,41
train,1,44
train,1,45
train,1,46
train,1,49
train,1,53
train,1,55
train,1,56
train,1,69
train,1,70
train,1,74
train,1,77
train,1,79
train,1,85
train,1,92
train,1,95
train,1,97
train,1,100
train,1,101
train,1,104
train,1,112
train,1,119
train,1,128
train,1,135
train,1,142
train,1,143
train,1,145
train,1,147
train,1,148
train,1,149
train,1,155
train,1,157
train,1,159
train,1,160
train,1,161
train,1,162
train,1,166
train,1,169
train,1,173
train,1,177
train,1,179
train,1,180
train,1,185
train,1,192
train,1,197
train,1,204
train,1,207
train,1,208
train,1,212
train,1,215
train,1,216
train,1,219
train,1,225
train,1,234
train,1,236
train,1,237
train,1,240
train,1,248
train,1,257
train,1,258
train,1,261
train,1,263
train,1,265
train,1,267
train,1,279
train,1,281
train,1,287
train,1,290
train,1,292
train,1,295
train,1,298
train,1,300
train,1,304
train,1,305
train,1,309
train,1,310
train,1,311
train,1,313
train,1,316
train,1,320
train,1,321
train,1,322
train,1,326
train,1,330
train,1,331
train,1,333
train,1,338
train,1,340
train,1,351
train,1,356
train,1,359
train,1,360
train,1,366
train,1,376
train,1,394
train,1,395
train,1,397
train,1,403
train,1,404
train,1,405
train,1,408
train,1,411
train,1,414
train,1,418
train,1,426
train,1,429
train,1,432
train,1,434
train,1,439
train,1,441
train,1,448
train,1,452
train,1,454
train,1,455
train,1,456
train,1,473
train,1,479
train,1,480
train,1,486
train,1,489
train,1,492
train,1,498
train,1,509
train,1,511
train,1,517
train,1,3
train,1,4
train,1,6
train,1,13
train,1,54
train,1,71
train,1,72
train,1,73
train,1,102
train,1,125
train,1,132
train,1,144
train,1,188
train,1,190
train,1,206
train,1,209
train,1,245
train,1,296
train,1,299
train,1,314
train,1,323
train,1,325
train,1,329
train,1,335
train,1,343
train,1,348
train,1,368
train,1,372
train,1,396
train,1,406
train,1,416
train,1,430
train,1,433
train,1,469
train,1,481
train,1,488
train,1,505
train,1,513
train,1,8
train,1,12
train,1,15
train,1,17
train,1,22
train,1,24
train,1,25
train,1,31
train,1,33
train,1,42
train,1,60
train,1,61
train,1,64
train,1,66
train,1,80
train,1,81
train,1,84
train,1,86
train,1,87
train,1,88
train,1,93
train,1,105
train,1,107
train,1,110
train,1,113
train,1,116
train,1,120
train,1,121
train,1,123
train,1,129
train,1,130
train,1,137
train,1,138
train,1,139
train,1,146
train,1,152
train,1,153
train,1,163
train,1,165
train,1,167
train,1,168
train,1,172
train,1,175
train,1,181
train,1,182
train,1,191
train,1,193
