set,iteration,row_id
train,1,1
train,1,5
train,1,7
train,1,8
train,1,10
train,1,11
train,1,12
train,1,13
train,1,27
train,1,28
train,1,38
train,1,49
train,1,53
train,1,56
train,1,57
train,1,59
train,1,65
train,1,69
train,1,73
train,1,74
train,1,82
train,1,83
train,1,86
train,1,87
train,1,96
train,1,103
train,1,105
train,1,106
train,1,109
train,1,118
train,1,123
train,1,132
train,1,134
train,1,137
train,1,145
train,1,147
train,1,150
train,1,157
train,1,158
train,1,161
train,1,167
train,1,171
train,1,175
train,1,176
train,1,180
train,1,182
train,1,191
train,1,195
train,1,199
train,1,201
train,1,208
train,1,209
train,1,211
train,1,215
train,1,217
train,1,218
train,1,227
train,1,233
train,1,237
train,1,240
train,1,244
train,1,251
train,1,252
train,1,271
train,1,279
train,1,9
train,1,16
train,1,17
train,1,26
train,1,37
train,1,44
train,1,51
train,1,52
train,1,55
train,1,61
train,1,101
train,1,107
train,1,120
train,1,125
train,1,127
train,1,133
train,1,152
train,1,153
train,1,166
train,1,168
train,1,193
train,1,198
train,1,235
train,1,241
train,1,250
train,1,256
train,1,268
train,1,274
train,1,284
train,1,15
train,1,20
train,1,22
train,1,24
train,1,29
train,1,35
train,1,40
train,1,45
train,1,48
train,1,50
train,1,54
train,1,64
train,1,68
train,1,75
train,1,78
train,1,79
train,1,88
train,1,91
train,1,92
train,1,100
train,1,102
train,1,111
train,1,113
train,1,114
train,1,116
train,1,121
train,1,122
train,1,128
train,1,135
train,1,140
train,1,141
train,1,154
train,1,160
train,1,162
train,1,163
train,1,165
train,1,174
train,1,185
train,1,186
train,1,188
train,1,196
train,1,197
train,1,200
train,1,206
train,1,207
train,1,219
train,1,223
train,1,225
train,1,228
train,1,231
train,1,238
train,1,239
train,1,243
train,1,245
train,1,248
train,1,255
train,1,258
train,1,259
train,1,263
train,1,265
train,1,270
train,1,272
train,1,277
train,1,280
train,1,282
train,1,3
train,1,36
train,1,43
train,1,46
train,1,77
train,1,81
train,1,84
train,1,85
train,1,89
train,1,95
train,1,108
train,1,115
train,1,117
train,1,119
train,1,139
train,1,146
train,1,148
train,1,156
train,1,177
train,1,216
train,1,221
train,1,232
train,1,242
train,1,246
train,1,266
train,1,269
train,1,275
train,1,278
train,1,283
train,2,2
train,2,4
train,2,14
train,2,18
train,2,19
train,2,23
train,2,25
train,2,31
train,2,32
train,2,33
train,2,41
train,2,42
train,2,47
train,2,58
train,2,60
train,2,62
train,2,63
train,2,72
train,2,76
train,2,80
train,2,90
train,2,93
train,2,97
train,2,98
train,2,104
train,2,110
train,2,112
train,2,124
train,2,126
train,2,129
train,2,130
train,2,142
train,2,143
train,2,144
train,2,151
train,2,155
train,2,159
train,2,164
train,2,169
train,2,170
train,2,173
train,2,178
train,2,184
train,2,187
train,2,189
train,2,190
train,2,192
train,2,194
train,2,202
train,2,203
train,2,204
train,2,210
train,2,213
train,2,220
train,2,224
train,2,226
train,2,229
train,2,234
train,2,247
train,2,253
train,2,257
train,2,260
train,2,261
train,2,262
train,2,264
train,2,276
train,2,6
train,2,21
train,2,30
train,2,34
train,2,39
train,2,66
train,2,67
train,2,70
train,2,71
train,2,94
train,2,99
train,2,131
train,2,136
train,2,138
train,2,149
train,2,172
train,2,179
train,2,181
train,2,183
train,2,205
train,2,212
train,2,214
train,2,222
train,2,230
train,2,236
train,2,249
train,2,254
train,2,267
train,2,273
train,2,281
train,2,15
train,2,20
train,2,22
train,2,24
train,2,29
train,2,35
train,2,40
train,2,45
train,2,48
train,2,50
train,2,54
train,2,64
train,2,68
train,2,75
train,2,78
train,2,79
train,2,88
train,2,91
train,2,92
train,2,100
train,2,102
train,2,111
train,2,113
train,2,114
train,2,116
train,2,121
train,2,122
train,2,128
train,2,135
train,2,140
train,2,141
train,2,154
train,2,160
train,2,162
train,2,163
train,2,165
train,2,174
train,2,185
train,2,186
train,2,188
train,2,196
train,2,197
train,2,200
train,2,206
train,2,207
train,2,219
train,2,223
train,2,225
train,2,228
train,2,231
train,2,238
train,2,239
train,2,243
train,2,245
train,2,248
train,2,255
train,2,258
train,2,259
train,2,263
train,2,265
train,2,270
train,2,272
train,2,277
train,2,280
train,2,282
train,2,3
train,2,36
train,2,43
train,2,46
train,2,77
train,2,81
train,2,84
train,2,85
train,2,89
train,2,95
train,2,108
train,2,115
train,2,117
train,2,119
train,2,139
train,2,146
train,2,148
train,2,156
train,2,177
train,2,216
train,2,221
train,2,232
train,2,242
train,2,246
train,2,266
train,2,269
train,2,275
train,2,278
train,2,283
train,3,2
train,3,4
train,3,14
train,3,18
train,3,19
train,3,23
train,3,25
train,3,31
train,3,32
train,3,33
train,3,41
train,3,42
train,3,47
train,3,58
train,3,60
train,3,62
train,3,63
train,3,72
train,3,76
train,3,80
train,3,90
train,3,93
train,3,97
train,3,98
train,3,104
train,3,110
train,3,112
train,3,124
train,3,126
train,3,129
train,3,130
train,3,142
train,3,143
train,3,144
train,3,151
train,3,155
train,3,159
train,3,164
train,3,169
train,3,170
train,3,173
train,3,178
train,3,184
train,3,187
train,3,189
train,3,190
train,3,192
train,3,194
train,3,202
train,3,203
train,3,204
train,3,210
train,3,213
train,3,220
train,3,224
train,3,226
train,3,229
train,3,234
train,3,247
train,3,253
train,3,257
train,3,260
train,3,261
train,3,262
train,3,264
train,3,276
train,3,6
train,3,21
train,3,30
train,3,34
train,3,39
train,3,66
train,3,67
train,3,70
train,3,71
train,3,94
train,3,99
train,3,131
train,3,136
train,3,138
train,3,149
train,3,172
train,3,179
train,3,181
train,3,183
train,3,205
train,3,212
train,3,214
train,3,222
train,3,230
train,3,236
train,3,249
train,3,254
train,3,267
train,3,273
train,3,281
train,3,1
train,3,5
train,3,7
train,3,8
train,3,10
train,3,11
train,3,12
train,3,13
train,3,27
train,3,28
train,3,38
train,3,49
train,3,53
train,3,56
train,3,57
train,3,59
train,3,65
train,3,69
train,3,73
train,3,74
train,3,82
train,3,83
train,3,86
train,3,87
train,3,96
train,3,103
train,3,105
train,3,106
train,3,109
train,3,118
train,3,123
train,3,132
train,3,134
train,3,137
train,3,145
train,3,147
train,3,150
train,3,157
train,3,158
train,3,161
train,3,167
train,3,171
train,3,175
train,3,176
train,3,180
train,3,182
train,3,191
train,3,195
train,3,199
train,3,201
train,3,208
train,3,209
train,3,211
train,3,215
train,3,217
train,3,218
train,3,227
train,3,233
train,3,237
train,3,240
train,3,244
train,3,251
train,3,252
train,3,271
train,3,279
train,3,9
train,3,16
train,3,17
train,3,26
train,3,37
train,3,44
train,3,51
train,3,52
train,3,55
train,3,61
train,3,101
train,3,107
train,3,120
train,3,125
train,3,127
train,3,133
train,3,152
train,3,153
train,3,166
train,3,168
train,3,193
train,3,198
train,3,235
train,3,241
train,3,250
train,3,256
train,3,268
train,3,274
train,3,284
train,4,5
train,4,8
train,4,10
train,4,11
train,4,12
train,4,19
train,4,22
train,4,24
train,4,27
train,4,29
train,4,35
train,4,47
train,4,54
train,4,56
train,4,58
train,4,62
train,4,78
train,4,79
train,4,80
train,4,82
train,4,83
train,4,86
train,4,93
train,4,97
train,4,98
train,4,109
train,4,110
train,4,118
train,4,121
train,4,124
train,4,129
train,4,132
train,4,140
train,4,144
train,4,150
train,4,151
train,4,155
train,4,160
train,4,164
train,4,165
train,4,171
train,4,184
train,4,186
train,4,187
train,4,191
train,4,192
train,4,199
train,4,201
train,4,206
train,4,209
train,4,219
train,4,227
train,4,228
train,4,233
train,4,238
train,4,239
train,4,240
train,4,243
train,4,244
train,4,247
train,4,253
train,4,257
train,4,260
train,4,262
train,4,280
train,4,6
train,4,26
train,4,34
train,4,39
train,4,46
train,4,55
train,4,61
train,4,67
train,4,77
train,4,101
train,4,108
train,4,119
train,4,125
train,4,127
train,4,131
train,4,148
train,4,149
train,4,152
train,4,166
train,4,168
train,4,172
train,4,183
train,4,193
train,4,214
train,4,241
train,4,242
train,4,254
train,4,269
train,4,273
train,4,1
train,4,7
train,4,14
train,4,25
train,4,28
train,4,31
train,4,33
train,4,40
train,4,41
train,4,48
train,4,50
train,4,59
train,4,60
train,4,63
train,4,65
train,4,74
train,4,75
train,4,76
train,4,87
train,4,88
train,4,90
train,4,91
train,4,92
train,4,96
train,4,102
train,4,103
train,4,105
train,4,106
train,4,112
train,4,114
train,4,122
train,4,126
train,4,134
train,4,145
train,4,161
train,4,163
train,4,175
train,4,180
train,4,182
train,4,188
train,4,189
train,4,195
train,4,197
train,4,200
train,4,204
train,4,208
train,4,210
train,4,211
train,4,215
train,4,217
train,4,224
train,4,229
train,4,231
train,4,234
train,4,237
train,4,245
train,4,248
train,4,252
train,4,258
train,4,265
train,4,270
train,4,272
train,4,277
train,4,279
train,4,282
train,4,3
train,4,9
train,4,16
train,4,30
train,4,37
train,4,44
train,4,66
train,4,89
train,4,94
train,4,99
train,4,120
train,4,136
train,4,138
train,4,139
train,4,146
train,4,156
train,4,205
train,4,212
train,4,221
train,4,222
train,4,230
train,4,232
train,4,235
train,4,267
train,4,268
train,4,274
train,4,275
train,4,281
train,4,283
train,5,2
train,5,4
train,5,13
train,5,15
train,5,18
train,5,20
train,5,23
train,5,32
train,5,38
train,5,42
train,5,45
train,5,49
train,5,53
train,5,57
train,5,64
train,5,68
train,5,69
train,5,72
train,5,73
train,5,100
train,5,104
train,5,111
train,5,113
train,5,116
train,5,123
train,5,128
train,5,130
train,5,135
train,5,137
train,5,141
train,5,142
train,5,143
train,5,147
train,5,154
train,5,157
train,5,158
train,5,159
train,5,162
train,5,167
train,5,169
train,5,170
train,5,173
train,5,174
train,5,176
train,5,178
train,5,185
train,5,190
train,5,194
train,5,196
train,5,202
train,5,203
train,5,207
train,5,213
train,5,218
train,5,220
train,5,223
train,5,225
train,5,226
train,5,251
train,5,255
train,5,259
train,5,261
train,5,263
train,5,264
train,5,271
train,5,276
train,5,17
train,5,21
train,5,36
train,5,43
train,5,51
train,5,52
train,5,70
train,5,71
train,5,81
train,5,84
train,5,85
train,5,95
train,5,107
train,5,115
train,5,117
train,5,133
train,5,153
train,5,177
train,5,179
train,5,181
train,5,198
train,5,216
train,5,236
train,5,246
train,5,249
train,5,250
train,5,256
train,5,266
train,5,278
train,5,284
train,5,1
train,5,7
train,5,14
train,5,25
train,5,28
train,5,31
train,5,33
train,5,40
train,5,41
train,5,48
train,5,50
train,5,59
train,5,60
train,5,63
train,5,65
train,5,74
train,5,75
train,5,76
train,5,87
train,5,88
train,5,90
train,5,91
train,5,92
train,5,96
train,5,102
train,5,103
train,5,105
train,5,106
train,5,112
train,5,114
train,5,122
train,5,126
train,5,134
train,5,145
train,5,161
train,5,163
train,5,175
train,5,180
train,5,182
train,5,188
train,5,189
train,5,195
train,5,197
train,5,200
train,5,204
train,5,208
train,5,210
train,5,211
train,5,215
train,5,217
train,5,224
train,5,229
train,5,231
train,5,234
train,5,237
train,5,245
train,5,248
train,5,252
train,5,258
train,5,265
train,5,270
train,5,272
train,5,277
train,5,279
train,5,282
train,5,3
train,5,9
train,5,16
train,5,30
train,5,37
train,5,44
train,5,66
train,5,89
train,5,94
train,5,99
train,5,120
train,5,136
train,5,138
train,5,139
train,5,146
train,5,156
train,5,205
train,5,212
train,5,221
train,5,222
train,5,230
train,5,232
train,5,235
train,5,267
train,5,268
train,5,274
train,5,275
train,5,281
train,5,283
train,6,2
train,6,4
train,6,13
train,6,15
train,6,18
train,6,20
train,6,23
train,6,32
train,6,38
train,6,42
train,6,45
train,6,49
train,6,53
train,6,57
train,6,64
train,6,68
train,6,69
train,6,72
train,6,73
train,6,100
train,6,104
train,6,111
train,6,113
train,6,116
train,6,123
train,6,128
train,6,130
train,6,135
train,6,137
train,6,141
train,6,142
train,6,143
train,6,147
train,6,154
train,6,157
train,6,158
train,6,159
train,6,162
train,6,167
train,6,169
train,6,170
train,6,173
train,6,174
train,6,176
train,6,178
train,6,185
train,6,190
train,6,194
train,6,196
train,6,202
train,6,203
train,6,207
train,6,213
train,6,218
train,6,220
train,6,223
train,6,225
train,6,226
train,6,251
train,6,255
train,6,259
train,6,261
train,6,263
train,6,264
train,6,271
train,6,276
train,6,17
train,6,21
train,6,36
train,6,43
train,6,51
train,6,52
train,6,70
train,6,71
train,6,81
train,6,84
train,6,85
train,6,95
train,6,107
train,6,115
train,6,117
train,6,133
train,6,153
train,6,177
train,6,179
train,6,181
train,6,198
train,6,216
train,6,236
train,6,246
train,6,249
train,6,250
train,6,256
train,6,266
train,6,278
train,6,284
train,6,5
train,6,8
train,6,10
train,6,11
train,6,12
train,6,19
train,6,22
train,6,24
train,6,27
train,6,29
train,6,35
train,6,47
train,6,54
train,6,56
train,6,58
train,6,62
train,6,78
train,6,79
train,6,80
train,6,82
train,6,83
train,6,86
train,6,93
train,6,97
train,6,98
train,6,109
train,6,110
train,6,118
train,6,121
train,6,124
train,6,129
train,6,132
train,6,140
train,6,144
train,6,150
train,6,151
train,6,155
train,6,160
train,6,164
train,6,165
train,6,171
train,6,184
train,6,186
train,6,187
train,6,191
train,6,192
train,6,199
train,6,201
train,6,206
train,6,209
train,6,219
train,6,227
train,6,228
train,6,233
train,6,238
train,6,239
train,6,240
train,6,243
train,6,244
train,6,247
train,6,253
train,6,257
train,6,260
train,6,262
train,6,280
train,6,6
train,6,26
train,6,34
train,6,39
train,6,46
train,6,55
train,6,61
train,6,67
train,6,77
train,6,101
train,6,108
train,6,119
train,6,125
train,6,127
train,6,131
train,6,148
train,6,149
train,6,152
train,6,166
train,6,168
train,6,172
train,6,183
train,6,193
train,6,214
train,6,241
train,6,242
train,6,254
train,6,269
train,6,273
train,7,4
train,7,11
train,7,12
train,7,15
train,7,18
train,7,19
train,7,29
train,7,31
train,7,32
train,7,33
train,7,35
train,7,41
train,7,47
train,7,48
train,7,64
train,7,68
train,7,73
train,7,74
train,7,78
train,7,93
train,7,96
train,7,98
train,7,102
train,7,103
train,7,104
train,7,105
train,7,106
train,7,116
train,7,122
train,7,123
train,7,128
train,7,134
train,7,150
train,7,157
train,7,158
train,7,160
train,7,162
train,7,163
train,7,165
train,7,173
train,7,182
train,7,186
train,7,187
train,7,191
train,7,196
train,7,197
train,7,199
train,7,201
train,7,202
train,7,203
train,7,204
train,7,206
train,7,209
train,7,210
train,7,211
train,7,217
train,7,228
train,7,233
train,7,234
train,7,237
train,7,240
train,7,243
train,7,251
train,7,263
train,7,270
train,7,3
train,7,17
train,7,21
train,7,39
train,7,44
train,7,51
train,7,52
train,7,55
train,7,61
train,7,71
train,7,85
train,7,99
train,7,107
train,7,120
train,7,133
train,7,148
train,7,149
train,7,152
train,7,156
train,7,183
train,7,205
train,7,222
train,7,230
train,7,241
train,7,246
train,7,250
train,7,268
train,7,281
train,7,283
train,7,1
train,7,2
train,7,13
train,7,14
train,7,20
train,7,22
train,7,23
train,7,24
train,7,25
train,7,28
train,7,54
train,7,56
train,7,57
