"set","iteration","row_id"
"train",1,10
"train",1,22
"train",1,26
"train",1,38
"train",1,42
"train",1,48
"train",1,61
"train",1,62
"train",1,63
"train",1,69
"train",1,70
"train",1,75
"train",1,79
"train",1,82
"train",1,86
"train",1,91
"train",1,102
"train",1,108
"train",1,115
"train",1,133
"train",1,138
"train",1,141
"train",1,142
"train",1,149
"train",1,151
"train",1,165
"train",1,167
"train",1,169
"train",1,172
"train",1,173
"train",1,180
"train",1,198
"train",1,208
"train",1,218
"train",1,219
"train",1,222
"train",1,225
"train",1,234
"train",1,257
"train",1,259
"train",1,277
"train",1,293
"train",1,301
"train",1,303
"train",1,306
"train",1,315
"train",1,320
"train",1,322
"train",1,330
"train",1,335
"train",1,345
"train",1,349
"train",1,350
"train",1,353
"train",1,356
"train",1,361
"train",1,371
"train",1,383
"train",1,392
"train",1,409
"train",1,411
"train",1,420
"train",1,430
"train",1,459
"train",1,464
"train",1,471
"train",1,514
"train",1,527
"train",1,540
"train",1,541
"train",1,561
"train",1,570
"train",1,591
"train",1,592
"train",1,593
"train",1,613
"train",1,617
"train",1,618
"train",1,660
"train",1,661
"train",1,703
"train",1,737
"train",1,749
"train",1,762
"train",1,788
"train",1,792
"train",1,809
"train",1,821
"train",1,835
"train",1,871
"train",1,934
"train",1,955
"train",1,976
"train",1,981
"train",1,988
"train",1,991
"train",1,1060
"train",1,1065
"train",1,1081
"train",1,1091
"train",1,1130
"train",1,1133
"train",1,1140
"train",1,1158
"train",1,1167
"train",1,1172
"train",1,1174
"train",1,1183
"train",1,1185
"train",1,1263
"train",1,1470
"train",1,1536
"train",1,1582
"train",1,1595
"train",1,1605
"train",1,1611
"train",1,1623
"train",1,1631
"train",1,1639
"train",1,1640
"train",1,1653
"train",1,1664
"train",1,1676
"train",1,1683
"train",1,1699
"train",1,1703
"train",1,1714
"train",1,1732
"train",1,1737
"train",1,1749
"train",1,1758
"train",1,1768
"train",1,1771
"train",1,1772
"train",1,1817
"train",1,1829
"train",1,1844
"train",1,1845
"train",1,1852
"train",1,1865
"train",1,1872
"train",1,1874
"train",1,1887
"train",1,1889
"train",1,1893
"train",1,1900
"train",1,1914
"train",1,1937
"train",1,1951
"train",1,1955
"train",1,1959
"train",1,1963
"train",1,1965
"train",1,1966
"train",1,1970
"train",1,1972
"train",1,1990
"train",1,2004
"train",1,2009
"train",1,2010
"train",1,2029
"train",1,2033
"train",1,2035
"train",1,2049
"train",1,2056
"train",1,2057
"train",1,2058
"train",1,2065
"train",1,2086
"train",1,2096
"train",1,2101
"train",1,2103
"train",1,2110
"train",1,2118
"train",1,2119
"train",1,2140
"train",1,2142
"train",1,2148
"train",1,2151
"train",1,2173
"train",1,2177
"train",1,2181
"train",1,2185
"train",1,2189
"train",1,2191
"train",1,2197
"train",1,2198
"train",1,2203
"train",1,2205
"train",1,2210
"train",1,2224
"train",1,2225
"train",1,2229
"train",1,73
"train",1,85
"train",1,95
"train",1,98
"train",1,129
"train",1,147
"train",1,179
"train",1,204
"train",1,245
"train",1,249
"train",1,253
"train",1,258
"train",1,273
"train",1,290
"train",1,308
"train",1,316
"train",1,344
"train",1,348
"train",1,354
"train",1,374
"train",1,382
"train",1,391
"train",1,396
"train",1,400
"train",1,412
"train",1,418
"train",1,419
"train",1,427
"train",1,431
"train",1,439
"train",1,446
"train",1,450
"train",1,465
"train",1,477
"train",1,494
"train",1,501
"train",1,504
"train",1,505
"train",1,545
"train",1,547
"train",1,550
"train",1,551
"train",1,573
"train",1,576
"train",1,581
"train",1,604
"train",1,614
"train",1,622
"train",1,629
"train",1,631
"train",1,634
"train",1,637
"train",1,641
"train",1,657
"train",1,666
"train",1,672
"train",1,691
"train",1,694
"train",1,704
"train",1,709
"train",1,722
"train",1,723
"train",1,735
"train",1,742
"train",1,752
"train",1,758
"train",1,759
"train",1,776
"train",1,779
"train",1,787
"train",1,802
"train",1,806
"train",1,813
"train",1,814
"train",1,824
"train",1,826
"train",1,840
"train",1,843
"train",1,848
"train",1,852
"train",1,854
"train",1,858
"train",1,859
"train",1,862
"train",1,863
"train",1,872
"train",1,874
"train",1,875
"train",1,879
"train",1,902
"train",1,910
"train",1,913
"train",1,915
"train",1,925
"train",1,937
"train",1,946
"train",1,950
"train",1,968
"train",1,971
"train",1,982
"train",1,983
"train",1,989
"train",1,995
"train",1,996
"train",1,1010
"train",1,1024
"train",1,1035
"train",1,1036
"train",1,1053
"train",1,1066
"train",1,1073
"train",1,1080
"train",1,1094
"train",1,1096
"train",1,1102
"train",1,1103
"train",1,1109
"train",1,1119
"train",1,1138
"train",1,1147
"train",1,1151
"train",1,1157
"train",1,1162
"train",1,1175
"train",1,1188
"train",1,1196
"train",1,1197
"train",1,1202
"train",1,1216
"train",1,1219
"train",1,1229
"train",1,1235
"train",1,1240
"train",1,1241
"train",1,1245
"train",1,1246
"train",1,1274
"train",1,1276
"train",1,1278
"train",1,1280
"train",1,1283
"train",1,1285
"train",1,1293
"train",1,1296
"train",1,1297
"train",1,1304
"train",1,1305
"train",1,1308
"train",1,1316
"train",1,1320
"train",1,1324
"train",1,1327
"train",1,1333
"train",1,1340
"train",1,1341
"train",1,1345
"train",1,1347
"train",1,1348
"train",1,1353
"train",1,1358
"train",1,1359
"train",1,1360
"train",1,1363
"train",1,1373
"train",1,1380
"train",1,1382
"train",1,1383
"train",1,1391
"train",1,1393
"train",1,1406
"train",1,1407
"train",1,1414
"train",1,1417
"train",1,1425
"train",1,1426
"train",1,1430
"train",1,1432
"train",1,1433
"train",1,1437
"train",1,1440
"train",1,1451
"train",1,1457
"train",1,1461
"train",1,1469
"train",1,1475
"train",1,1484
"train",1,1492
"train",1,1494
"train",1,1500
"train",1,1504
"train",1,1514
"train",1,1516
"train",1,1520
"train",1,1529
"train",1,1530
"train",1,1538
"train",1,1549
"train",1,1552
"train",1,1557
"train",1,1573
"train",1,1600
"train",1,1609
"train",1,1614
"train",1,1615
"train",1,1616
"train",1,1641
"train",1,1649
"train",1,1654
"train",1,1660
"train",1,1677
"train",1,1710
"train",1,1716
