set,iteration,row_id
train,1,2
train,1,3
train,1,4
train,1,7
train,1,9
train,1,12
train,1,13
train,1,21
train,1,27
train,1,30
train,1,31
train,1,34
train,1,36
train,1,38
train,1,39
train,1,40
train,1,41
train,1,43
train,1,50
train,1,53
train,1,57
train,1,59
train,1,62
train,1,70
train,1,71
train,1,72
train,1,75
train,1,76
train,1,77
train,1,81
train,1,89
train,1,90
train,1,95
train,1,99
train,1,101
train,1,104
train,1,105
train,1,107
train,1,112
train,1,114
train,1,118
train,1,128
train,1,130
train,1,135
train,1,149
train,1,151
train,1,152
train,1,153
train,1,157
train,1,161
train,1,168
train,1,169
train,1,173
train,1,175
train,1,176
train,1,179
train,1,184
train,1,185
train,1,197
train,1,201
train,1,210
train,1,216
train,1,218
train,1,219
train,1,220
train,1,221
train,1,222
train,1,240
train,1,243
train,1,244
train,1,246
train,1,250
train,1,256
train,1,266
train,1,268
train,1,271
train,1,273
train,1,275
train,1,284
train,1,287
train,1,290
train,1,293
train,1,302
train,1,309
train,1,310
train,1,311
train,1,313
train,1,315
train,1,320
train,1,321
train,1,327
train,1,330
train,1,332
train,1,333
train,1,343
train,1,344
train,1,345
train,1,349
train,1,352
train,1,354
train,1,360
train,1,362
train,1,366
train,1,369
train,1,378
train,1,379
train,1,383
train,1,385
train,1,392
train,1,393
train,1,399
train,1,401
train,1,403
train,1,404
train,1,405
train,1,406
train,1,408
train,1,412
train,1,421
train,1,424
train,1,425
train,1,429
train,1,439
train,1,443
train,1,451
train,1,455
train,1,459
train,1,466
train,1,468
train,1,476
train,1,478
train,1,479
train,1,490
train,1,491
train,1,492
train,1,495
train,1,501
train,1,504
train,1,508
train,1,511
train,1,512
train,1,517
train,1,521
train,1,524
train,1,531
train,1,533
train,1,539
train,1,550
train,1,552
train,1,553
train,1,562
train,1,568
train,1,569
train,1,571
train,1,572
train,1,574
train,1,576
train,1,579
train,1,581
train,1,586
train,1,596
train,1,604
train,1,623
train,1,624
train,1,631
train,1,638
train,1,640
train,1,645
train,1,649
train,1,657
train,1,664
train,1,666
train,1,667
train,1,674
train,1,682
train,1,694
train,1,698
train,1,701
train,1,704
train,1,708
train,1,715
train,1,717
train,1,719
train,1,729
train,1,730
train,1,731
train,1,746
train,1,747
train,1,774
train,1,775
train,1,782
train,1,783
train,1,797
train,1,802
train,1,805
train,1,815
train,1,816
train,1,825
train,1,826
train,1,833
train,1,834
train,1,836
train,1,839
train,1,840
train,1,844
train,1,856
train,1,862
train,1,863
train,1,870
train,1,871
train,1,894
train,1,898
train,1,904
train,1,917
train,1,919
train,1,926
train,1,929
train,1,930
train,1,932
train,1,936
train,1,947
train,1,961
train,1,965
train,1,980
train,1,987
train,1,66
train,1,96
train,1,97
train,1,178
train,1,187
train,1,193
train,1,195
train,1,213
train,1,227
train,1,236
train,1,242
train,1,265
train,1,288
train,1,304
train,1,307
train,1,326
train,1,331
train,1,337
train,1,346
train,1,348
train,1,356
train,1,358
