"row_id","rep","fold"
1,1,1
2,1,5
3,1,4
4,1,5
5,1,4
6,1,1
7,1,1
8,1,5
9,1,1
10,1,3
11,1,1
12,1,1
13,1,4
14,1,4
15,1,5
16,1,4
17,1,4
18,1,5
19,1,5
20,1,3
21,1,1
22,1,2
23,1,2
24,1,5
25,1,4
26,1,2
27,1,2
28,1,5
29,1,3
30,1,5
31,1,2
32,1,2
33,1,4
34,1,2
35,1,1
36,1,3
37,1,2
38,1,2
39,1,1
40,1,4
41,1,4
42,1,3
43,1,4
44,1,2
45,1,1
46,1,1
47,1,5
48,1,4
49,1,5
50,1,4
51,1,2
52,1,2
53,1,3
54,1,4
55,1,1
56,1,5
57,1,2
58,1,2
59,1,3
60,1,4
61,1,4
62,1,4
63,1,2
64,1,1
65,1,2
66,1,4
67,1,4
68,1,4
69,1,1
70,1,1
71,1,3
72,1,2
73,1,2
74,1,5
75,1,1
76,1,2
77,1,2
78,1,1
79,1,3
80,1,1
81,1,5
82,1,1
83,1,5
84,1,5
85,1,2
86,1,1
87,1,5
88,1,1
89,1,3
90,1,1
91,1,2
92,1,1
93,1,1
94,1,5
95,1,2
96,1,5
97,1,3
98,1,4
99,1,4
100,1,3
101,1,2
102,1,1
103,1,5
104,1,5
105,1,4
106,1,2
107,1,2
108,1,3
109,1,5
110,1,3
111,1,5
112,1,3
113,1,1
114,1,5
115,1,1
116,1,4
117,1,1
118,1,4
119,1,4
120,1,3
121,1,1
122,1,3
123,1,4
124,1,2
125,1,4
126,1,1
127,1,5
128,1,4
129,1,5
130,1,1
131,1,1
132,1,5
133,1,5
134,1,2
135,1,3
136,1,1
137,1,4
138,1,2
139,1,5
140,1,4
141,1,4
142,1,5
143,1,1
144,1,1
145,1,3
146,1,4
147,1,5
148,1,2
149,1,5
150,1,4
151,1,2
152,1,5
153,1,4
154,1,4
155,1,1
156,1,4
157,1,3
158,1,2
159,1,2
160,1,4
161,1,1
162,1,2
163,1,2
164,1,1
165,1,4
166,1,4
167,1,1
168,1,3
169,1,4
170,1,5
171,1,4
172,1,3
173,1,1
174,1,2
175,1,3
176,1,4
177,1,4
178,1,2
179,1,2
180,1,5
181,1,1
182,1,2
183,1,1
184,1,3
185,1,4
186,1,1
187,1,5
188,1,2
189,1,3
190,1,4
191,1,2
192,1,5
193,1,4
194,1,2
195,1,1
196,1,5
197,1,4
198,1,5
199,1,5
200,1,2
201,1,2
202,1,2
203,1,3
204,1,5
205,1,4
206,1,5
207,1,2
208,1,2
209,1,2
210,1,3
211,1,1
212,1,1
213,1,2
214,1,3
215,1,3
216,1,5
217,1,1
218,1,3
219,1,3
220,1,3
221,1,2
222,1,4
223,1,4
224,1,5
225,1,5
226,1,5
227,1,5
228,1,1
229,1,5
230,1,1
231,1,2
232,1,5
233,1,1
234,1,1
235,1,3
236,1,1
237,1,4
238,1,4
239,1,1
240,1,1
241,1,2
242,1,2
243,1,1
244,1,2
245,1,3
246,1,1
247,1,4
248,1,5
249,1,4
250,1,2
251,1,1
252,1,4
253,1,5
254,1,3
255,1,4
256,1,4
257,1,1
258,1,3
259,1,5
260,1,1
261,1,4
262,1,1
263,1,1
264,1,1
265,1,3
266,1,2
267,1,2
268,1,3
269,1,4
270,1,3
271,1,1
272,1,1
273,1,4
274,1,4
275,1,2
276,1,1
277,1,3
278,1,1
279,1,4
280,1,5
281,1,5
282,1,3
283,1,1
284,1,1
285,1,2
286,1,2
287,1,1
288,1,5
289,1,1
290,1,4
291,1,4
292,1,3
293,1,2
294,1,4
295,1,5
296,1,5
297,1,1
298,1,1
299,1,5
300,1,1
301,1,1
302,1,2
303,1,3
304,1,5
305,1,5
306,1,3
307,1,1
308,1,4
309,1,4
310,1,4
311,1,3
312,1,4
313,1,2
314,1,5
315,1,5
316,1,3
317,1,3
318,1,3
319,1,4
320,1,5
321,1,5
322,1,4
323,1,2
324,1,2
325,1,5
326,1,2
327,1,4
328,1,5
329,1,3
330,1,4
331,1,4
332,1,5
333,1,1
334,1,1
335,1,3
336,1,5
337,1,5
338,1,1
339,1,1
340,1,3
341,1,2
342,1,2
343,1,2
344,1,3
345,1,3
346,1,4
347,1,5
348,1,5
349,1,5
350,1,1
351,1,3
352,1,1
353,1,3
354,1,3
355,1,4
356,1,5
357,1,5
358,1,1
359,1,1
360,1,4
361,1,2
362,1,2
363,1,3
364,1,1
365,1,4
366,1,4
367,1,1
368,1,5
369,1,4
370,1,1
371,1,3
372,1,3
373,1,1
374,1,4
375,1,3
376,1,2
377,1,3
378,1,5
379,1,4
380,1,4
381,1,4
382,1,4
383,1,5
384,1,5
385,1,3
386,1,4
387,1,5
388,1,3
389,1,5
390,1,3
391,1,5
392,1,1
393,1,5
394,1,4
395,1,5
396,1,5
397,1,5
398,1,3
399,1,5
400,1,4
401,1,2
402,1,5
403,1,3
404,1,2
405,1,5
406,1,5
407,1,2
408,1,4
409,1,5
410,1,3
411,1,1
412,1,2
413,1,3
414,1,5
415,1,1
416,1,2
417,1,4
418,1,2
419,1,5
420,1,3
421,1,4
422,1,2
423,1,3
424,1,3
425,1,4
426,1,5
427,1,1
428,1,1
429,1,5
430,1,5
431,1,3
432,1,5
433,1,1
434,1,1
435,1,2
436,1,5
437,1,1
438,1,2
439,1,4
440,1,3
441,1,3
442,1,4
443,1,3
444,1,4
445,1,3
446,1,4
447,1,3
448,1,2
449,1,1
450,1,2
451,1,3
452,1,2
453,1,2
454,1,3
455,1,2
456,1,3
457,1,4
458,1,1
459,1,4
460,1,3
461,1,5
462,1,3
463,1,1
464,1,4
465,1,3
466,1,1
467,1,2
468,1,1
469,1,1
470,1,2
471,1,3
472,1,5
473,1,3
474,1,5
475,1,2
476,1,1
477,1,4
478,1,4
479,1,5
480,1,4
481,1,5
482,1,1
483,1,2
484,1,5
485,1,4
486,1,2
487,1,2
488,1,3
489,1,5
490,1,4
491,1,2
492,1,5
493,1,3
494,1,1
495,1,2
496,1,3
497,1,5
498,1,3
499,1,4
500,1,4
501,1,2
502,1,3
503,1,5
504,1,4
505,1,2
506,1,5
507,1,2
508,1,3
509,1,4
510,1,4
511,1,1
512,1,4
513,1,4
514,1,1
515,1,4
516,1,5
517,1,1
518,1,4
519,1,5
520,1,2
521,1,2
522,1,2
523,1,3
524,1,1
525,1,2
526,1,1
527,1,4
528,1,3
529,1,1
530,1,4
531,1,5
532,1,4
533,1,5
534,1,1
535,1,3
536,1,4
537,1,5
538,1,1
539,1,5
540,1,5
541,1,3
542,1,1
543,1,3
544,1,5
545,1,4
546,1,5
547,1,2
548,1,5
549,1,1
550,1,1
551,1,5
552,1,3
553,1,5
554,1,5
555,1,5
556,1,4
557,1,2
558,1,4
559,1,5
560,1,3
561,1,4
562,1,1
563,1,1
564,1,4
565,1,2
566,1,3
567,1,1
568,1,3
569,1,3
570,1,2
571,1,3
572,1,5
573,1,2
574,1,2
575,1,5
576,1,3
577,1,4
578,1,2
579,1,4
580,1,4
581,1,1
582,1,3
583,1,2
584,1,3
585,1,5
586,1,2
587,1,5
588,1,5
589,1,1
590,1,5
591,1,2
592,1,4
593,1,5
594,1,3
595,1,2
596,1,5
597,1,3
598,1,2
599,1,5
600,1,4
601,1,5
602,1,5
603,1,5
604,1,1
605,1,2
606,1,4
607,1,3
608,1,2
609,1,1
610,1,4
611,1,2
612,1,1
613,1,2
614,1,2
615,1,5
616,1,2
617,1,5
618,1,3
619,1,3
620,1,4
621,1,2
622,1,4
623,1,3
624,1,5
625,1,5
626,1,4
627,1,2
628,1,1
629,1,3
630,1,5
631,1,2
632,1,1
633,1,2
634,1,3
635,1,2
636,1,1
637,1,3
638,1,5
639,1,4
640,1,1
641,1,2
642,1,4
643,1,4
644,1,4
645,1,4
646,1,2
647,1,4
648,1,1
649,1,1
650,1,3
651,1,2
652,1,3
653,1,1
654,1,4
655,1,4
656,1,2
657,1,2
658,1,4
659,1,2
660,1,1
661,1,2
662,1,4
663,1,1
664,1,5
665,1,1
666,1,5
667,1,2
668,1,4
669,1,5
670,1,2
671,1,2
672,1,2
673,1,1
674,1,2
675,1,2
676,1,3
677,1,2
678,1,1
679,1,3
680,1,1
681,1,2
682,1,5
683,1,1
684,1,1
685,1,1
686,1,4
687,1,4
688,1,1
689,1,4
690,1,1
691,1,4
692,1,4
693,1,5
694,1,2
695,1,3
696,1,4
697,1,1
698,1,5
699,1,5
700,1,2
701,1,4
702,1,3
703,1,5
704,1,4
705,1,4
706,1,1
707,1,3
708,1,1
709,1,5
710,1,5
711,1,3
712,1,5
713,1,1
714,1,4
715,1,3
716,1,2
717,1,2
718,1,1
719,1,1
720,1,2
721,1,1
722,1,1
723,1,4
724,1,2
725,1,1
726,1,3
727,1,4
728,1,4
729,1,1
730,1,3
731,1,2
732,1,2
733,1,4
734,1,1
735,1,1
736,1,2
737,1,4
738,1,1
739,1,3
740,1,5
741,1,2
742,1,1
743,1,3
744,1,5
745,1,1
746,1,3
747,1,2
748,1,4
749,1,4
750,1,2
751,1,4
752,1,5
753,1,3
754,1,4
755,1,4
756,1,5
757,1,4
758,1,5
759,1,4
760,1,2
761,1,2
762,1,1
763,1,2
764,1,4
765,1,3
766,1,1
767,1,5
768,1,1
769,1,3
770,1,3
771,1,4
772,1,3
773,1,3
774,1,5
775,1,1
776,1,1
777,1,3
778,1,4
779,1,3
780,1,1
781,1,1
782,1,2
783,1,3
784,1,5
785,1,5
786,1,4
787,1,2
788,1,2
789,1,2
790,1,2
791,1,4
792,1,5
793,1,3
794,1,4
795,1,5
796,1,1
797,1,2
798,1,2
799,1,4
800,1,4
801,1,1
802,1,1
803,1,4
804,1,1
805,1,3
806,1,1
807,1,5
808,1,2
809,1,1
810,1,5
811,1,1
812,1,4
813,1,1
814,1,4
815,1,4
816,1,2
817,1,5
818,1,5
819,1,3
820,1,4
821,1,3
822,1,4
823,1,1
824,1,4
825,1,3
826,1,2
827,1,5
828,1,3
829,1,5
830,1,1
831,1,3
832,1,1
833,1,4
834,1,3
835,1,2
836,1,5
837,1,4
838,1,4
839,1,5
840,1,2
841,1,3
842,1,5
843,1,5
844,1,5
845,1,3
846,1,5
847,1,2
848,1,1
849,1,5
850,1,2
851,1,4
852,1,1
853,1,1
854,1,1
855,1,3
856,1,5
857,1,2
858,1,3
859,1,4
860,1,1
861,1,5
862,1,3
863,1,5
864,1,4
865,1,3
866,1,4
867,1,4
868,1,5
869,1,5
870,1,3
871,1,5
872,1,2
873,1,3
874,1,1
875,1,3
876,1,3
877,1,3
878,1,1
879,1,2
880,1,4
881,1,5
882,1,2
883,1,4
884,1,1
885,1,1
886,1,5
887,1,5
888,1,4
889,1,3
890,1,1
891,1,1
892,1,2
893,1,5
894,1,1
895,1,1
896,1,1
897,1,4
898,1,5
899,1,4
900,1,1
901,1,2
902,1,4
903,1,2
904,1,4
905,1,2
906,1,1
907,1,1
908,1,4
909,1,2
910,1,1
911,1,1
912,1,1
913,1,1
914,1,4
915,1,1
916,1,5
917,1,1
918,1,4
919,1,4
920,1,3
921,1,1
922,1,5
923,1,3
924,1,2
925,1,2
926,1,5
927,1,1
928,1,5
929,1,1
930,1,3
931,1,1
932,1,2
933,1,3
934,1,2
935,1,3
936,1,5
937,1,4
938,1,1
939,1,3
940,1,5
941,1,1
942,1,4
943,1,3
944,1,1
945,1,3
946,1,4
947,1,1
948,1,4
949,1,1
950,1,2
951,1,3
952,1,1
953,1,5
954,1,4
955,1,3
956,1,2
957,1,3
958,1,1
959,1,3
960,1,5
961,1,1
962,1,3
963,1,1
964,1,5
965,1,1
966,1,1
967,1,1
968,1,2
969,1,1
970,1,5
971,1,2
972,1,2
973,1,2
974,1,2
975,1,2
976,1,4
977,1,1
978,1,3
979,1,5
980,1,1
981,1,2
982,1,5
983,1,1
984,1,5
985,1,3
986,1,3
987,1,4
988,1,3
989,1,1
990,1,5
991,1,1
992,1,4
993,1,1
994,1,3
995,1,1
996,1,1
997,1,3
998,1,5
999,1,5
1000,1,1
1001,1,5
1002,1,4
1003,1,2
1004,1,3
1005,1,2
1006,1,2
1007,1,5
1008,1,4
1009,1,2
1010,1,5
1011,1,4
1012,1,3
1013,1,2
1014,1,1
