set,iteration,row_id
train,1,3
train,1,4
train,1,36
train,1,37
train,1,39
train,1,42
train,1,59
train,1,64
train,1,67
train,1,68
train,1,73
train,1,75
train,1,82
train,1,85
train,1,87
train,1,98
train,1,105
train,1,108
train,1,110
train,1,114
train,1,116
train,1,117
train,1,118
train,1,128
train,1,137
train,1,141
train,1,144
train,1,151
train,1,160
train,1,161
train,1,171
train,1,177
train,1,188
train,1,191
train,1,198
train,1,200
train,1,206
train,1,217
train,1,232
train,1,241
train,1,252
train,1,286
train,1,289
train,1,290
train,1,294
train,1,299
train,1,303
train,1,308
train,1,327
train,1,342
train,1,345
train,1,346
train,1,351
train,1,366
train,1,371
train,1,384
train,1,386
train,1,390
train,1,402
train,1,403
train,1,411
train,1,416
train,1,424
train,1,430
train,1,438
train,1,456
train,1,470
train,1,472
train,1,491
train,1,495
train,1,520
train,1,523
train,1,529
train,1,537
train,1,545
train,1,548
train,1,553
train,1,556
train,1,557
train,1,559
train,1,561
train,1,564
train,1,574
train,1,589
train,1,596
train,1,597
train,1,602
train,1,604
train,1,616
train,1,619
train,1,625
train,1,639
train,1,653
train,1,656
train,1,658
train,1,659
train,1,670
train,1,680
train,1,687
train,1,696
train,1,740
train,1,741
train,1,747
train,1,757
train,1,781
train,1,787
train,1,793
train,1,804
train,1,806
train,1,809
train,1,820
train,1,822
train,1,824
train,1,848
train,1,856
train,1,864
train,1,866
train,1,875
train,1,882
train,1,884
train,1,886
train,1,887
train,1,889
train,1,894
train,1,903
train,1,911
train,1,916
train,1,920
train,1,923
train,1,945
train,1,947
train,1,949
train,1,952
train,1,958
train,1,963
train,1,971
train,1,982
train,1,983
train,1,985
train,1,988
train,1,989
train,1,992
train,1,993
train,1,994
train,1,995
train,1,996
train,1,999
train,1,1000
train,1,1003
train,1,1009
train,1,1017
train,1,1026
train,1,1028
train,1,1029
train,1,1036
train,1,1041
train,1,1042
train,1,1058
train,1,1067
train,1,1071
train,1,1076
train,1,1094
train,1,1096
train,1,1112
train,1,1113
train,1,1125
train,1,1131
train,1,1133
train,1,1134
train,1,1139
train,1,1141
train,1,1145
train,1,1146
train,1,1157
train,1,1162
train,1,1163
train,1,1173
train,1,1178
train,1,1208
train,1,1213
train,1,1217
train,1,1219
train,1,1225
train,1,1232
train,1,1241
train,1,1253
train,1,1255
train,1,1277
train,1,1279
train,1,1297
train,1,1301
train,1,1306
train,1,1332
train,1,1343
train,1,1350
train,1,1353
train,1,1357
train,1,1364
train,1,1371
train,1,1378
train,1,1379
train,1,1387
train,1,1392
train,1,1396
train,1,1400
train,1,1402
train,1,1406
train,1,1418
train,1,1474
train,1,1476
train,1,1484
train,1,1495
train,1,1507
train,1,1516
train,1,1517
train,1,1518
train,1,1526
train,1,1539
train,1,1548
train,1,1556
train,1,1564
train,1,1565
train,1,1567
train,1,1570
train,1,1575
train,1,1584
train,1,1588
train,1,1589
train,1,1597
train,1,1605
train,1,1613
train,1,1616
train,1,1622
train,1,1629
train,1,1635
train,1,1641
train,1,1642
train,1,1643
train,1,1645
train,1,1648
train,1,1662
train,1,1667
train,1,1674
train,1,1679
train,1,1689
train,1,1712
train,1,1724
train,1,1725
train,1,1745
train,1,1761
train,1,1767
train,1,1772
train,1,1774
train,1,1777
train,1,1799
train,1,1808
train,1,1811
train,1,1824
train,1,1829
train,1,1835
train,1,1840
train,1,1847
train,1,1864
train,1,1882
train,1,1886
train,1,1892
train,1,1903
train,1,2
train,1,8
train,1,9
train,1,10
train,1,15
train,1,16
train,1,20
train,1,25
train,1,28
train,1,44
train,1,47
train,1,50
train,1,57
train,1,58
train,1,65
train,1,66
train,1,78
train,1,80
train,1,83
train,1,92
train,1,93
train,1,103
train,1,106
train,1,112
train,1,120
train,1,122
train,1,124
train,1,129
train,1,135
train,1,138
train,1,142
train,1,143
train,1,152
train,1,159
train,1,176
train,1,179
train,1,199
train,1,202
train,1,203
train,1,205
train,1,210
train,1,216
train,1,223
train,1,224
train,1,227
train,1,228
train,1,230
train,1,233
train,1,237
train,1,242
train,1,243
train,1,245
train,1,249
train,1,251
train,1,258
train,1,261
train,1,268
train,1,270
train,1,281
train,1,302
train,1,304
train,1,309
train,1,312
train,1,315
train,1,317
train,1,320
train,1,324
train,1,329
train,1,331
train,1,332
train,1,341
train,1,347
train,1,352
train,1,353
train,1,357
train,1,359
train,1,360
train,1,364
train,1,370
train,1,378
train,1,382
train,1,385
train,1,392
train,1,399
train,1,404
train,1,410
train,1,412
train,1,415
train,1,417
train,1,420
train,1,421
train,1,433
train,1,439
train,1,444
train,1,451
train,1,453
train,1,455
train,1,457
train,1,469
train,1,473
train,1,480
train,1,481
train,1,482
train,1,498
train,1,502
train,1,511
train,1,517
train,1,518
train,1,526
train,1,538
train,1,541
train,1,547
train,1,549
train,1,554
train,1,567
train,1,572
train,1,575
train,1,577
train,1,586
train,1,599
train,1,600
train,1,601
train,1,605
train,1,610
train,1,614
train,1,618
train,1,620
train,1,641
train,1,642
train,1,651
train,1,654
train,1,662
train,1,664
train,1,665
train,1,667
train,1,671
train,1,692
train,1,708
train,1,710
train,1,711
train,1,713
train,1,714
train,1,716
train,1,719
train,1,721
train,1,730
train,1,734
train,1,737
train,1,739
train,1,755
train,1,767
train,1,769
train,1,770
train,1,772
train,1,789
train,1,794
train,1,811
train,1,815
train,1,816
train,1,817
train,1,831
train,1,833
train,1,835
train,1,845
train,1,850
train,1,852
train,1,853
train,1,855
train,1,863
train,1,870
train,1,873
train,1,876
train,1,878
train,1,879
train,1,880
train,1,890
train,1,892
train,1,901
train,1,912
train,1,913
train,1,919
train,1,924
train,1,928
train,1,931
train,1,942
train,1,957
train,1,959
train,1,961
train,1,962
train,1,970
train,1,978
train,1,979
train,1,990
train,1,1014
train,1,1016
train,1,1018
train,1,1027
train,1,1030
train,1,1032
train,1,1038
train,1,1040
train,1,1049
train,1,1051
train,1,1052
train,1,1055
train,1,1056
train,1,1065
train,1,1069
train,1,1070
train,1,1072
train,1,1073
train,1,1075
train,1,1077
train,1,1082
train,1,1089
train,1,1095
train,1,1098
train,1,1100
train,1,1102
train,1,1106
train,1,1107
train,1,1108
train,1,1123
train,1,1130
train,1,1138
train,1,1140
train,1,1151
train,1,1153
train,1,1154
train,1,1175
train,1,1182
train,1,1183
train,1,1184
train,1,1186
train,1,1209
train,1,1216
train,1,1221
train,1,1229
train,1,1231
train,1,1244
train,1,1269
train,1,1274
train,1,1275
train,1,1280
train,1,1284
train,1,1295
train,1,1296
train,1,1303
train,1,1309
train,1,1310
train,1,1318
train,1,1321
train,1,1323
train,1,1327
train,1,1328
train,1,1329
train,1,1333
train,1,1346
train,1,1348
train,1,1349
train,1,1375
train,1,1385
train,1,1388
train,1,1390
train,1,1403
train,1,1405
train,1,1407
train,1,1410
train,1,1411
train,1,1416
train,1,1421
train,1,1432
train,1,1434
train,1,1442
train,1,1445
train,1,1452
train,1,1460
train,1,1461
train,1,1463
train,1,1468
train,1,1470
train,1,1475
train,1,1479
train,1,1482
train,1,1488
train,1,1492
train,1,1496
train,1,1498
train,1,1505
train,1,1508
train,1,1509
train,1,1510
train,1,1515
train,1,1519
train,1,1523
train,1,1527
train,1,1534
train,1,1537
train,1,1540
train,1,1541
train,1,1546
train,1,1547
train,1,1563
train,1,1572
train,1,1573
train,1,1582
train,1,1591
train,1,1593
train,1,1598
train,1,1601
train,1,1606
train,1,1609
train,1,1618
train,1,1628
train,1,1631
train,1,1639
train,1,1640
train,1,1649
train,1,1651
train,1,1652
train,1,1654
train,1,1655
train,1,1656
train,1,1669
train,1,1678
train,1,1685
train,1,1695
train,1,1697
train,1,1699
train,1,1700
train,1,1702
train,1,1709
train,1,1717
train,1,1718
train,1,1720
train,1,1721
train,1,1728
train,1,1732
train,1,1733
train,1,1736
train,1,1741
train,1,1758
train,1,1763
train,1,1764
train,1,1771
train,1,1785
train,1,1791
train,1,1793
train,1,1795
train,1,1821
train,1,1822
train,1,1826
train,1,1830
train,1,1831
train,1,1834
train,1,1839
train,1,1841
train,1,1848
train,1,1857
train,1,1861
train,1,1868
train,1,1875
train,1,1876
train,1,1879
train,1,1880
train,1,1884
train,1,1888
train,1,1901
train,1,1
train,1,7
train,1,24
train,1,29
train,1,32
train,1,33
train,1,51
train,1,52
train,1,53
train,1,84
train,1,89
train,1,90
train,1,97
train,1,100
train,1,104
train,1,107
train,1,113
train,1,121
train,1,134
train,1,136
train,1,148
train,1,154
train,1,167
train,1,175
train,1,184
train,1,185
train,1,186
train,1,187
train,1,189
train,1,207
train,1,208
train,1,213
train,1,222
train,1,229
train,1,234
train,1,253
train,1,264
train,1,271
train,1,272
train,1,276
train,1,277
train,1,280
train,1,283
train,1,291
train,1,297
train,1,306
train,1,307
train,1,313
train,1,321
train,1,328
train,1,330
train,1,338
train,1,340
train,1,344
train,1,348
train,1,369
train,1,373
train,1,381
train,1,387
train,1,391
train,1,400
train,1,406
train,1,408
train,1,432
train,1,434
train,1,435
train,1,436
train,1,437
train,1,442
train,1,459
train,1,462
train,1,471
train,1,475
train,1,489
train,1,492
train,1,494
train,1,496
train,1,499
train,1,509
train,1,512
train,1,516
train,1,521
train,1,524
train,1,543
train,1,551
train,1,576
train,1,579
train,1,584
train,1,590
train,1,592
train,1,615
train,1,623
train,1,628
train,1,636
train,1,638
train,1,655
train,1,666
train,1,672
train,1,683
train,1,684
train,1,693
train,1,697
train,1,700
train,1,715
train,1,723
train,1,724
train,1,725
train,1,752
train,1,754
train,1,759
train,1,760
train,1,768
train,1,773
train,1,775
train,1,783
train,1,797
train,1,807
train,1,825
train,1,830
train,1,836
train,1,842
train,1,844
train,1,847
train,1,849
train,1,854
train,1,872
train,1,888
train,1,896
train,1,909
train,1,922
train,1,926
train,1,933
train,1,950
train,1,955
train,1,964
train,1,968
train,1,972
train,1,984
train,1,986
train,1,1011
train,1,1012
train,1,1022
train,1,1025
train,1,1045
train,1,1054
train,1,1068
train,1,1087
train,1,1111
train,1,1118
train,1,1119
train,1,1124
train,1,1136
train,1,1137
train,1,1142
train,1,1143
train,1,1147
train,1,1158
train,1,1159
train,1,1160
train,1,1161
train,1,1168
train,1,1170
train,1,1193
train,1,1198
train,1,1201
train,1,1211
train,1,1214
train,1,1218
train,1,1220
train,1,1228
train,1,1230
train,1,1240
train,1,1243
train,1,1249
train,1,1252
train,1,1256
train,1,1266
train,1,1282
train,1,1283
train,1,1288
train,1,1292
train,1,1302
train,1,1314
train,1,1315
train,1,1316
train,1,1319
train,1,1331
train,1,1336
train,1,1337
train,1,1341
train,1,1351
train,1,1356
train,1,1370
train,1,1374
train,1,1377
train,1,1380
train,1,1394
train,1,1398
train,1,1420
train,1,1422
train,1,1423
train,1,1427
train,1,1428
train,1,1435
train,1,1436
train,1,1438
train,1,1464
train,1,1469
train,1,1478
train,1,1480
train,1,1483
train,1,1485
train,1,1491
train,1,1503
train,1,1521
train,1,1538
train,1,1544
train,1,1554
train,1,1557
train,1,1566
train,1,1577
train,1,1578
train,1,1586
train,1,1594
train,1,1608
train,1,1614
train,1,1619
train,1,1621
train,1,1624
train,1,1633
train,1,1638
train,1,1660
train,1,1663
train,1,1665
train,1,1672
train,1,1673
train,1,1677
train,1,1684
train,1,1696
train,1,1705
train,1,1715
train,1,1719
train,1,1722
train,1,1723
train,1,1726
train,1,1727
train,1,1730
train,1,1739
train,1,1748
train,1,1749
train,1,1755
train,1,1788
train,1,1797
train,1,1804
train,1,1816
train,1,1823
train,1,1825
