set,iteration,row_id
train,1,5
train,1,6
train,1,12
train,1,13
train,1,20
train,1,25
train,1,39
train,1,41
train,1,43
train,1,48
train,1,49
train,1,50
train,1,58
train,1,60
train,1,69
train,1,70
train,1,71
train,1,72
train,1,76
train,1,78
train,1,80
train,1,85
train,1,105
train,1,106
train,1,109
train,1,120
train,1,122
train,1,127
train,1,135
train,1,143
train,1,144
train,1,145
train,1,146
train,1,149
train,1,152
train,1,153
train,1,154
train,1,158
train,1,162
train,1,163
train,1,164
train,1,165
train,1,172
train,1,173
train,1,174
train,1,184
train,1,185
train,1,186
train,1,187
train,1,191
train,1,197
train,1,198
train,1,203
train,1,206
train,1,209
train,1,211
train,1,214
train,1,216
train,1,225
train,1,227
train,1,229
train,1,230
train,1,231
train,1,235
train,1,242
train,1,245
train,1,252
train,1,253
train,1,254
train,1,256
train,1,257
train,1,259
train,1,264
train,1,266
train,1,267
train,1,270
train,1,277
train,1,280
train,1,281
train,1,284
train,1,287
train,1,292
train,1,293
train,1,294
train,1,295
train,1,299
train,1,302
train,1,304
train,1,309
train,1,315
train,1,320
train,1,325
train,1,329
train,1,330
train,1,334
train,1,335
train,1,337
train,1,339
train,1,340
train,1,342
train,1,343
train,1,347
train,1,350
train,1,351
train,1,356
train,1,360
train,1,363
train,1,367
train,1,368
train,1,371
train,1,377
train,1,378
train,1,382
train,1,384
train,1,387
train,1,388
train,1,389
train,1,395
train,1,397
train,1,399
train,1,400
train,1,409
train,1,413
train,1,414
train,1,421
train,1,423
train,1,424
train,1,437
train,1,438
train,1,444
train,1,446
train,1,448
train,1,450
train,1,454
train,1,457
train,1,459
train,1,460
train,1,463
train,1,464
train,1,467
train,1,472
train,1,473
train,1,474
train,1,476
train,1,477
train,1,480
train,1,498
train,1,502
train,1,509
train,1,524
train,1,531
train,1,537
train,1,540
train,1,541
train,1,542
train,1,546
train,1,547
train,1,551
train,1,553
train,1,554
train,1,557
train,1,560
train,1,563
train,1,564
train,1,566
train,1,570
train,1,573
train,1,574
train,1,585
train,1,586
train,1,589
train,1,594
train,1,599
train,1,601
train,1,602
train,1,612
train,1,614
train,1,619
train,1,620
train,1,621
train,1,622
train,1,624
train,1,625
train,1,630
train,1,632
train,1,637
train,1,638
train,1,641
train,1,647
train,1,658
train,1,664
train,1,669
train,1,671
train,1,673
train,1,674
train,1,675
train,1,683
train,1,684
train,1,691
train,1,694
train,1,695
train,1,696
train,1,697
train,1,699
train,1,710
train,1,712
train,1,717
train,1,719
train,1,720
train,1,725
train,1,735
train,1,739
train,1,741
train,1,742
train,1,743
train,1,749
train,1,755
train,1,762
train,1,764
train,1,765
train,1,766
train,1,769
train,1,772
train,1,773
train,1,780
train,1,781
train,1,782
train,1,789
train,1,791
train,1,793
train,1,796
train,1,799
train,1,800
train,1,801
train,1,804
train,1,806
train,1,807
train,1,810
train,1,817
train,1,819
train,1,823
train,1,842
train,1,844
train,1,854
train,1,859
train,1,861
train,1,862
train,1,874
train,1,880
train,1,885
train,1,887
train,1,892
train,1,895
train,1,898
train,1,901
train,1,903
train,1,905
train,1,906
train,1,914
train,1,921
train,1,923
train,1,925
train,1,926
train,1,928
train,1,929
train,1,934
train,1,937
train,1,938
train,1,943
train,1,945
train,1,950
train,1,951
train,1,952
train,1,954
train,1,955
train,1,956
train,1,961
train,1,963
train,1,964
train,1,969
train,1,970
train,1,977
train,1,978
train,1,980
train,1,982
train,1,992
train,1,994
train,1,999
train,1,1007
train,1,1008
train,1,1018
train,1,1021
train,1,1025
train,1,1026
train,1,1029
train,1,1030
train,1,1032
train,1,1033
train,1,1034
train,1,1037
train,1,1040
train,1,1041
train,1,1042
train,1,1054
train,1,1055
train,1,1057
train,1,1062
train,1,1063
train,1,1064
train,1,1065
train,1,1067
train,1,1069
train,1,1072
train,1,1074
train,1,1076
train,1,1083
train,1,1088
train,1,1097
train,1,1098
train,1,1101
train,1,1102
train,1,1103
train,1,1110
train,1,1111
train,1,1115
train,1,1118
train,1,1124
train,1,1126
train,1,1129
train,1,1131
train,1,1133
train,1,1134
train,1,1138
train,1,1139
train,1,1145
train,1,1146
train,1,1156
train,1,1158
train,1,1170
train,1,1178
train,1,1183
train,1,1188
train,1,1192
train,1,1195
train,1,1201
train,1,1202
train,1,1216
train,1,1218
train,1,1219
train,1,1227
train,1,1228
train,1,1235
train,1,1240
train,1,1242
train,1,1246
train,1,1248
train,1,1253
train,1,1255
train,1,1257
train,1,1259
train,1,1261
train,1,1263
train,1,1264
train,1,1269
train,1,1276
train,1,1284
train,1,1290
train,1,1294
train,1,1299
train,1,1303
train,1,1308
train,1,1309
train,1,1314
train,1,1316
train,1,1317
train,1,1320
train,1,1322
train,1,1324
train,1,1327
train,1,1330
train,1,1333
train,1,1343
train,1,1351
train,1,1357
train,1,1359
train,1,1363
train,1,1364
train,1,1366
train,1,1367
train,1,1369
train,1,1370
train,1,1372
train,1,1376
train,1,1378
train,1,1382
train,1,1384
train,1,1390
train,1,1391
train,1,1396
train,1,1399
train,1,1400
train,1,1401
train,1,1403
train,1,1405
train,1,1407
train,1,1411
train,1,1414
train,1,1420
train,1,1421
train,1,1423
train,1,1425
train,1,1435
train,1,1440
train,1,1443
train,1,1456
train,1,1463
train,1,1464
train,1,1467
train,1,1471
train,1,1473
train,1,1474
train,1,1479
train,1,1485
train,1,1488
train,1,1490
train,1,1493
train,1,1494
train,1,1497
train,1,1498
train,1,1500
train,1,1505
train,1,1512
train,1,1515
train,1,1516
train,1,1526
train,1,1527
train,1,1534
train,1,1537
train,1,1544
train,1,1550
train,1,1551
train,1,1553
train,1,1556
train,1,1557
train,1,1560
train,1,1562
train,1,1565
train,1,1566
train,1,1567
train,1,1569
train,1,1570
train,1,1572
train,1,1573
train,1,1575
train,1,1576
train,1,1577
train,1,1578
train,1,1580
train,1,1583
train,1,1584
train,1,1585
train,1,1586
train,1,1590
train,1,1591
train,1,1596
train,1,1597
train,1,1608
train,1,1610
train,1,1611
train,1,1612
train,1,1613
train,1,1614
train,1,1622
