"row_id","rep","fold"
1,1,1
2,1,3
4,1,5
5,1,2
6,1,5
7,1,2
8,1,1
10,1,4
11,1,4
14,1,1
15,1,2
16,1,2
18,1,4
20,1,4
21,1,3
22,1,2
23,1,3
24,1,3
25,1,4
26,1,4
27,1,2
28,1,3
30,1,3
31,1,1
32,1,4
33,1,1
34,1,4
35,1,1
37,1,3
38,1,5
39,1,1
40,1,4
41,1,3
42,1,1
43,1,3
45,1,3
46,1,2
48,1,2
50,1,4
51,1,2
52,1,4
53,1,5
54,1,1
55,1,3
59,1,5
60,1,1
61,1,2
62,1,1
63,1,2
64,1,1
65,1,2
66,1,5
67,1,5
68,1,4
69,1,3
70,1,4
71,1,1
72,1,3
73,1,1
77,1,2
78,1,2
79,1,4
80,1,4
81,1,1
82,1,5
83,1,2
84,1,3
85,1,3
86,1,1
87,1,1
88,1,5
89,1,5
90,1,3
91,1,3
93,1,3
94,1,2
96,1,3
99,1,5
102,1,4
104,1,2
105,1,2
106,1,2
107,1,3
110,1,4
111,1,3
115,1,3
116,1,1
119,1,2
120,1,4
121,1,4
122,1,1
123,1,3
124,1,1
125,1,1
126,1,2
128,1,2
129,1,4
130,1,5
131,1,4
132,1,2
133,1,5
134,1,2
136,1,2
137,1,5
138,1,1
139,1,4
141,1,3
142,1,4
143,1,1
144,1,1
146,1,1
147,1,5
148,1,5
150,1,2
151,1,4
154,1,1
155,1,4
156,1,4
158,1,4
162,1,4
164,1,5
165,1,3
166,1,1
167,1,2
168,1,5
169,1,2
170,1,2
172,1,4
173,1,4
174,1,1
175,1,3
176,1,2
177,1,1
179,1,2
180,1,1
181,1,3
182,1,3
183,1,2
185,1,2
186,1,2
187,1,2
190,1,5
193,1,5
196,1,5
197,1,5
198,1,3
200,1,3
201,1,2
202,1,4
203,1,1
204,1,2
205,1,4
206,1,5
207,1,4
208,1,2
209,1,1
211,1,3
212,1,4
213,1,5
214,1,2
215,1,4
218,1,2
220,1,1
221,1,5
222,1,2
224,1,4
227,1,5
229,1,2
230,1,4
231,1,1
234,1,1
235,1,1
236,1,5
237,1,4
238,1,5
240,1,5
241,1,3
242,1,2
243,1,2
245,1,3
246,1,2
248,1,4
249,1,2
250,1,4
251,1,3
253,1,5
255,1,1
256,1,5
257,1,2
258,1,3
259,1,2
260,1,2
263,1,2
265,1,2
266,1,3
268,1,3
270,1,1
271,1,5
272,1,1
273,1,4
274,1,5
275,1,3
276,1,1
277,1,5
278,1,4
279,1,3
280,1,3
281,1,3
282,1,5
283,1,4
284,1,5
285,1,2
286,1,3
287,1,2
288,1,3
289,1,3
290,1,2
291,1,3
292,1,5
293,1,2
294,1,2
295,1,5
296,1,1
297,1,2
298,1,5
299,1,3
302,1,2
303,1,1
304,1,4
305,1,5
306,1,1
307,1,3
308,1,3
310,1,1
311,1,2
312,1,3
313,1,5
314,1,1
315,1,4
316,1,1
317,1,1
318,1,5
319,1,5
320,1,3
321,1,3
322,1,3
323,1,4
327,1,1
328,1,2
329,1,5
331,1,1
334,1,3
335,1,5
337,1,3
338,1,4
339,1,5
341,1,1
343,1,1
344,1,1
345,1,1
347,1,4
348,1,2
349,1,3
350,1,3
351,1,5
352,1,2
353,1,5
355,1,4
356,1,5
357,1,4
359,1,1
361,1,4
362,1,3
363,1,2
364,1,2
365,1,2
366,1,1
367,1,5
369,1,4
370,1,1
371,1,1
373,1,3
375,1,1
376,1,3
377,1,1
378,1,4
379,1,2
380,1,3
382,1,1
383,1,3
384,1,5
385,1,3
386,1,1
387,1,4
388,1,4
390,1,1
392,1,2
393,1,1
394,1,4
395,1,5
396,1,4
397,1,2
398,1,1
402,1,1
403,1,4
404,1,5
405,1,4
406,1,4
407,1,1
408,1,4
412,1,2
413,1,3
414,1,5
416,1,4
417,1,3
418,1,2
419,1,1
420,1,4
421,1,1
422,1,5
423,1,4
424,1,2
425,1,5
426,1,2
427,1,5
429,1,3
430,1,3
431,1,3
