set,iteration,row_id
train,1,1
train,1,12
train,1,15
train,1,21
train,1,22
train,1,24
train,1,28
train,1,33
train,1,36
train,1,40
train,1,44
train,1,47
train,1,57
train,1,61
train,1,65
train,1,71
train,1,75
train,1,82
train,1,89
train,1,92
train,1,97
train,1,99
train,1,104
train,1,114
train,1,122
train,1,123
train,1,128
train,1,129
train,1,132
train,1,140
train,1,147
train,1,156
train,1,160
train,1,162
train,1,165
train,1,167
train,1,170
train,1,174
train,1,175
train,1,179
train,1,183
train,1,194
train,1,206
train,1,210
train,1,215
train,1,228
train,1,232
train,1,239
train,1,243
train,1,246
train,1,247
train,1,249
train,1,250
train,1,251
train,1,252
train,1,255
train,1,258
train,1,267
train,1,275
train,1,279
train,1,280
train,1,286
train,1,287
train,1,291
train,1,296
train,1,298
train,1,301
train,1,305
train,1,310
train,1,311
train,1,313
train,1,322
train,1,333
train,1,338
train,1,342
train,1,356
train,1,357
train,1,358
train,1,360
train,1,364
train,1,365
train,1,367
train,1,369
train,1,376
train,1,377
train,1,382
train,1,386
train,1,388
train,1,389
train,1,396
train,1,412
train,1,421
train,1,427
train,1,432
train,1,434
train,1,435
train,1,436
train,1,444
train,1,446
train,1,455
train,1,461
train,1,490
train,1,493
train,1,495
train,1,506
train,1,508
train,1,514
train,1,515
train,1,516
train,1,540
train,1,548
train,1,552
train,1,556
train,1,560
train,1,561
train,1,567
train,1,576
train,1,599
train,1,602
train,1,615
train,1,618
train,1,622
train,1,626
train,1,630
train,1,631
train,1,632
train,1,636
train,1,644
train,1,645
train,1,646
train,1,649
train,1,664
train,1,672
train,1,682
train,1,684
train,1,685
train,1,686
train,1,693
train,1,695
train,1,700
train,1,701
train,1,703
train,1,705
train,1,708
train,1,712
train,1,724
train,1,729
train,1,730
train,1,737
train,1,741
train,1,750
train,1,751
train,1,753
train,1,759
train,1,761
train,1,762
train,1,771
train,1,775
train,1,781
train,1,786
train,1,788
train,1,795
train,1,800
train,1,809
train,1,811
train,1,812
train,1,814
train,1,816
train,1,824
train,1,830
train,1,831
train,1,836
train,1,838
train,1,843
train,1,847
train,1,849
train,1,873
train,1,5
train,1,14
train,1,18
train,1,20
train,1,35
train,1,37
train,1,42
train,1,50
train,1,51
train,1,62
train,1,64
train,1,76
train,1,79
train,1,81
train,1,98
train,1,103
train,1,105
train,1,110
train,1,145
train,1,146
train,1,157
train,1,158
train,1,163
train,1,184
train,1,185
train,1,189
train,1,200
train,1,204
train,1,209
train,1,217
train,1,227
train,1,238
train,1,245
train,1,248
train,1,256
train,1,259
train,1,268
train,1,282
train,1,284
train,1,288
train,1,306
train,1,307
train,1,316
train,1,319
train,1,324
train,1,344
train,1,345
train,1,347
train,1,348
train,1,368
train,1,372
train,1,380
train,1,390
train,1,391
train,1,402
train,1,405
train,1,409
train,1,420
train,1,447
train,1,457
train,1,460
train,1,462
train,1,473
train,1,480
train,1,484
train,1,485
train,1,487
train,1,492
train,1,496
train,1,498
train,1,530
train,1,531
train,1,543
train,1,546
train,1,574
train,1,582
train,1,585
train,1,595
train,1,598
train,1,604
train,1,606
train,1,607
train,1,612
train,1,620
train,1,641
train,1,651
train,1,652
train,1,655
train,1,657
train,1,661
train,1,662
train,1,671
train,1,694
train,1,704
train,1,713
train,1,728
train,1,733
train,1,734
train,1,735
train,1,746
train,1,763
train,1,764
train,1,767
train,1,776
train,1,779
train,1,787
train,1,794
train,1,798
train,1,820
train,1,822
train,1,828
train,1,852
train,1,860
train,1,861
train,1,865
train,1,867
train,1,3
train,1,7
train,1,11
train,1,13
train,1,17
train,1,19
train,1,23
train,1,27
train,1,29
train,1,30
train,1,39
train,1,48
train,1,54
train,1,60
train,1,70
train,1,74
train,1,80
train,1,83
train,1,90
train,1,93
train,1,94
train,1,107
train,1,108
train,1,113
train,1,116
train,1,118
train,1,119
train,1,121
train,1,139
train,1,141
train,1,144
train,1,150
train,1,151
train,1,155
train,1,186
train,1,190
train,1,191
train,1,193
train,1,205
train,1,216
train,1,218
train,1,219
train,1,221
train,1,222
train,1,225
train,1,231
train,1,236
train,1,240
train,1,241
train,1,253
train,1,263
train,1,264
train,1,265
train,1,274
train,1,276
train,1,281
train,1,293
train,1,304
train,1,315
train,1,321
train,1,323
train,1,330
train,1,331
train,1,332
train,1,334
train,1,335
train,1,336
train,1,339
train,1,353
train,1,359
train,1,361
train,1,362
train,1,366
train,1,374
train,1,384
train,1,398
train,1,399
train,1,400
train,1,406
train,1,416
train,1,419
train,1,422
train,1,424
train,1,425
train,1,428
train,1,431
train,1,433
train,1,440
train,1,441
train,1,442
train,1,443
train,1,449
train,1,451
train,1,452
train,1,470
train,1,472
train,1,475
train,1,481
train,1,482
train,1,483
train,1,488
train,1,491
train,1,499
train,1,500
train,1,501
train,1,502
train,1,503
train,1,505
train,1,511
train,1,513
train,1,518
train,1,519
train,1,522
train,1,525
train,1,526
train,1,532
train,1,541
train,1,542
train,1,550
train,1,551
train,1,558
train,1,564
train,1,570
train,1,571
train,1,572
train,1,580
train,1,587
train,1,590
train,1,596
train,1,605
train,1,611
train,1,613
train,1,621
train,1,627
train,1,634
train,1,654
train,1,658
train,1,673
train,1,674
train,1,676
train,1,679
train,1,690
train,1,699
train,1,709
train,1,710
train,1,711
train,1,719
train,1,723
train,1,742
train,1,744
train,1,748
train,1,772
train,1,773
train,1,774
train,1,777
train,1,789
train,1,792
train,1,796
train,1,799
train,1,801
train,1,806
train,1,813
train,1,818
train,1,837
train,1,845
train,1,846
train,1,848
train,1,850
train,1,851
train,1,857
train,1,862
train,1,866
train,1,869
train,1,871
train,1,874
train,1,875
train,1,10
train,1,34
train,1,38
train,1,41
train,1,45
train,1,46
train,1,55
train,1,58
train,1,63
train,1,69
train,1,73
train,1,77
train,1,78
train,1,85
train,1,88
train,1,111
train,1,115
train,1,127
train,1,131
train,1,133
train,1,134
train,1,136
train,1,137
train,1,153
train,1,159
train,1,166
train,1,171
train,1,178
train,1,212
train,1,229
train,1,233
train,1,237
train,1,242
train,1,266
train,1,269
train,1,272
train,1,278
train,1,283
train,1,285
train,1,289
train,1,297
train,1,299
train,1,300
train,1,318
train,1,320
train,1,326
train,1,341
train,1,349
train,1,351
train,1,371
train,1,375
train,1,410
train,1,411
train,1,417
train,1,418
train,1,429
train,1,437
train,1,445
train,1,448
train,1,454
train,1,464
train,1,466
train,1,479
train,1,494
train,1,507
train,1,517
train,1,521
train,1,524
train,1,527
train,1,535
train,1,539
train,1,544
train,1,545
train,1,547
train,1,554
train,1,555
train,1,568
train,1,578
train,1,581
train,1,614
train,1,624
train,1,625
train,1,656
train,1,665
train,1,669
train,1,681
train,1,692
train,1,696
train,1,697
train,1,706
train,1,707
train,1,714
train,1,715
train,1,716
train,1,717
train,1,721
train,1,725
train,1,727
train,1,732
train,1,738
train,1,755
train,1,758
train,1,765
train,1,782
train,1,783
train,1,785
train,1,808
train,1,815
train,1,819
train,1,823
train,1,829
train,1,833
train,1,840
train,1,842
train,1,853
train,2,2
train,2,6
train,2,8
train,2,9
train,2,16
train,2,25
train,2,26
train,2,32
