set,iteration,row_id
train,1,9
train,1,11
train,1,19
train,1,21
train,1,22
train,1,23
train,1,29
train,1,32
train,1,33
train,1,42
train,1,43
train,1,48
train,1,51
train,1,55
train,1,58
train,1,60
train,1,62
train,1,65
train,1,77
train,1,79
train,1,87
train,1,92
train,1,96
train,1,98
train,1,101
train,1,104
train,1,109
train,1,112
train,1,114
train,1,116
train,1,135
train,1,142
train,1,148
train,1,153
train,1,156
train,1,157
train,1,160
train,1,164
train,1,165
train,1,168
train,1,170
train,1,180
train,1,212
train,1,214
train,1,215
train,1,218
train,1,220
train,1,223
train,1,229
train,1,231
train,1,234
train,1,236
train,1,241
train,1,244
train,1,246
train,1,248
train,1,250
train,1,253
train,1,254
train,1,286
train,1,291
train,1,342
train,1,369
train,1,372
train,1,379
train,1,380
train,1,383
train,1,384
train,1,385
train,1,386
train,1,407
train,1,408
train,1,424
train,1,426
train,1,432
train,1,454
train,1,457
train,1,461
train,1,469
train,1,474
train,1,475
train,1,477
train,1,480
train,1,483
train,1,490
train,1,508
train,1,511
train,1,512
train,1,521
train,1,525
train,1,526
train,1,527
train,1,531
train,1,547
train,1,548
train,1,551
train,1,553
train,1,561
train,1,572
train,1,576
train,1,577
train,1,581
train,1,591
train,1,594
train,1,616
train,1,629
train,1,630
train,1,635
train,1,636
train,1,648
train,1,651
train,1,666
train,1,668
train,1,670
train,1,672
train,1,675
train,1,678
train,1,684
train,1,692
train,1,693
train,1,694
train,1,698
train,1,700
train,1,704
train,1,705
train,1,716
train,1,717
train,1,739
train,1,754
train,1,755
train,1,762
train,1,768
train,1,769
train,1,776
train,1,3
train,1,5
train,1,15
train,1,25
train,1,35
train,1,44
train,1,45
train,1,57
train,1,64
train,1,69
train,1,71
train,1,72
train,1,84
train,1,94
train,1,108
train,1,113
train,1,130
train,1,132
train,1,134
train,1,138
train,1,140
train,1,143
train,1,146
train,1,151
train,1,152
train,1,155
train,1,158
train,1,162
train,1,171
train,1,172
train,1,175
train,1,177
train,1,182
train,1,184
train,1,196
train,1,209
train,1,211
train,1,219
train,1,224
train,1,226
train,1,237
train,1,238
train,1,245
train,1,251
train,1,252
train,1,255
train,1,268
train,1,280
train,1,293
train,1,296
train,1,300
train,1,306
train,1,321
train,1,328
train,1,329
train,1,331
train,1,345
train,1,346
train,1,349
train,1,354
train,1,365
train,1,367
train,1,373
train,1,376
train,1,388
train,1,395
train,1,399
train,1,404
train,1,405
train,1,411
train,1,437
train,1,443
train,1,451
train,1,452
train,1,456
train,1,462
train,1,463
train,1,470
train,1,482
train,1,487
train,1,493
train,1,494
train,1,502
train,1,506
train,1,514
train,1,515
train,1,517
train,1,522
train,1,523
train,1,535
train,1,538
train,1,544
train,1,554
train,1,557
train,1,560
train,1,563
train,1,565
train,1,583
train,1,584
train,1,586
train,1,590
train,1,596
train,1,598
train,1,600
train,1,607
train,1,609
train,1,614
train,1,631
train,1,632
train,1,633
train,1,637
train,1,642
train,1,656
train,1,667
train,1,673
train,1,685
train,1,687
train,1,709
train,1,729
train,1,735
train,1,737
train,1,749
train,1,763
train,1,764
train,1,767
train,1,17
train,1,24
train,1,26
train,1,34
train,1,37
train,1,50
train,1,54
train,1,66
train,1,75
train,1,80
train,1,83
train,1,90
train,1,91
train,1,95
train,1,102
train,1,119
train,1,125
train,1,136
train,1,154
train,1,173
train,1,181
train,1,185
train,1,191
train,1,192
train,1,194
train,1,195
train,1,198
train,1,217
train,1,221
train,1,225
train,1,227
train,1,233
train,1,243
train,1,247
train,1,256
train,1,265
train,1,267
train,1,273
train,1,274
train,1,275
train,1,276
train,1,277
train,1,278
train,1,287
train,1,289
train,1,294
train,1,303
train,1,304
train,1,309
train,1,310
train,1,312
train,1,316
train,1,326
train,1,327
train,1,330
train,1,334
train,1,352
train,1,357
train,1,360
train,1,364
train,1,370
train,1,371
train,1,382
train,1,387
train,1,392
train,1,400
train,1,403
train,1,418
train,1,421
train,1,429
train,1,433
train,1,435
train,1,439
train,1,444
train,1,446
train,1,450
train,1,455
train,1,458
train,1,466
train,1,476
train,1,491
train,1,499
train,1,500
train,1,501
train,1,504
train,1,505
train,1,507
train,1,524
train,1,533
train,1,541
train,1,543
train,1,545
train,1,546
train,1,550
train,1,559
train,1,562
train,1,567
train,1,571
train,1,574
train,1,579
train,1,592
train,1,599
train,1,602
train,1,606
train,1,615
train,1,619
train,1,620
train,1,626
train,1,643
train,1,644
train,1,662
train,1,663
train,1,669
train,1,679
train,1,682
train,1,691
train,1,699
train,1,701
train,1,711
train,1,712
train,1,715
train,1,718
train,1,720
train,1,721
train,1,722
train,1,724
