set,iteration,row_id
train,1,2
train,1,7
train,1,12
train,1,13
train,1,16
train,1,18
train,1,27
train,1,29
train,1,32
train,1,39
train,1,41
train,1,42
train,1,43
train,1,47
train,1,51
train,1,52
train,1,59
train,1,61
train,1,62
train,1,66
train,1,68
train,1,69
train,1,71
train,1,75
train,1,81
train,1,86
train,1,89
train,1,99
train,1,102
train,1,103
train,1,105
train,1,106
train,1,108
train,1,111
train,1,113
train,1,114
train,1,117
train,1,120
train,1,125
train,1,128
train,1,130
train,1,131
train,1,137
train,1,10
train,1,64
train,1,72
train,1,1
train,1,3
train,1,5
train,1,9
train,1,11
train,1,15
train,1,17
train,1,19
train,1,20
train,1,23
train,1,24
train,1,25
train,1,31
train,1,37
train,1,44
train,1,46
train,1,50
train,1,54
train,1,56
train,1,58
train,1,60
train,1,67
train,1,70
train,1,74
train,1,77
train,1,79
train,1,83
train,1,84
train,1,88
train,1,90
train,1,92
train,1,97
train,1,100
train,1,101
train,1,104
train,1,107
train,1,115
train,1,116
train,1,121
train,1,122
train,1,132
train,1,136
train,1,21
train,1,73
train,1,91
train,2,4
train,2,6
train,2,8
train,2,26
train,2,28
train,2,30
train,2,33
train,2,34
train,2,35
train,2,36
train,2,38
train,2,40
train,2,45
train,2,48
train,2,49
train,2,53
train,2,55
train,2,57
train,2,63
train,2,65
train,2,76
train,2,78
train,2,80
train,2,82
train,2,85
train,2,87
train,2,93
train,2,94
train,2,95
train,2,96
train,2,98
train,2,109
train,2,112
train,2,118
train,2,119
train,2,123
train,2,124
train,2,126
train,2,127
train,2,129
train,2,133
train,2,134
train,2,135
train,2,14
train,2,22
train,2,110
train,2,1
train,2,3
train,2,5
train,2,9
train,2,11
train,2,15
train,2,17
train,2,19
train,2,20
train,2,23
train,2,24
train,2,25
train,2,31
train,2,37
train,2,44
train,2,46
train,2,50
train,2,54
train,2,56
train,2,58
train,2,60
train,2,67
train,2,70
train,2,74
train,2,77
train,2,79
train,2,83
train,2,84
train,2,88
train,2,90
train,2,92
train,2,97
train,2,100
train,2,101
train,2,104
train,2,107
train,2,115
train,2,116
train,2,121
train,2,122
train,2,132
train,2,136
train,2,21
train,2,73
train,2,91
train,3,4
train,3,6
train,3,8
train,3,26
train,3,28
train,3,30
train,3,33
train,3,34
train,3,35
train,3,36
train,3,38
train,3,40
train,3,45
train,3,48
train,3,49
train,3,53
train,3,55
train,3,57
train,3,63
train,3,65
train,3,76
train,3,78
train,3,80
train,3,82
train,3,85
train,3,87
train,3,93
train,3,94
train,3,95
train,3,96
train,3,98
train,3,109
train,3,112
train,3,118
train,3,119
train,3,123
train,3,124
train,3,126
train,3,127
train,3,129
train,3,133
train,3,134
train,3,135
train,3,14
train,3,22
train,3,110
train,3,2
train,3,7
train,3,12
train,3,13
train,3,16
train,3,18
train,3,27
train,3,29
train,3,32
train,3,39
train,3,41
train,3,42
train,3,43
train,3,47
train,3,51
train,3,52
train,3,59
train,3,61
train,3,62
train,3,66
train,3,68
train,3,69
train,3,71
train,3,75
train,3,81
train,3,86
train,3,89
train,3,99
train,3,102
train,3,103
train,3,105
train,3,106
train,3,108
train,3,111
train,3,113
train,3,114
train,3,117
train,3,120
train,3,125
train,3,128
train,3,130
train,3,131
train,3,137
train,3,10
train,3,64
train,3,72
train,4,2
train,4,5
train,4,8
train,4,9
train,4,13
train,4,15
train,4,16
train,4,18
train,4,20
train,4,23
train,4,24
train,4,31
train,4,32
train,4,34
train,4,38
train,4,39
train,4,43
train,4,47
train,4,52
train,4,53
train,4,59
train,4,61
train,4,69
train,4,71
train,4,74
train,4,76
train,4,77
train,4,78
train,4,82
train,4,92
train,4,98
train,4,100
train,4,101
train,4,106
train,4,108
train,4,111
train,4,114
train,4,124
train,4,125
train,4,126
train,4,133
train,4,135
train,4,136
train,4,10
train,4,21
train,4,110
train,4,1
train,4,4
train,4,6
train,4,7
train,4,25
train,4,28
train,4,29
train,4,30
train,4,35
train,4,36
train,4,37
train,4,41
train,4,44
train,4,56
train,4,58
train,4,60
train,4,62
train,4,65
train,4,70
train,4,79
train,4,81
train,4,83
train,4,84
train,4,90
train,4,96
train,4,97
train,4,104
train,4,105
train,4,107
