set,iteration,row_id
train,1,3
train,1,4
train,1,6
train,1,7
train,1,16
train,1,17
train,1,23
train,1,25
train,1,28
train,1,33
train,1,35
train,1,43
train,1,49
train,1,53
train,1,79
train,1,81
train,1,83
train,1,86
train,1,87
train,1,89
train,1,100
train,1,102
train,1,103
train,1,107
train,1,110
train,1,111
train,1,117
train,1,119
train,1,120
train,1,121
train,1,123
train,1,137
train,1,142
train,1,144
train,1,145
train,1,151
train,1,152
train,1,159
train,1,162
train,1,174
train,1,178
train,1,179
train,1,180
train,1,207
train,1,209
train,1,210
train,1,211
train,1,216
train,1,246
train,1,247
train,1,249
train,1,254
train,1,255
train,1,256
train,1,270
train,1,278
train,1,303
train,1,308
train,1,309
train,1,311
train,1,322
train,1,326
train,1,328
train,1,330
train,1,334
train,1,337
train,1,338
train,1,350
train,1,355
train,1,365
train,1,369
train,1,370
train,1,379
train,1,395
train,1,398
train,1,406
train,1,409
train,1,413
train,1,416
train,1,417
train,1,419
train,1,434
train,1,462
train,1,60
train,1,62
train,1,63
train,1,65
train,1,67
train,1,68
train,1,72
train,1,90
train,1,96
train,1,98
train,1,109
train,1,118
train,1,124
train,1,126
train,1,127
train,1,131
train,1,134
train,1,140
train,1,156
train,1,169
train,1,175
train,1,177
train,1,181
train,1,198
train,1,205
train,1,208
train,1,212
train,1,226
train,1,235
train,1,237
train,1,240
train,1,245
train,1,266
train,1,267
train,1,268
train,1,274
train,1,279
train,1,281
train,1,284
train,1,287
train,1,294
train,1,295
train,1,296
train,1,301
train,1,305
train,1,329
train,1,333
train,1,341
train,1,342
train,1,344
train,1,352
train,1,353
train,1,362
train,1,366
train,1,367
train,1,383
train,1,385
train,1,390
train,1,391
train,1,393
train,1,396
train,1,403
train,1,404
train,1,420
train,1,425
train,1,427
train,1,428
train,1,436
train,1,438
train,1,447
train,1,451
train,1,457
train,1,458
train,1,471
train,1,472
train,1,478
train,1,479
train,1,1
train,1,2
train,1,11
train,1,20
train,1,21
train,1,27
train,1,32
train,1,37
train,1,40
train,1,41
train,1,44
train,1,47
train,1,51
train,1,56
train,1,59
train,1,61
train,1,75
train,1,77
train,1,80
train,1,82
train,1,84
train,1,85
train,1,91
train,1,99
train,1,104
train,1,106
train,1,115
train,1,122
train,1,128
train,1,129
train,1,130
train,1,132
train,1,135
train,1,153
train,1,154
train,1,157
train,1,158
train,1,161
train,1,163
train,1,164
train,1,166
train,1,168
train,1,173
train,1,185
train,1,187
train,1,189
train,1,190
train,1,192
train,1,193
train,1,195
train,1,196
train,1,204
train,1,213
train,1,215
train,1,224
train,1,225
train,1,242
train,1,250
train,1,257
train,1,261
train,1,262
train,1,263
train,1,272
train,1,282
train,1,290
train,1,306
train,1,307
train,1,318
train,1,320
train,1,339
train,1,343
train,1,360
train,1,376
train,1,377
train,1,399
train,1,407
train,1,411
train,1,414
train,1,418
train,1,421
train,1,445
train,1,473
train,1,481
train,1,10
train,1,36
train,1,38
train,1,42
train,1,48
train,1,55
train,1,57
train,1,64
train,1,66
train,1,69
train,1,92
train,1,94
train,1,112
train,1,114
train,1,139
train,1,143
train,1,146
train,1,147
train,1,148
train,1,172
train,1,176
train,1,183
train,1,184
train,1,188
train,1,201
train,1,206
train,1,214
train,1,218
train,1,221
train,1,230
train,1,258
train,1,260
train,1,275
train,1,288
train,1,289
train,1,293
train,1,297
train,1,299
train,1,304
train,1,313
train,1,319
train,1,321
train,1,323
train,1,325
train,1,331
train,1,332
train,1,345
train,1,349
train,1,356
train,1,357
train,1,359
train,1,364
train,1,378
train,1,380
train,1,384
train,1,386
train,1,388
train,1,392
train,1,394
train,1,400
train,1,422
train,1,423
train,1,429
train,1,431
train,1,433
train,1,437
train,1,439
train,1,444
train,1,453
train,1,455
train,1,459
train,1,460
train,1,463
train,1,464
train,1,470
train,1,475
train,1,476
train,2,5
train,2,8
train,2,9
train,2,12
train,2,13
train,2,14
train,2,15
train,2,24
train,2,26
train,2,29
train,2,30
train,2,39
train,2,45
train,2,50
train,2,52
train,2,54
train,2,70
train,2,71
train,2,73
train,2,78
train,2,93
train,2,97
train,2,105
train,2,125
train,2,136
train,2,141
train,2,160
train,2,165
train,2,167
train,2,186
train,2,191
train,2,197
train,2,200
train,2,217
train,2,220
train,2,227
train,2,229
train,2,232
train,2,233
train,2,236
train,2,238
train,2,239
train,2,241
train,2,244
train,2,248
train,2,251
train,2,252
train,2,253
train,2,259
train,2,264
train,2,265
train,2,269
train,2,273
train,2,276
train,2,283
train,2,291
train,2,298
train,2,300
train,2,310
train,2,317
train,2,335
train,2,336
train,2,346
train,2,363
train,2,368
train,2,371
train,2,372
train,2,374
train,2,397
train,2,408
train,2,410
train,2,412
train,2,415
train,2,426
train,2,432
train,2,440
train,2,449
train,2,450
train,2,452
train,2,454
train,2,469
train,2,474
train,2,480
train,2,18
train,2,19
train,2,22
train,2,31
train,2,34
train,2,46
train,2,58
train,2,74
train,2,76
train,2,88
train,2,95
train,2,101
train,2,108
train,2,113
train,2,116
train,2,133
train,2,138
train,2,149
train,2,150
train,2,155
train,2,170
train,2,171
train,2,182
train,2,194
train,2,199
train,2,202
train,2,203
train,2,219
train,2,222
train,2,223
train,2,228
train,2,231
train,2,234
train,2,243
train,2,271
train,2,277
train,2,280
train,2,285
train,2,286
train,2,292
train,2,302
train,2,312
train,2,314
train,2,315
train,2,316
train,2,324
train,2,327
train,2,340
train,2,347
train,2,348
train,2,351
train,2,354
train,2,358
train,2,361
train,2,373
train,2,375
train,2,381
train,2,382
train,2,387
train,2,389
train,2,401
train,2,402
train,2,405
train,2,424
train,2,430
train,2,435
train,2,441
train,2,442
train,2,443
train,2,446
train,2,448
train,2,456
train,2,461
train,2,465
train,2,466
train,2,467
train,2,468
train,2,477
train,2,1
train,2,2
train,2,11
train,2,20
train,2,21
train,2,27
train,2,32
train,2,37
train,2,40
train,2,41
train,2,44
train,2,47
train,2,51
train,2,56
train,2,59
train,2,61
train,2,75
train,2,77
train,2,80
train,2,82
train,2,84
train,2,85
train,2,91
train,2,99
train,2,104
train,2,106
train,2,115
train,2,122
train,2,128
train,2,129
train,2,130
train,2,132
train,2,135
train,2,153
train,2,154
train,2,157
train,2,158
train,2,161
train,2,163
train,2,164
train,2,166
train,2,168
train,2,173
train,2,185
train,2,187
train,2,189
train,2,190
train,2,192
train,2,193
train,2,195
train,2,196
train,2,204
train,2,213
train,2,215
train,2,224
train,2,225
train,2,242
train,2,250
train,2,257
train,2,261
train,2,262
train,2,263
train,2,272
train,2,282
train,2,290
train,2,306
train,2,307
train,2,318
train,2,320
train,2,339
train,2,343
train,2,360
train,2,376
train,2,377
train,2,399
train,2,407
train,2,411
train,2,414
train,2,418
train,2,421
train,2,445
train,2,473
train,2,481
train,2,10
train,2,36
train,2,38
train,2,42
train,2,48
train,2,55
train,2,57
train,2,64
train,2,66
train,2,69
train,2,92
train,2,94
train,2,112
train,2,114
train,2,139
train,2,143
train,2,146
train,2,147
train,2,148
train,2,172
train,2,176
train,2,183
train,2,184
train,2,188
train,2,201
train,2,206
train,2,214
train,2,218
train,2,221
train,2,230
train,2,258
train,2,260
train,2,275
train,2,288
train,2,289
train,2,293
train,2,297
train,2,299
train,2,304
train,2,313
train,2,319
train,2,321
train,2,323
train,2,325
train,2,331
train,2,332
train,2,345
train,2,349
train,2,356
train,2,357
train,2,359
train,2,364
train,2,378
train,2,380
train,2,384
train,2,386
train,2,388
train,2,392
train,2,394
train,2,400
train,2,422
train,2,423
train,2,429
train,2,431
train,2,433
train,2,437
train,2,439
train,2,444
train,2,453
train,2,455
train,2,459
train,2,460
train,2,463
train,2,464
train,2,470
train,2,475
train,2,476
train,3,5
train,3,8
train,3,9
train,3,12
train,3,13
train,3,14
train,3,15
train,3,24
train,3,26
train,3,29
train,3,30
train,3,39
train,3,45
train,3,50
train,3,52
train,3,54
train,3,70
train,3,71
train,3,73
train,3,78
train,3,93
train,3,97
train,3,105
train,3,125
train,3,136
train,3,141
train,3,160
train,3,165
train,3,167
train,3,186
train,3,191
train,3,197
train,3,200
train,3,217
train,3,220
train,3,227
train,3,229
train,3,232
train,3,233
train,3,236
train,3,238
train,3,239
train,3,241
train,3,244
train,3,248
train,3,251
train,3,252
train,3,253
train,3,259
train,3,264
train,3,265
train,3,269
train,3,273
train,3,276
train,3,283
train,3,291
train,3,298
train,3,300
train,3,310
train,3,317
train,3,335
train,3,336
train,3,346
train,3,363
train,3,368
train,3,371
train,3,372
train,3,374
train,3,397
train,3,408
train,3,410
train,3,412
train,3,415
train,3,426
train,3,432
train,3,440
train,3,449
train,3,450
train,3,452
train,3,454
train,3,469
train,3,474
train,3,480
train,3,18
train,3,19
train,3,22
train,3,31
train,3,34
train,3,46
train,3,58
train,3,74
train,3,76
train,3,88
train,3,95
train,3,101
train,3,108
train,3,113
train,3,116
train,3,133
train,3,138
train,3,149
train,3,150
train,3,155
train,3,170
train,3,171
train,3,182
train,3,194
train,3,199
train,3,202
train,3,203
train,3,219
train,3,222
train,3,223
train,3,228
train,3,231
train,3,234
train,3,243
train,3,271
train,3,277
train,3,280
train,3,285
train,3,286
train,3,292
train,3,302
train,3,312
train,3,314
train,3,315
train,3,316
train,3,324
train,3,327
train,3,340
train,3,347
train,3,348
train,3,351
train,3,354
train,3,358
train,3,361
train,3,373
train,3,375
train,3,381
train,3,382
train,3,387
train,3,389
train,3,401
train,3,402
train,3,405
train,3,424
train,3,430
train,3,435
train,3,441
train,3,442
train,3,443
train,3,446
train,3,448
train,3,456
train,3,461
train,3,465
train,3,466
train,3,467
train,3,468
train,3,477
train,3,3
train,3,4
train,3,6
train,3,7
train,3,16
train,3,17
train,3,23
train,3,25
train,3,28
train,3,33
train,3,35
train,3,43
train,3,49
train,3,53
train,3,79
train,3,81
train,3,83
train,3,86
train,3,87
train,3,89
train,3,100
train,3,102
train,3,103
train,3,107
train,3,110
train,3,111
train,3,117
train,3,119
train,3,120
train,3,121
train,3,123
train,3,137
train,3,142
train,3,144
train,3,145
train,3,151
train,3,152
train,3,159
train,3,162
train,3,174
train,3,178
train,3,179
train,3,180
train,3,207
train,3,209
train,3,210
train,3,211
train,3,216
train,3,246
train,3,247
train,3,249
train,3,254
train,3,255
train,3,256
train,3,270
train,3,278
train,3,303
train,3,308
train,3,309
train,3,311
train,3,322
train,3,326
train,3,328
train,3,330
train,3,334
train,3,337
train,3,338
train,3,350
train,3,355
train,3,365
train,3,369
train,3,370
train,3,379
train,3,395
train,3,398
train,3,406
train,3,409
train,3,413
train,3,416
train,3,417
train,3,419
train,3,434
train,3,462
train,3,60
train,3,62
train,3,63
train,3,65
train,3,67
train,3,68
train,3,72
train,3,90
train,3,96
train,3,98
train,3,109
train,3,118
train,3,124
train,3,126
train,3,127
train,3,131
train,3,134
train,3,140
train,3,156
train,3,169
train,3,175
train,3,177
train,3,181
train,3,198
train,3,205
train,3,208
train,3,212
train,3,226
train,3,235
train,3,237
train,3,240
train,3,245
train,3,266
train,3,267
train,3,268
train,3,274
train,3,279
train,3,281
train,3,284
train,3,287
train,3,294
train,3,295
train,3,296
train,3,301
train,3,305
train,3,329
train,3,333
train,3,341
train,3,342
train,3,344
train,3,352
train,3,353
train,3,362
train,3,366
train,3,367
train,3,383
train,3,385
train,3,390
train,3,391
train,3,393
train,3,396
train,3,403
train,3,404
train,3,420
train,3,425
train,3,427
train,3,428
train,3,436
train,3,438
train,3,447
train,3,451
train,3,457
train,3,458
train,3,471
train,3,472
train,3,478
