"row_id","fold"
2,1
7,1
8,1
11,1
15,1
17,1
31,1
33,1
41,1
43,1
47,1
48,1
59,1
69,1
74,1
77,1
82,1
84,1
85,1
89,1
90,1
92,1
93,1
97,1
99,1
100,1
105,1
107,1
125,1
126,1
134,1
136,1
3,2
4,2
5,2
6,2
9,2
12,2
20,2
32,2
34,2
36,2
37,2
38,2
45,2
50,2
52,2
53,2
57,2
66,2
67,2
76,2
83,2
88,2
95,2
102,2
108,2
117,2
119,2
127,2
129,2
130,2
135,2
137,2
1,3
16,3
25,3
27,3
28,3
29,3
30,3
35,3
39,3
46,3
55,3
56,3
58,3
60,3
61,3
63,3
71,3
78,3
86,3
87,3
94,3
104,3
111,3
112,3
115,3
116,3
118,3
120,3
122,3
123,3
128,3
133,3
13,4
18,4
19,4
23,4
24,4
26,4
40,4
42,4
44,4
49,4
51,4
54,4
62,4
65,4
68,4
70,4
75,4
79,4
80,4
81,4
96,4
98,4
101,4
103,4
106,4
109,4
113,4
114,4
121,4
124,4
131,4
132,4
21,1
72,1
91,1
10,2
64,2
22,3
110,3
14,4
73,4
